neg,neu,pos,compound
0.0,0.643,0.357,0.3008
0.217,0.783,0.0,-0.5574
0.267,0.465,0.267,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.533,0.467,0.0,-0.6908
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.459,0.541,0.0,-0.5267
0.0,0.675,0.325,0.6486
0.0,1.0,0.0,0.0
0.0,0.595,0.405,0.5267
0.484,0.232,0.284,-0.6634
0.429,0.571,0.0,-0.4588
0.0,0.58,0.42,0.4404
0.128,0.379,0.493,0.8271
0.0,1.0,0.0,0.0
0.0,0.476,0.524,0.875
0.0,0.316,0.684,0.7579
0.0,1.0,0.0,0.0
0.367,0.437,0.196,-0.6912
0.0,0.62,0.38,0.926
0.0,1.0,0.0,0.0
0.0,0.357,0.643,0.2023
0.0,1.0,0.0,0.0
0.0,0.584,0.416,0.6908
0.23,0.663,0.107,-0.5157
0.0,1.0,0.0,0.0
0.0,0.574,0.426,0.6369
0.0,0.371,0.629,0.8802
0.03,0.923,0.047,0.2382
0.0,0.488,0.512,0.743
0.859,0.141,0.0,-0.7269
0.0,0.263,0.737,0.4215
0.252,0.515,0.233,-0.2924
0.395,0.284,0.321,-0.3187
0.243,0.286,0.471,0.3802
0.0,1.0,0.0,0.0
0.0,0.339,0.661,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.231,0.522,0.246,0.0516
0.772,0.228,0.0,-0.5255
0.157,0.52,0.323,0.5857
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.784,0.216,0.0,-0.8042
0.226,0.522,0.252,0.0772
0.0,0.419,0.581,0.8531
0.0,0.682,0.318,0.9741
0.538,0.462,0.0,-0.5423
0.0,0.465,0.535,0.3182
0.282,0.484,0.234,-0.1531
0.0,1.0,0.0,0.0
0.0,0.488,0.512,0.6369
0.0,1.0,0.0,0.0
0.083,0.6,0.317,0.7906
0.139,0.771,0.09,-0.4019
0.806,0.194,0.0,-0.6322
0.0,0.0,1.0,0.8481
0.0,1.0,0.0,0.0
0.217,0.783,0.0,-0.3595
0.0,1.0,0.0,0.0
0.0,0.396,0.604,0.7269
0.0,0.733,0.267,0.9022
0.0,1.0,0.0,0.0
0.0,0.383,0.617,0.926
0.0,0.426,0.574,0.6597
0.0,0.38,0.62,0.504
0.0,0.196,0.804,0.6249
0.0,1.0,0.0,0.0
0.0,0.47,0.53,0.3089
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.54,0.46,0.0,-0.6908
1.0,0.0,0.0,-0.34
0.0,1.0,0.0,0.0
0.333,0.139,0.528,0.34
0.0,1.0,0.0,0.0
0.0,0.318,0.682,0.9325
0.214,0.223,0.562,0.8689
0.0,1.0,0.0,0.0
0.655,0.345,0.0,-0.4215
1.0,0.0,0.0,-0.34
0.0,1.0,0.0,0.0
0.383,0.47,0.148,-0.5423
0.0,1.0,0.0,0.0
0.088,0.651,0.26,0.8519
0.0,0.672,0.328,0.9717
0.0,0.501,0.499,0.6114
0.118,0.694,0.189,0.8077
0.0,1.0,0.0,0.0
0.0,0.633,0.367,0.4404
0.0,1.0,0.0,0.0
0.756,0.244,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.102,0.585,0.313,0.7963
0.185,0.815,0.0,-0.3595
0.0,0.76,0.24,0.8442
0.067,0.631,0.302,0.8313
0.0,0.851,0.149,0.2732
0.453,0.547,0.0,-0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.519,0.481,0.5719
0.0,0.629,0.371,0.5994
0.343,0.533,0.124,-0.5719
0.158,0.707,0.136,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.132,0.724,0.145,0.0516
0.0,0.561,0.439,0.6679
0.0,1.0,0.0,0.0
0.0,0.635,0.365,0.3182
0.097,0.903,0.0,-0.5514
0.261,0.435,0.304,0.1531
0.408,0.362,0.229,-0.3578
0.123,0.784,0.093,-0.2023
0.226,0.774,0.0,-0.6229
0.0,0.508,0.492,0.4404
0.0,1.0,0.0,0.0
0.0,0.556,0.444,0.4588
0.0,0.505,0.495,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.647,0.353,0.5994
0.12,0.652,0.228,0.4588
0.0,0.642,0.358,0.4199
0.0,0.763,0.237,0.4215
0.231,0.769,0.0,-0.0516
0.159,0.383,0.458,0.6662
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.233,0.767,0.765
0.0,1.0,0.0,0.0
0.0,0.351,0.649,0.5719
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.639,0.361,0.5656
0.0,1.0,0.0,0.0
0.0,0.541,0.459,0.8244
0.0,0.75,0.25,0.25
0.0,1.0,0.0,0.0
0.0,0.5,0.5,0.4588
0.146,0.854,0.0,-0.34
0.0,0.5,0.5,0.25
0.605,0.395,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.535,0.282,0.183,-0.3612
0.0,1.0,0.0,0.0
0.189,0.811,0.0,-0.4215
0.375,0.625,0.0,-0.34
0.229,0.589,0.182,-0.1832
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.857,0.143,0.3612
0.0,1.0,0.0,0.0
0.0,0.663,0.337,0.2572
0.0,1.0,0.0,0.0
0.0,0.75,0.25,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.454,0.546,0.3412
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.234,0.613,0.153,-0.5622
0.0,0.635,0.365,0.3182
0.475,0.525,0.0,-0.6731
0.412,0.588,0.0,-0.7432
0.381,0.448,0.172,-0.4215
0.0,0.596,0.404,0.2584
0.0,0.508,0.492,0.4404
0.248,0.752,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.685,0.315,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.323,0.677,0.6369
0.0,0.596,0.404,0.2584
0.0,1.0,0.0,0.0
0.0,0.227,0.773,0.5267
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.34
0.0,0.204,0.796,0.5994
0.0,0.546,0.454,0.4877
0.375,0.625,0.0,-0.34
0.0,0.597,0.403,0.4019
0.0,0.514,0.486,0.2244
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.25,0.75,0.4588
0.0,1.0,0.0,0.0
0.559,0.441,0.0,-0.5859
0.0,1.0,0.0,0.0
0.474,0.526,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.734,0.266,0.2057
0.0,0.822,0.178,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.144,0.605,0.251,0.3036
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.3,0.7,0.7901
0.0,1.0,0.0,0.0
0.615,0.385,0.0,-0.4939
0.0,0.617,0.383,0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.541,0.459,0.1779
0.0,0.435,0.565,0.6369
0.0,0.408,0.592,0.4404
0.0,0.385,0.615,0.4927
0.0,0.432,0.568,0.7845
0.0,0.721,0.279,0.4753
0.0,1.0,0.0,0.0
0.0,0.508,0.492,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.188,0.235,0.578,0.7177
0.136,0.681,0.183,0.2103
0.0,1.0,0.0,0.0
0.259,0.741,0.0,-0.2023
0.0,1.0,0.0,0.0
0.402,0.598,0.0,-0.5204
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.4019
0.545,0.455,0.0,-0.34
0.36,0.64,0.0,-0.5216
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.324,0.27,0.405,0.1531
0.195,0.805,0.0,-0.1779
0.0,0.0,1.0,0.7096
0.0,0.584,0.416,0.431
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.706,0.294,0.0,-0.34
0.194,0.806,0.0,-0.0516
0.0,1.0,0.0,0.0
0.0,0.639,0.361,0.3089
0.545,0.455,0.0,-0.34
0.0,0.508,0.492,0.8658
