neg,neu,pos,compound
0.0,0.503,0.497,0.836
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.466,0.137,0.397,-0.128
0.327,0.374,0.299,-0.079
0.0,0.208,0.792,0.5859
0.0,0.598,0.402,0.5719
0.259,0.741,0.0,-0.1027
0.0,0.44,0.56,0.6249
0.0,1.0,0.0,0.0
0.0,0.761,0.239,0.5255
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.884,0.116,0.2869
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.25,0.75,0.4588
0.22,0.426,0.355,0.2263
0.0,0.11,0.89,0.8442
0.0,0.562,0.438,0.5994
0.0,0.323,0.677,0.6361
0.0,0.655,0.345,0.891
0.0,0.189,0.811,0.5106
0.0,0.345,0.655,0.5859
0.0,0.437,0.563,0.8519
0.0,0.417,0.583,0.6369
0.0,0.612,0.388,0.5859
0.0,0.51,0.49,0.4374
0.0,0.688,0.312,0.6124
0.0,0.685,0.315,0.3182
0.0,0.497,0.503,0.8442
0.14,0.688,0.171,0.946
0.0,0.27,0.73,0.4019
0.0,0.0,1.0,0.4019
0.0,0.357,0.643,0.3818
0.0,0.465,0.535,0.3182
0.0,0.377,0.623,0.5106
0.0,0.0,1.0,0.5859
0.0,0.641,0.359,0.4215
0.0,1.0,0.0,0.0
0.0,0.635,0.365,0.3182
0.0,0.202,0.798,0.836
0.0,0.252,0.748,0.7125
0.0,0.543,0.457,0.6369
0.0,0.426,0.574,0.6597
0.0,0.112,0.888,0.836
0.0,0.0,1.0,0.5859
0.255,0.54,0.204,0.2134
0.0,1.0,0.0,0.0
0.0,0.636,0.364,0.5319
0.0,0.783,0.217,0.3612
0.0,0.706,0.294,0.6124
0.0,0.566,0.434,0.3182
0.0,0.351,0.649,0.5719
0.0,0.0,1.0,0.3818
0.0,0.0,1.0,0.4019
0.0,0.202,0.798,0.8356
0.0,1.0,0.0,0.0
0.218,0.294,0.488,0.5574
0.0,0.698,0.302,0.3802
0.0,0.5,0.5,0.4588
0.0,0.0,1.0,0.6369
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.511,0.489,0.6988
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.946,0.054,0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.794,0.206,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.868,0.132,0.4939
0.0,1.0,0.0,0.0
0.169,0.685,0.146,-0.128
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.365,0.635,0.54
