title,updateDt,source,translated,remove_stopword,lemmatization
Lily-Rose Depp faz hoje 21 anos. Modelo e atriz é filha de Johnny Depp e Vanessa Paradis,2020-05-27 07:07:19+00:00,de,Marilyn Manson on the influence of pandemic on mental health,Marilyn Manson influence pandemic mental health,Marilyn Manson influence pandemic mental health
"Com Illy, Sia, Xamã e Janelle Monaé, confira a playlist de lançamentos",2020-09-04 03:00:00+00:00,pt,"With Illy, Sia, Shaman and Janelle Monaé, check out the playlist of releases",A $ AP Ferg & Marilyn Manson Get Strange On `` Marilyn Manson '',"with Illy , Sia , Shaman Janelle Monaé , check playlist release"
Marilyn Manson über den Einfluss der Pandemie auf mentale Gesundheit,2020-09-08 22:00:00+00:00,pt,Lily-Rose Depp is 21 today. Model and actress is the daughter of Johnny Depp and Vanessa Paradis,Hats Marilyn Manson,Lily - Rose Depp 21 today . model actress daughter Johnny Depp Vanessa Paradis
"Nubya Garcia, Marilyn Manson, Flaming Lips, Michael Rother: Die Pop-Alben der Woche im Soundcheck",2020-09-10 15:35:32+00:00,de,"Nubya Garcia, Marilyn Manson, Flaming Lips, Michael Rother: The pop albums of the week in the sound check",Marilyn Manson Scores First Top Rock Albums No . 1 With 'We Are Chaos ',"Nubya Garcia , Marilyn Manson , flame Lips , Michael Rother : the pop album week sound check"
Marilyn Manson: Fünf verrückte Geschichten über den Schockrocker,2020-09-10 22:00:00+00:00,en,Marilyn Manson’s ‘We Are Chaos’ Album Is Here: Stream It Now,"A $ AP Ferg Shares `` Floor Seats II '' Ft. Lil Wayne , Tyga , Nicki Minaj , Fivio Foreign , Marilyn Manson",Marilyn Manson ' ' we be Chaos ' Album be here : Stream it now
Marilyn Manson’s ‘We Are Chaos’ Album Is Here: Stream It Now,2020-09-11 04:59:02+00:00,de,Marilyn Manson: Five crazy stories about the shock rocker,Marilyn Manson draws chaos The chocolate sides evil,Marilyn Manson : five crazy story shock rocker
Schon gehört? Marilyn Manson schockt mit Schnulzen,2020-09-11 09:09:00+00:00,de,You heard? Marilyn Manson shocks with snuffs,Marilyn Manson harmless new album,you hear ? Marilyn Manson shock snuff
Marilyn Manson: Die verrücktesten Geschichten über den Rocker,2020-09-11 11:21:00+00:00,de,Marilyn Manson: The most crazy stories about the rocker,Marilyn Manson offers artistic precision,Marilyn Manson : the crazy story rocker
"""American Head"" von The Flaming Lips: Wenn Tom Petty in Oklahoma geblieben wäre",2020-09-11 12:27:20+00:00,it,"Marilyn Manson, the new album was released: ""We are Chaos""",Marilyn Manson returns limelight `` We chaos '' tell complicated period,"Marilyn Manson , new album release : ` ` we Chaos ''"
"Marilyn Manson, è uscito il nuovo album: ""We are Chaos""",2020-09-11 13:01:01+00:00,fr,"Streaming out : Grand Corps Malade, La Femme... News of the week","A $ AP Ferg Announces `` Floor Seats 2 '' With Lil Wayne , Marilyn Manson & More","streaming : Grand Corps Malade , La Femme ... news week"
