title,updateDt,source,translated,remove_stopword,lemmatization
Report: R. Kelly under criminal investigation in Georgia after Lifetime docuseries airs,2019-01-09 02:07:28+00:00,en,"R. Kelly Song Reportedly Removed by ABC: 'I Believe I Can Fly' Cut From 'Schooled' Premiere, Report Says",Lawyer R Kelly pleads release health grounds,"R. Kelly Song reportedly remove ABC : ' I believe I can fly ' cut from ' schooled ' Premiere , Report say"
"R. Kelly Song Reportedly Removed by ABC: 'I Believe I Can Fly' Cut From 'Schooled' Premiere, Report Says",2019-01-10 17:14:31+00:00,en,Surviving R Kelly producers: 'We wanted to explain why you shouldn’t blame survivors',Surviving R Kelly producers : 'We wanted explain ’ blame survivors ',survive r Kelly producer : ' we want explain ' blame survivor '
"Doku-Serie über Sänger: ""Surviving R. Kelly"": Jetzt reden die Opfer",2019-01-14 08:58:51+00:00,en,Lawyer for R Kelly pleads for release on health grounds,"R. Kelly Song Reportedly Removed ABC : ' I Believe I Can Fly ' Cut From 'Schooled ' Premiere , Report Says",Lawyer R Kelly plead release health ground
"Molestie, il rapper R. Kelly si consegna alla polizia: arrestato",2019-04-04 22:00:00+00:00,de,"Doku series about singers: ""Surviving R. Kelly"": Now the victims talk",Doku series singers : `` Surviving R. Kelly '' : Now victims talk,Doku series singer : ` ` survive R. Kelly '' : now victim talk
Lawyer for R Kelly pleads for release on health grounds,2019-10-01 09:12:13+00:00,en,Report: R. Kelly under criminal investigation in Georgia after Lifetime docuseries airs,"Molestie , rapper R. Kelly surrenders police : arrested",report : R. Kelly criminal investigation Georgia Lifetime docuserie air
Vorwürfe wegen sexuellen Missbrauchs: US-Sänger R. Kelly muss vorerst in Haft bleiben,2019-10-03 09:34:52+00:00,it,"Molestie, rapper R. Kelly surrenders to the police: arrested",Report : R. Kelly criminal investigation Georgia Lifetime docuseries airs,"Molestie , rapper R. Kelly surrender police : arrest"
Surviving R Kelly producers: 'We wanted to explain why you shouldn’t blame survivors',2020-01-08 22:14:59+00:00,de,Accusations for sexual abuse: US singer R. Kelly must remain in custody for the first time,Accusations sexual abuse : US singer R. Kelly must remain custody first time,accusation sexual abuse : US singer R. Kelly must remain custody first time
Richterin im Fall R. Kelly: Jurymitglieder sollen anonym bleiben,2020-02-10 23:00:00+00:00,en,R. Kelly attacker: I did it,R. Kelly attacker : I,R. Kelly attacker : I
Prozess gegen US-Sänger R. Kelly: Jurymitglieder sollen anonym bleiben,2020-02-11 08:59:00+00:00,de,Judge in case R. Kelly: Jury members should remain anonymous,Judge case R. Kelly : Jury members remain anonymous,judge case R. Kelly : jury member remain anonymous
Richterin im Fall R. Kelly: Jurymitglieder sollen anonym bleiben,2020-02-11 11:20:00+00:00,en,R. Kelly attacker: I did it,R. Kelly attacker : I,R. Kelly attacker : I
Meet Kelly Loeffler: The Georgia senator at the center of a critical January runoff election who has deep ties to Wall Street,2020-03-10 04:00:00+00:00,en,"R. Kelly Attacker Confesses, Singer Requests Release on Bail","R. Kelly Attacker Confesses , Singer Requests Release Bail","R. Kelly Attacker Confesses , Singer Requests Release Bail"
Wegen Coronavirus: Popsänger R. Kelly will aus dem Gefängnis raus,2020-03-27 18:32:00+00:00,de,Judge in case R. Kelly: Jury members should remain anonymous,Judge case R. Kelly : Jury members remain anonymous,judge case R. Kelly : jury member remain anonymous
R. Kelly attacker: I did it,2020-09-04 14:31:00+00:00,en,R. Kelly Claims Prison Guards Neglected His Concerns Of Being Attacked,R. Kelly Denied Bail Again After Judge Transfers Attacker To New Prison,R. Kelly Claims Prison Guards neglect his Concerns of be attack
R. Kelly attacker: I did it,2020-09-04 14:31:00+00:00,de,Process against US singer R. Kelly: Jury members should remain anonymous,Ruth Bader Ginsburg fan Kelly Cosby died 2015 .,process US singer R. Kelly : jury member remain anonymous
"R. Kelly Attacker Confesses, Singer Requests Release on Bail",2020-09-04 21:30:49+00:00,en,R. Kelly Denied Bail by Federal Appeals Court,R. Kelly Memes Trend On Twitter Following Kanye West 's Grammy Urination,R. Kelly deny Bail Federal Appeals Court
R. Kelly Denied Bail by Federal Appeals Court,2020-09-08 13:53:45+00:00,de,About Coronavirus: Popsänger R. Kelly wants to get out of prison,George Floyd & Ahmaud Arbery Trials To Air In UK Via Court TV,about Coronavirus : Popsänger R. Kelly want get prison
R. Kelly Claims Prison Guards Neglected His Concerns Of Being Attacked,2020-09-08 17:05:40+00:00,en,Meet Kelly Loeffler: The Georgia senator at the center of a critical January runoff election who has deep ties to Wall Street,Former right arm Carlos Ghosn declares innocence judgment financial fraud Japan,meet Kelly Loeffler : the Georgia senator center critical January runoff election deep tie Wall Street
R. Kelly’s latest bid for release shot down by appeals court,2020-09-08 19:00:00+00:00,en,R. Kelly’s latest bid for release shot down by appeals court,"Kanye West says Michael Jackson , Bill Cosby R. Kelly taken 'white media '",R. Kelly ' late bid release shot appeal court
"No bail for R. Kelly, NYC federal appeals court rules",2020-09-08 19:43:47+00:00,en,"No bail for R. Kelly, NYC federal appeals court rules","Court dismisses yet another request release , R. Kelly","no bail R. Kelly , NYC federal appeal court rule"
R. Kelly's 6th attempt at being released on bail is denied,2020-09-08 20:34:00+00:00,en,R. Kelly's 6th attempt at being released on bail is denied,Appeals court upholds decision deny R. Kelly bail,R. Kelly 's 6th attempt release bail deny
R. Kelly's sixth attempt at being released on bail is denied,2020-09-08 20:34:59+00:00,en,R. Kelly's sixth attempt at being released on bail is denied,R. Kelly Denied In Latest Attempt At Being Released From Prison,R. Kelly 's sixth attempt release bail deny
Appeals court denies R. Kelly's freedom bid in sex-trafficking case,2020-09-08 21:15:21+00:00,en,Appeals court denies R. Kelly's freedom bid in sex-trafficking case,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:17:41+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court denies R. Kelly 's freedom bid sex-trafficking case,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court deny R. Kelly 's freedom bid sex - traffic case
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
Appeals court agrees R&B singer R. Kelly should stay jailed,2020-09-08 21:18:19+00:00,en,Appeals court agrees R&B singer R. Kelly should stay jailed,Appeals court agrees R & B singer R. Kelly stay jailed,Appeals court agree R & B singer R. Kelly stay jailed
