updateDt,title,source,translated,remove_stopword,lemmatization
2018-01-06 00:00:00+00:00,"[SS이슈]YG 예능 콘텐츠, 플랫폼 다각화+다양한 소재를 담아내다",ko,"""Mix Nine"" Romio Kim Hyunjong, win and promised.. This bad and effort","`` No Visa Application '' Hong Kong Government , Big Bang Victory Club Business Says","` ` Mix Nine '' Romio Kim Hyunjong , win promise .. this bad effort"
2018-01-07 00:00:00+00:00,"빅뱅 태양X 승리, '믹스나인' 데뷔조 멤버들과 찰칵...남다른 친분 과시",ko,"[SS YISHU] YG ALL-ROUND CONTENT, PLATFORM MULTI-FORMATIZATION + VARIOUS MATERIALS",BIGBANG Wins Another Club Nana Lee Gangnam Not Hong Kong,"[ SS YISHU ] yg ALL - ROUND CONTENT , PLATFORM MULTI - FORMATIZATION + various material"
2018-01-15 00:00:00+00:00,"'믹스나인' 로미오 김현종, 승리와 약속 지켰다..이 악물고 노력",ko,"JTBC SIDE ""RESTAURANT-ICON,"" 25-DAY RECORDING"" (OFFICIAL ADMISSION)",Hong Kong Government “ Big Bang Win Nightclub Open ? No visa application '',"JTBC SIDE ` ` restaurant - ICON , '' 25 - day recording '' ( official admission )"
2018-01-16 00:00:00+00:00,"JTBC 측 ""승리-아이콘, '아는 형님' 25일 녹화""(공식입장)",ko,"BIG BANG SOLAR X WINS, ‘MIX NINE’ DEBUT MEMBERS AND CHEEK..",What possibility returning ‘ Big Bang ’ win ?,"` ` BIK BANG WIN X ICON , 25 day recording ''"
2018-01-16 00:00:00+00:00,"빅뱅 승리X아이콘, `아는형님` 출연 확정",ko,"BIGBANG WINXICON, ‘AYE BROTHER’ APPEARED","‘ Jun Lee ’ Woo Hye-won , YouTube company established “ Jun Lee ... Jun Lee ”",[ Y HYUNJANG ] ' MIX NINE ' wins ` ` teacher ' from ` ` teacher reality hit ''
2018-01-16 00:00:00+00:00,"[Y현장] YG 양현석X한동철, '믹스나인'에 전부 걸었다 (종합)",ko,"[Y HYUNJANG] YG YANG HYUN-SUK X HAN DONG-CHEOL, 'MIX NINE' (TOTAL)",Kim Gwang-ho Kim Gwang-ho Kim Gwang-ho Kim Gwang-ho 's 'Kyung Cheon-ho ',"BIG BANG SOLAR X win , ' MIX nine ' DEBUT member and cheek .."
2018-01-16 00:00:00+00:00,"[Y현장] '믹스나인' 승리 ""'배틀신화' 출신 연습생 현실 안타까워""",ko,"[Y HYUNJANG] 'MIX NINE' WINS ""TEACHER' FROM ""TEACHER REALITY HITS""",前 BIGBANG WIN “ I ’ going go land ” Heseong comment,"bigbang WINXICON , ' aye BROTHER ' appeared"
2018-01-16 00:00:00+00:00,"'아는 형님' 측 ""빅뱅 승리X아이콘, 출연 확정 25일 녹화""",ko,"""BIK BANG WIN X ICON, 25 DAYS RECORDING""","BIG BANG WINS , BALI 'WALDERS ' TRAVEL ... SNS TREADED","[ Y HYUNJANG ] YG YANG HYUN - SUK X HAN DONG - CHEOL , ' MIX NINE ' ( total )"
2018-01-26 00:00:00+00:00,"빅뱅 승리, 과거 화보 복근 공개 탄탄한 근육질 눈길",ko,"BigBang Wins, Past Blasting Blasting Public Blasting Muscle","BIGBANG wins , 9 days come society","bigbang win , icon ' the brother ' shooting , certification shoot ` ` wilderness ''"
2018-01-26 00:00:00+00:00,"빅뱅 승리, 아이콘과 '아는 형님' 촬영 후 인증샷 ""안보면 미워할꼬야""",ko,"BIGBANG wins, icons and 'the brother' after shooting, the certification shot ""the wilderness""",‘ Burning Sun ’ Big Bang Wins 6 months year 's,"win , icon ' amazing ' appear Authentication shot reveal four season ` ` amazing well ''"
2018-01-26 00:00:00+00:00,"승리, 아이콘과 '아는형님' 출연 인증샷 공개에 네티즌 ""교복 너무 잘 어울려""",ko,"Win, Icons and 'Amazing' appeared Authentication shots revealing the four seasons ""Amazing too well""","'Banning Sun ' Big Bang wins , today 's weekly magazine","BigBang Wins , Past Blasting Blasting Public Blasting Muscle"
2018-01-28 00:00:00+00:00,"빅뱅 승리, 아이콘과 '아는 형님' 촬영 후 인증샷 ""안보면 미워할꼬야""",ko,"BIGBANG wins, icons and 'the brother' after shooting, the certification shot ""the wilderness""","BIGBANG Wins , Today ( 9th ) Morning Quietly Come Out Commuter Society","bigbang win , icon ' the brother ' shooting , certification shoot ` ` wilderness ''"
2018-01-31 00:00:00+00:00,"“솔로곡 작업” 빅뱅 승리, 5년 만 솔로 컴백 직접 예고",ko,"“Solo song work” BIGBANG wins, five years solo comeback direct","BIGBANG Wins , Today ( 9th ) Morning Quietly Come Out Commuter Society",""" solo song work "" bigbang win , five year solo comeback direct"
2018-01-31 00:00:00+00:00,"빅뱅 승리, 5년만 솔로 컴백 스포 “작업 중 어렵지만 힘내자”",ko,"BIGBANG wins, five years of solo comebacks “Different but Strength”","Chinese 'Hangnam ' actor Lee Min-bong , What punishment high-end luxury ?","yg YANG HYUN SUK , bigbang win SOLO COMEBACK FORMULATION 5 year"
2018-02-01 00:00:00+00:00,"YG 양현석, 빅뱅 승리 솔로 컴백 공식화 5년 만의 컴백 '기대'",ko,"YG YANG HYUN SUK, BIGBANG WINS SOLO COMEBACK FORMULATION 5 YEARS","[ Nau News ] China 'Hunnam ' actor Lee Min-bong , What penalties high-strength sales ?","bigbang win , five year solo comeback "" Different Strength """
2018-02-01 00:00:00+00:00,"빅뱅 승리, 솔로 컴백 예고 양현석 “잘될 수밖에 없는 노력파”",ko,"BIGBANG wins, solo comeback Yego Yang Hyun-seok “We can’t do anything”","BIGBANG wins , world ’ first Korean peninsula","bigbang win , solo comeback Yego Yang Hyun - seok "" we ' anything """
2018-02-01 00:00:00+00:00,"토탈 스포츠웨어 브랜드 ‘미스트랄’, 트레이닝 웨어 인기",ko,"TALK SPORTS wear brand ‘Mistral’, training wear popular","“ Hope Hope ” “ I ’ uncomfortable place ” , raised Shindrom , Dukseok-gu [ net ]","TALK SPORTS wear brand ' mistral ' , training wear popular"
2018-02-02 00:00:00+00:00,"`아는형님` 빅뱅 승리 아이콘, 박기량과 치어리딩 도전",ko,"‘Ambassy’ BIGBANG Win Icons, Bumblebees and Chiaring Challenges",Big Bang Wins 9 All Animated,News Top10
2018-02-02 00:00:00+00:00,"'아는 형님', '빅뱅' 승리X아이콘 출연 '치어리딩 대결 펼치며 폭소 예고'",ko,"'AS THE BROTHER', 'BIG BANG' WINXICON APPEARED 'CHEERING DAE-HYEON' AND THE SKELETON'","‘ Promotional Al-line/Overseas Gaming ’ BIGBANG Wins , today ’ Supreme Court 2 Simeon 1 year 6 months","` ` Solar - Min Hyorin '' wedding finish , two side ` ` new start cheer ''"
2018-02-03 00:00:00+00:00,"YG엔터 측 ""태양-민효린 결혼 축복속에 잘 마무리""",ko,"YG ENTERTAINMENT ""SOLAR-MIN HYO-RIN WEDDING BLESSINGS WELL FINISHED""",Big Bang Winning Station 1 year 6 months Determining nine charges,""" I ' know "" Icon Vii , Kang Ho - dong , "" while number """
2018-02-03 00:00:00+00:00,"'아는형님' 승리, 강호동에 배신감 느낀 사연? ""나랑 하자더니 송민호랑..""",ko,"'Amazing' wins, the resurrection of Kang Ho-dong? ""I'm happy to see you.""",BIGBANG Wins 1 year 6 months,"Kim Ki - bang Kim Huigyeong 's entertainment room , appear hello"
2018-02-03 00:00:00+00:00,"[Y현장]태양♥민효린 결혼식→피로연, 행복한 웨딩데이 완성(종합)",ko,"[YHYEONJANG]SUN♥MIN HYO-JIN WEDDING→PURO-YEON, HAPPY WEDDING DAY COMPLETED",BIGBANG Winning station 1 year 6 months finalization ... Exclusive February,"' Amazon ' win "" Sun ♥ Min Hyo - rin wedding book ' Slong Baby ' open """
2018-02-03 00:00:00+00:00,"빅뱅 승리, 전화하면 달려오는 그의 친구는 누구?",ko,"Big Bang Wins, Who’s his friend to call?",[ D : YISHU ] THE FIRST SIX MONTHS OF THE JINGJIANG WINSBEE DREAMED,"yg SIDE ` ` SOLAR - sunny wedding finish , will be HAPPY ''"
2018-02-03 00:00:00+00:00,"빅뱅 승리, 씨엘 '태양♥민효린' 축가 공개 ""어디서도 들을 수 없는""",ko,"Big Bang Wins, Ciel's Sun♥Min Hyorin's axis revealed ""Cannot listen""",'Property Vendor Al-Line Demon Hunter ' BIGBANG Winning 1 year 6 months,"Big Bang Wins , Ciel 's Sun ♥ Min Hyorin 's axis reveal ` ` can listen ''"
2018-02-03 00:00:00+00:00,"YG 측 ""태양-민효린 결혼식 마무리, 행복하게 살아갈 것""",ko,"YG SIDE ""SOLAR-SUNNY WEDDING FINISH, WILL BE HAPPY""","Kim Ki-bang Kim Huigyeong 's entertainment room , appeared hello",Sun ♥ Min Hyo - rin White Year Pills ... blessing
2018-02-03 00:00:00+00:00,‘아는형님’ 승리 “태양♥민효린 결혼식서 축가 ‘스트롱 베이비’ 열창”,ko,‘Amazon’ wins “Sun♥Min Hyo-rin wedding book ‘Slong Baby’ opened”,"[ YISHU ] VICTORY OF BIGBANG WINS , 9 ABSOLUTE DISASTER INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY INDEMNITY IN FEBRUARY","[ yhyeonjang ] SUN ♥ MIN HYO - JIN WEDDING→PURO - YEON , HAPPY WEDDING DAY complete"
2018-02-03 00:00:00+00:00,"박기량, 강호동과 ‘아형’ 출연 인증샷 공개 청순 미모 ‘폭발’",ko,"Kim Ki-bang Kim Huigyeong's entertainment room, appeared hello",‘ Don ’ miss ‘ Don ’ BIGBANG ’ wins six-month general public bridge,"' amazing ' win , resurrection Kang Ho - dong ? ` ` I ' m happy see . ''"
2018-02-03 00:00:00+00:00,"‘아는 형님’ 아이콘 비아이, 강호동 잡는 아기호랑이 “넘버원이 나와야지”",ko,"“I don’t know” Icon Vii, Kang Ho-dong, “While the Number”",'Property Vendor Al-Line ' BIGBANG Winning 1 year 6 months,"SUN MIN HYO - RIN wedding FATIGUE SOCIETY be DAESUNG , the AXIAL price of CL win"
2018-02-03 00:00:00+00:00,"'아는형님' 승리 ""강호동에 배신감, 송민호와 새 예능 출연""",ko,"'Arirang' win ""Arirang, Song Min-ho and new performing appearance""",‘ Big Bang ’ Wins 9 Anaerobic Sins 1 year 6 months,"' as the BROTHER ' , ' BIG BANG ' WINXICON appear ' cheer DAE - HYEON ' and the SKELETON '"
2018-02-03 00:00:00+00:00,"태양 민효린 결혼 피로연 사회는 대성, 축가는 CL 승리",ko,"SUN MIN HYO-RIN WEDDING FATIGUE SOCIETY IS DAESUNG, THE AXIAL PRICE OF CL WINS",[ Completion ] ‘ Prime Escape ’ BIGBANG Winning 1 year 6 months ..,"' Arirang ' win ` ` Arirang , Song Min - ho new perform appearance ''"
2018-02-03 00:00:00+00:00,‘아는 형님’ 승리 “지드래곤 덕에 몸살 약도 안 먹어 그래서 내가 약을 안 해”,ko,“I’m the brother” wins “I don’t eat the flesh pills in the wilderness so I don’t know about”,"Big Bang wins , nine alleged debts , sixth month issue","Big Bang Wins , who ' friend call ?"
2018-02-03 00:00:00+00:00,오늘 읽어야 할 아경 연예/스포츠 뉴스 Top10,ko,News Top10,[ Mirror Lee Daily Newspaper ] “ Immigrant Pink Paper Invalid ” Social Conversation,"' Ambassy ' bigbang Win Icons , Bumblebees Chiaring challenge"
2018-02-03 00:00:00+00:00,"‘결혼’ 태양♥민효린 부부, 피로연 현장 공개 “한 폭의 그림”",ko,"""Following"" Sun♥Min Hyorin couple, the tired scene public ""The picture of the width""","BIGBANG 's 'Winning ' Supreme Court , Jang Station June 1st",yg ENTERTAINMENT ` ` SOLAR - MIN HYO - RIN wedding BLESSINGS well FINISHED ''
2018-02-03 00:00:00+00:00,"YG “태양♥민효린 결혼, 축복 감사 피로연 사회는 대성 축가는 승리 CL”(전문)",ko,"YG “SOLAR♥MIN HYO-RIN MARRIED, BLESSINGS AND BLESSINGS OF THE FATIGUE SOCIETY”",BIGBANG Victory Today Supreme Prosecutor ’ Second Commemoration 1 year 6 months,"[ Exclusivity Specialist ] Sun ♥ Min Hyo - rin wedding ceremony ... "" I give look forward life """
2018-02-03 00:00:00+00:00,"태양♥민효린 피로연 사회는 대성, 축가는 CL-승리",ko,"SOLAR ♥MIN HYORIN FATIGUE SOCIETY DAESUNG, SHANDONG CL-RAIL",'Property Vendor Al-Line Gaming ' Big Bang Winning 1 Year 6 Months Determined Private Jail,""" I ' brother "" win "" I ' eat flesh pill wilderness I ' know """
2018-02-03 00:00:00+00:00,"[M+뮤직차트] 아이콘 ‘사랑을 했다’, 10일째 음원차트 1위+MV 천만뷰 돌파",ko,"[M+MUSIC CHART] ICON ‘LOVED’, NO. 1 FOR 10 DAYS + NO. 1 MV",'Property Al-Line ' Big Bang Victory today transfers public prisons,' follow ' Solar ♥ Min Hyo - Side ` ` Sound thank ... well ` ` I ' m going see ''
2018-02-03 00:00:00+00:00,아이콘 `사랑을 했다` 10일째 음원차트 1위 MV 1000만뷰 돌파,ko,ICON `LOVED` 1ST MV 1000 MILLION VIEWS,'Property Alta ' Big Bang Wins Today Supreme Court,` ` will respond sanctuary sun rage side ''
2018-02-03 00:00:00+00:00,"아이콘, 10일째 차트 1위 '장기집권' 뮤비 1천만뷰 돌파",ko,"Icon, No. 1 on the 10th chart, ‘Jang Ki-bang’ MUMBI 100 Million Views","[ Program ] Block , 'Program Provocation Provocation Provocation Provocation Provocation Provocation Provocation 1 year 6 months","bigbang win , attend Sun Min Hyo wedding ` ` temporary tomb ''"
2018-02-03 00:00:00+00:00,"승리X아이콘, `아는 형님` 전학 인증 (feat. 치어리더부장 박기량)",ko,"WinXIcon, `Amazing My brother` (feat.) Cheerleaders Blast",BIGBANG Wins first six months Jingjiang District,"icon , no . 1 10th day chart , ' Jang Ki - bang ' ... 100 million view"
2018-02-03 00:00:00+00:00,"빅뱅 승리, 태양♥민효린 결혼에 “거참 기분이 묘하군”",ko,"BIGBANG Wins, Sun♥Min Hyo-joo in marriage “I feel the graveyard”","[ No.1 ] The Supreme Court , ‘ Jang-hoon ’ Anaerobic BIGBANG Winning Station Jun . 1","bigbang Wins , Sun ♥ Min Hyo - joo marriage "" I feel graveyard """
2018-02-03 00:00:00+00:00,"아이콘, 10일째 차트 1위 '장기집권'...뮤비 1천만뷰 돌파",ko,"Icon, No. 1 on the 10th day chart, ‘Jang Ki-bang’... 100 Million Views",‘ Promotional Alternator ’ BIGBANG Victory Today ’ Supreme Prosecutor ’ 2-SIM Jang Station 1 year 6 months,"Sun - Min Hyorin , today 's public marriage Yang Hyun - seok , BIGBANG , Ramilan attend"
2018-02-03 00:00:00+00:00,"빅뱅 승리, 태양 민효린 결혼식 참석 ""기분이 묘하구만""",ko,"BIGBANG Wins, Attending the Sun Min Hyo wedding ""Temporary tomb""","‘ Seongjae Al-Line , Won-Moon , Burning Sun ’ BIGBANG Wins ‘ Jun 1 Year ’","icon , no . 1 10th chart , ' Jang Ki - bang ' MUMBI 100 million view"
2018-02-03 00:00:00+00:00,"태양-민효린, 오늘 비공개 결혼 양현석ㆍ빅뱅ㆍ라미란 참석",ko,"Sun-Min Hyorin, today's public marriage Yang Hyun-seok, BIGBANG, Ramilan attended",'Property Vendor Al-Line High-Temporary Domina ’ Big Bang Winning 1 year 6 months,icon ` LOVED ` 1ST MV 1000 MILLION VIEWS
2018-02-03 00:00:00+00:00,[공십입장 전문] 태양♥민효린 결혼식 성료...“행복하게 살아가는 모습으로 보답 할 것”,ko,[Exclusivity Specialist] Sun ♥Min Hyo-rin wedding ceremonies... “I will give you a look forward to life”,‘ Jeon Hye-soon ’ BIGBANG wins 1 year 6 months,"[ m+music chart ] icon ' LOVED ' , no . 1 for 10 day + no . 1 MV"
