text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
"I’m a proud elf but i also love bigbang, i mean who doesn’t? They are amazing and their songs are so baaammmm! ❤️",2018-07-28 00:00:00+00:00,hii0tpk8Dss,"I’m a proud elf but i also love bigbang, i mean who doesn’t? They are amazing and their songs are so baaammmm! ",en,"I’m a proud elf but i also love bigbang, i mean who doesn’t? They are amazing and their songs are so baaammmm! !","I ’ proud elf also love bigbang , mean ’ ? They amazing songs baaammmm ! !","I ' proud elf also love bigbang , mean ' ? they amazing song baaammmm ! !"
"Like always, the best.I really missed youuuu",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"Like always, the best.I really missed youuuu",en,"Like always, the best.I really missed youuuu","Like always , best.I really missed youuuu","like always , well . I really miss youuuu"
Seungri never fails to make me laugh😂,2018-05-30 00:00:00+00:00,hii0tpk8Dss,Seungri never fails to make me laugh,et,Seungri never fails to make me laugh,Seungri never fails make laugh,seungri never fail make laugh
daebakkk.. 😍😍 i like it😍😘😘 congratulation oppa😍❤️💞,2018-07-20 00:00:00+00:00,Q7sHwg2Z21U,daebakkk..  i like it congratulation oppa,id,daebakkk.. i like it congratulations oppa,daebakkk .. like congratulations oppa,daebakkk .. like congratulation oppa
No idea what he's saying but I love this video and Seungri has been Killin it.. Love the way he dances in this video too cute..,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,No idea what he's saying but I love this video and Seungri has been Killin it.. Love the way he dances in this video too cute..,en,No idea what he's saying but I love this video and Seungri has been Killin it.. Love the way he dances in this video too cute..,No idea 's saying I love video Seungri Killin .. Love way dances video cute ..,no idea 's say I love video Seungri Killin .. love way dance video cute ..
I mean what kind of humble house do you expect from the highest paid group in Korea tho lmao.,2018-04-01 00:00:00+00:00,Qo55vEgzvgI,I mean what kind of humble house do you expect from the highest paid group in Korea tho lmao.,en,I mean what kind of humble house do you expect from the highest paid group in Korea tho lmao.,I mean kind humble house expect highest paid group Korea tho lmao .,I mean kind humble house expect high pay group Korea tho lmao .
AGH MINOOOO,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,AGH MINOOOO,id,AGH MINOOOOOOOO,AGH MINOOOOOOOO,AGH MINOOOOOOOO
Seungri has such an attractive voice it’s unreal,2018-09-12 00:00:00+00:00,Q7sHwg2Z21U,Seungri has such an attractive voice it’s unreal,en,Seungri has such an attractive voice it’s unreal,Seungri attractive voice ’ unreal,seungri attractive voice ' unreal
I love how Jisoo's face looks in the thumbnail.,2018-07-25 00:00:00+00:00,YZqxolXNC2k,I love how Jisoo's face looks in the thumbnail.,en,I love how Jisoo's face looks in the thumbnail.,I love Jisoo 's face looks thumbnail .,I love Jisoo 's face look thumbnail .
Nice video aku suka banget,2018-03-18 00:00:00+00:00,GT9RN7B07jU,Nice video aku suka banget,id,Nice Videos I like banget,Nice Videos I like banget,Nice Videos I like banget
Mino in that  outfit lord take the wheel,2018-07-27 00:00:00+00:00,m2MtOeuCgh8,Mino in that  outfit lord take the wheel,en,Mino in that  outfit lord take the wheel,Mino outfit lord take wheel,Mino outfit lord take wheel
"Jennie knew before hand
That she needed those tips",2019-01-17 00:00:00+00:00,YZqxolXNC2k,"Jennie knew before hand
That she needed those tips",en,"Jennie knew before hand
That she needed those tips",Jennie knew hand That needed tips,Jennie know hand that need tip
"And Seungri, you are the best as always. 👍 Good job with the great song and mv",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"And Seungri, you are the best as always.  Good job with the great song and mv",en,"And Seungri, you are the best as always.  Good job with the great song and mv","And Seungri , best always . Good job great song mv","and Seungri , well always . good job great song mv"
"ok this mv is a mix of seungri being junior psy, making fun of his hyung GD and showing everyone that he is the 5th member of Blackpink (the scene where he throws the colors like Lisa in ddu-du-ddu-du mv) XD *and damn my boy mino going hard*",2018-07-27 00:00:00+00:00,m2MtOeuCgh8,"ok this mv is a mix of seungri being junior psy, making fun of his hyung GD and showing everyone that he is the 5th member of Blackpink (the scene where he throws the colors like Lisa in ddu-du-ddu-du mv) XD *and damn my boy mino going hard*",en,"ok this mv is a mix of seungri being junior psy, making fun of his hyung GD and showing everyone that he is the 5th member of Blackpink (the scene where he throws the colors like Lisa in ddu-du-ddu-du mv) XD *and damn my boy mino going hard*","ok mv mix seungri junior psy , making fun hyung GD showing everyone 5th member Blackpink ( scene throws colors like Lisa ddu-du-ddu-du mv ) XD * damn boy mino going hard *","ok mv mix seungri junior psy , make fun hyung GD show everyone 5th member Blackpink ( scene throw color like Lisa ddu - du - ddu - du mv ) XD * damn boy mino go hard *"
Ah lindos,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Ah lindos,es,Ah cute,Ah cute,ah cute
3:08 mino's head shaking ist so cute ^_^,2018-07-27 00:00:00+00:00,m2MtOeuCgh8,3:08 mino's head shaking ist so cute ^_^,en,3:08 mino's head shaking ist so cute ^_^,3:08 mino 's head shaking ist cute ^_^,3:08 mino 's head shake ist cute ^_^
KING KING KING,2018-07-21 00:00:00+00:00,Q7sHwg2Z21U,KING KING KING,en,KING KING KING,KING KING KING,king king KING
Hello YG Entertainment.. Please Hire TRANSLATOR for your International Fans.. and I thank you 😍🤗😇,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Hello YG Entertainment.. Please Hire TRANSLATOR for your International Fans.. and I thank you ,en,Hello YG Entertainment.. Please Hire TRANSLATOR for your International Fans.. and I thank you ,Hello YG Entertainment .. Please Hire TRANSLATOR International Fans .. I thank,hello YG Entertainment .. please hire TRANSLATOR International Fans .. I thank
2:20 mino OMG 😂😂😂😂,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,2:20 mino OMG ,en,2:20 mino OMG ,2:20 mino OMG,2:20 mino omg
"I feel like we all needed this kind of song by seungri, this reminds me of psy style (obviously is different) and idk i love this concept so much it's so fun to look at, the song is a bop, the choreography is cool too and it fits seungri perfectly, 💞",2018-07-27 00:00:00+00:00,m2MtOeuCgh8,"I feel like we all needed this kind of song by seungri, this reminds me of psy style (obviously is different) and idk i love this concept so much it's so fun to look at, the song is a bop, the choreography is cool too and it fits seungri perfectly, ",en,"I feel like we all needed this kind of song by seungri, this reminds me of psy style (obviously is different) and idk i love this concept so much it's so fun to look at, the song is a bop, the choreography is cool too and it fits seungri perfectly, ,","I feel like needed kind song seungri , reminds psy style ( obviously different ) idk love concept much 's fun look , song bop , choreography cool fits seungri perfectly , ,","I feel like need kind song seungri , remind psy style ( obviously different ) idk love concept much 's fun look , song bop , choreography cool fit seungri perfectly , ,"
