date,song,artist,this_week,last_week,peak_position,weeks_on_chart
2015-01-03,Blank Space,Taylor Swift,1,1,1,8
2015-01-03,Take Me To Church,Hozier,2,2,2,19
2015-01-03,Uptown Funk!,Mark Ronson Featuring Bruno Mars,3,3,3,6
2015-01-03,Thinking Out Loud,Ed Sheeran,4,6,4,11
2015-01-03,Lips Are Movin,Meghan Trainor,5,4,4,9
2015-01-03,I'm Not The Only One,Sam Smith,6,5,5,16
2015-01-03,Love Me Harder,Ariana Grande & The Weeknd,7,9,7,11
2015-01-03,Jealous,Nick Jonas,8,11,8,15
2015-01-03,Animals,Maroon 5,9,8,3,18
2015-01-03,All About That Bass,Meghan Trainor,10,7,1,24
2015-01-03,Shake It Off,Taylor Swift,11,10,1,18
2015-01-03,I Don't F**k With You,Big Sean Featuring E-40,12,14,11,13
2015-01-03,The Heart Wants What It Wants,Selena Gomez,13,13,6,7
2015-01-03,Wasted Love,Matt McAndrew,14,,14,1
2015-01-03,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",15,12,12,8
2015-01-03,Habits (Stay High),Tove Lo,16,15,3,30
2015-01-03,Tuesday,I LOVE MAKONNEN Featuring Drake,17,16,12,13
2015-01-03,Waves,Mr. Probz,18,18,14,18
2015-01-03,Don't,Ed Sheeran,19,17,9,28
2015-01-03,Centuries,Fall Out Boy,20,26,20,15
2015-01-03,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,21,23,12,4
2015-01-03,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",22,19,3,21
2015-01-03,No Type,Rae Sremmurd,23,22,16,13
2015-01-03,7/11,Beyonce,24,20,13,4
2015-01-03,Hot Boy,Bobby Shmurda,25,24,6,21
2015-01-03,Blame,Calvin Harris Featuring John Newman,26,21,19,15
2015-01-03,Stay With Me,Sam Smith,27,25,2,37
2015-01-03,CoCo,O.T. Genasis,28,27,27,5
2015-01-03,Beg For It,Iggy Azalea Featuring M0,29,28,28,9
2015-01-03,Don't Tell 'Em,Jeremih Featuring YG,30,29,6,26
2015-01-03,I Don't Mind,Usher Featuring Juicy J,31,37,31,5
2015-01-03,Riptide,Vance Joy,32,32,32,26
2015-01-03,Black Widow,Iggy Azalea Featuring Rita Ora,33,30,3,25
2015-01-03,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,34,,34,1
2015-01-03,All I Want For Christmas Is You,Mariah Carey,35,40,21,10
2015-01-03,Heroes (We Could Be),Alesso Featuring Tove Lo,36,35,35,12
2015-01-03,Trumpets,Jason Derulo,37,31,14,30
2015-01-03,Shotgun Rider,Tim McGraw,38,39,38,12
2015-01-03,Stolen Dance,Milky Chance,39,42,39,22
2015-01-03,Chandelier,Sia,40,34,8,33
2015-01-03,Something In The Water,Carrie Underwood,41,38,24,12
2015-01-03,Santa Tell Me,Ariana Grande,42,64,42,4
2015-01-03,Feeling Myself,Nicki Minaj Featuring Beyonce,43,,43,1
2015-01-03,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,44,33,16,23
2015-01-03,Rather Be,Clean Bandit Featuring Jess Glynne,45,36,10,28
2015-01-03,Try Me,DeJ Loaf,46,45,45,9
2015-01-03,Ghost,Ella Henderson,47,57,47,8
2015-01-03,Anaconda,Nicki Minaj,48,55,2,20
2015-01-03,Rude,MAGIC!,49,43,1,35
2015-01-03,Night Changes,One Direction,50,53,31,5
2015-01-03,Talladega,Eric Church,51,51,51,9
2015-01-03,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,52,47,43,16
2015-01-03,Velvet,Chris Jamison,53,,53,1
2015-01-03,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",54,44,39,16
2015-01-03,L.A.LOVE (la la),Fergie,55,41,27,11
2015-01-03,About The Money,T.I. Featuring Young Thug,56,50,42,20
2015-01-03,Sun Daze,Florida Georgia Line,57,58,57,9
2015-01-03,"Mary, Did You Know?",Pentatonix,58,48,26,5
2015-01-03,Perfect Storm,Brad Paisley,59,52,52,11
2015-01-03,I Bet My Life,Imagine Dragons,60,63,53,7
2015-01-03,I See You,Luke Bryan,61,61,61,4
2015-01-03,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,62,,62,4
2015-01-03,Lost Without U,Chris Jamison & Adam Levine,63,,63,1
2015-01-03,I Lived,OneRepublic,64,67,64,4
2015-01-03,Masterpiece,Jessie J,65,,65,1
2015-01-03,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,66,54,54,3
2015-01-03,Til It's Gone,Kenny Chesney,67,68,67,8
2015-01-03,Dangerous,David Guetta Featuring Sam Martin,68,60,56,9
2015-01-03,Prayer In C,Lillywood & Robin Schulz,69,79,69,3
2015-01-03,Steal My Girl,One Direction,70,70,13,12
2015-01-03,Close Your Eyes,Parmalee,71,69,69,13
2015-01-03,Drinking Class,Lee Brice,72,72,72,10
2015-01-03,Just Gettin' Started,Jason Aldean,73,84,61,4
2015-01-03,Soldier,Damien,74,,74,1
2015-01-03,Sledgehammer,Fifth Harmony,75,94,75,4
2015-01-03,Make Me Wanna,Thomas Rhett,76,80,76,6
2015-01-03,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,77,87,77,6
2015-01-03,God Made Girls,RaeLynn,78,71,61,9
2015-01-03,She Knows,Ne-Yo Featuring Juicy J,79,85,79,5
2015-01-03,Somewhere In My Car,Keith Urban,80,65,49,17
2015-01-03,Often,The Weeknd,81,74,74,10
2015-01-03,Mean To Me,Brett Eldredge,82,82,82,7
2015-01-03,Lost Stars,Matt McAndrew & Adam Levine,83,,83,1
2015-01-03,Girl In A Country Song,Maddie & Tae,84,62,54,20
2015-01-03,Try,Colbie Caillat,85,77,55,18
2015-01-03,Shut Up And Dance,WALK THE MOON,86,83,75,6
2015-01-03,Time Of Our Lives,Pitbull & Ne-Yo,87,,87,2
2015-01-03,Get On Your Knees,Nicki Minaj Featuring Ariana Grande,88,,88,1
2015-01-03,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,89,75,41,13
