Month,Kanye West: (Worldwide)
2017-01,24
2017-02,22
2017-03,19
2017-04,19
2017-05,17
2017-06,18
2017-07,17
2017-08,17
2017-09,19
2017-10,18
2017-11,17
2017-12,17
2018-01,20
2018-02,18
2018-03,16
2018-04,43
2018-05,52
2018-06,47
2018-07,19
2018-08,22
2018-09,38
2018-10,49
2018-11,19
2018-12,23
2019-01,17
2019-02,15
2019-03,14
2019-04,18
2019-05,17
2019-06,16
2019-07,14
2019-08,13
2019-09,20
2019-10,32
2019-11,29
2019-12,19
2020-01,14
2020-02,14
2020-03,14
2020-04,17
2020-05,14
2020-06,17
2020-07,100
2020-08,23
2020-09,21
2020-10,21
2020-11,32
2020-12,12
2021-01,49
2021-02,20
2021-03,18
2021-04,16
2021-05,14
2021-06,20
2021-07,27
2021-08,43
2021-09,33
2021-10,23
2021-11,27
2021-12,24
2022-01,35
2022-02,67
2022-03,43
2022-04,24
2022-05,22
2022-06,20
2022-07,18
2022-08,19
2022-09,24
2022-10,94
2022-11,36
2022-12,52
2023-01,32
2023-02,22
2023-03,17
2023-04,16
2023-05,23
2023-06,24
2023-07,20
2023-08,32
2023-09,29
2023-10,24
2023-11,23
2023-12,31
2024-01,27
2024-02,54
2024-03,31
2024-04,23
2024-05,20
