Date,Followers,Change
"Oct 1, 2017",5404633,8383
"Oct 2, 2017",5412673,8040
"Oct 3, 2017",5419473,6800
"Oct 4, 2017",5427099,7626
"Oct 5, 2017",5434894,7795
"Oct 6, 2017",5442378,7484
"Oct 7, 2017",5450193,7815
"Oct 8, 2017",5458748,8555
"Oct 9, 2017",5467034,8286
"Oct 10, 2017",5474930,7896
"Oct 11, 2017",5482428,7498
"Oct 12, 2017",5489999,7571
"Oct 13, 2017",5497442,7443
"Oct 14, 2017",5505027,7585
"Oct 15, 2017",5513268,8241
"Oct 16, 2017",5521795,8527
"Oct 17, 2017",5528942,7147
"Oct 18, 2017",5536061,7119
"Oct 19, 2017",5543137,7076
"Oct 20, 2017",5550245,7108
"Oct 21, 2017",5557720,7475
"Oct 22, 2017",5566044,8324
"Oct 23, 2017",5574245,8201
"Oct 24, 2017",5581639,7394
"Oct 25, 2017",5588912,7273
"Oct 26, 2017",5596187,7275
"Oct 27, 2017",5603457,7270
"Oct 28, 2017",5611105,7648
"Oct 29, 2017",5619049,7944
"Oct 30, 2017",5626976,7927
"Oct 31, 2017",5633942,6966
"Nov 1, 2017",5640512,6570
"Nov 2, 2017",5647866,7354
"Nov 3, 2017",5655488,7622
"Nov 4, 2017",5663483,7995
"Nov 5, 2017",5672532,9049
"Nov 6, 2017",5681392,8860
"Nov 7, 2017",5688774,7382
"Nov 8, 2017",5696001,7227
"Nov 9, 2017",5703580,7579
"Nov 10, 2017",5711112,7532
"Nov 11, 2017",5719302,8190
"Nov 12, 2017",5727743,8441
"Nov 13, 2017",5735807,8064
"Nov 14, 2017",5743064,7257
"Nov 15, 2017",5750265,7201
"Nov 16, 2017",5757308,7043
"Nov 17, 2017",5764540,7232
"Nov 18, 2017",5772261,7721
"Nov 19, 2017",5780437,8176
"Nov 20, 2017",5788250,7813
"Nov 21, 2017",5795667,7417
"Nov 22, 2017",5803474,7807
"Nov 23, 2017",5812156,8682
"Nov 24, 2017",5820153,7997
"Nov 25, 2017",5828697,8544
"Nov 26, 2017",5837645,8948
"Nov 27, 2017",5846302,8657
"Nov 28, 2017",5853900,7598
"Nov 29, 2017",5861056,7156
"Nov 30, 2017",5868338,7282
"Dec 1, 2017",5875983,7645
"Dec 2, 2017",5884443,8460
"Dec 3, 2017",5893773,9330
"Dec 4, 2017",5902642,8869
"Dec 5, 2017",5910568,7926
"Dec 6, 2017",5918661,8093
"Dec 7, 2017",5926959,8298
"Dec 8, 2017",5935012,8053
"Dec 9, 2017",5943475,8463
"Dec 10, 2017",5952303,8828
"Dec 11, 2017",5960976,8673
"Dec 12, 2017",5968772,7796
"Dec 13, 2017",5976304,7532
"Dec 14, 2017",5984023,7719
"Dec 15, 2017",5991741,7718
"Dec 16, 2017",5999460,7719
"Dec 17, 2017",6007178,7718
"Dec 18, 2017",6015169,7991
"Dec 19, 2017",6022423,7254
"Dec 20, 2017",6029762,7339
"Dec 21, 2017",6037204,7442
"Dec 22, 2017",6045768,8564
"Dec 23, 2017",6054371,8603
"Dec 24, 2017",6063050,8679
"Dec 25, 2017",6072080,9030
"Dec 26, 2017",6089161,17081
"Dec 27, 2017",6101066,11905
"Dec 28, 2017",6111426,10360
"Dec 29, 2017",6120725,9299
"Dec 30, 2017",6129569,8844
"Dec 31, 2017",6138412,8843
"Jan 1, 2018",6146747,8335
"Jan 2, 2018",6154523,7776
"Jan 3, 2018",6162298,7775
"Jan 4, 2018",6170115,7817
"Jan 5, 2018",6178375,8260
"Jan 6, 2018",6186030,7655
"Jan 7, 2018",6193977,7947
"Jan 8, 2018",6201882,7905
"Jan 9, 2018",6209359,7477
"Jan 10, 2018",6216902,7543
"Jan 11, 2018",6224492,7590
"Jan 12, 2018",6231074,6582
"Jan 13, 2018",6239793,8719
"Jan 14, 2018",6248211,8418
"Jan 15, 2018",6256265,8054
"Jan 16, 2018",6263882,7617
"Jan 17, 2018",6270833,6951
"Jan 18, 2018",6277612,6779
"Jan 19, 2018",6284548,6936
"Jan 20, 2018",6292050,7502
"Jan 21, 2018",6300963,8913
"Jan 22, 2018",6309404,8441
"Jan 23, 2018",6317245,7841
"Jan 24, 2018",6325099,7854
"Jan 25, 2018",6333150,8051
"Jan 26, 2018",6340954,7804
"Jan 27, 2018",6350134,9180
"Jan 28, 2018",6358861,8727
"Jan 29, 2018",6367160,8299
"Jan 30, 2018",6373040,5880
"Jan 31, 2018",6381573,8533
"Feb 1, 2018",6388786,7213
"Feb 2, 2018",6395857,7071
"Feb 3, 2018",6403588,7731
"Feb 4, 2018",6411768,8180
"Feb 5, 2018",6419642,7874
"Feb 6, 2018",6426573,6931
"Feb 7, 2018",6433765,7192
"Feb 8, 2018",6441057,7292
"Feb 9, 2018",6448377,7320
"Feb 10, 2018",6456203,7826
"Feb 11, 2018",6464868,8665
"Feb 12, 2018",6473263,8395
"Feb 13, 2018",6480707,7444
"Feb 14, 2018",6487893,7186
"Feb 15, 2018",6495563,7670
"Feb 16, 2018",6502976,7413
"Feb 17, 2018",6510853,7877
"Feb 18, 2018",6518837,7984
"Feb 19, 2018",6526979,8142
"Feb 20, 2018",6534499,7520
"Feb 21, 2018",6542042,7543
"Feb 22, 2018",6549417,7375
"Feb 23, 2018",6557107,7690
"Feb 24, 2018",6565608,8501
"Feb 25, 2018",6574564,8956
"Feb 26, 2018",6583180,8616
"Feb 27, 2018",6590615,7435
"Feb 28, 2018",6597989,7374
"Mar 1, 2018",6605982,7993
"Mar 2, 2018",6614453,8471
"Mar 3, 2018",6623750,9297
"Mar 4, 2018",6633223,9473
"Mar 5, 2018",6642285,9062
"Mar 6, 2018",6651741,9456
"Mar 7, 2018",6660454,8713
"Mar 8, 2018",6668438,7984
"Mar 9, 2018",6677041,8603
"Mar 10, 2018",6686305,9264
"Mar 11, 2018",6695382,9077
"Mar 12, 2018",6704215,8833
"Mar 13, 2018",6717106,12891
"Mar 14, 2018",6729086,11980
"Mar 15, 2018",6741067,11981
"Mar 16, 2018",6753047,11980
"Mar 17, 2018",6764166,11119
"Mar 18, 2018",6774458,10292
"Mar 19, 2018",6784143,9685
"Mar 20, 2018",6792495,8352
"Mar 21, 2018",6800695,8200
"Mar 22, 2018",6809272,8577
"Mar 23, 2018",6817553,8281
"Mar 24, 2018",6826248,8695
"Mar 25, 2018",6835233,8985
"Mar 26, 2018",6844018,8785
"Mar 27, 2018",6852066,8048
"Mar 28, 2018",6865139,13073
"Mar 29, 2018",6869280,4141
"Mar 30, 2018",6878956,9676
"Mar 31, 2018",6890580,11624
"Apr 1, 2018",6901000,10420
"Apr 2, 2018",6910349,9349
"Apr 3, 2018",6919649,9300
"Apr 4, 2018",6929380,9731
"Apr 5, 2018",6938393,9013
"Apr 6, 2018",6946104,7711
"Apr 7, 2018",6957076,10972
"Apr 8, 2018",6967160,10084
"Apr 9, 2018",6976575,9415
"Apr 10, 2018",6985374,8799
"Apr 11, 2018",6994165,8791
"Apr 12, 2018",7002508,8343
"Apr 13, 2018",7011382,8874
"Apr 14, 2018",7020338,8956
"Apr 15, 2018",7029449,9111
"Apr 16, 2018",7038647,9198
"Apr 17, 2018",7046999,8352
"Apr 18, 2018",7055510,8511
"Apr 19, 2018",7064001,8491
"Apr 20, 2018",7073848,9847
"Apr 21, 2018",7089194,15346
"Apr 22, 2018",7101189,11995
"Apr 23, 2018",7112693,11504
"Apr 24, 2018",7123396,10703
"Apr 25, 2018",7133629,10233
"Apr 26, 2018",7143725,10096
"Apr 27, 2018",7154314,10589
"Apr 28, 2018",7167129,12815
"Apr 29, 2018",7181663,14534
"Apr 30, 2018",7193435,11772
"May 1, 2018",7204339,10904
"May 2, 2018",7214471,10132
"May 3, 2018",7223320,8849
"May 4, 2018",7232199,8879
"May 5, 2018",7241760,9561
"May 6, 2018",7250709,8949
"May 7, 2018",7258916,8207
"May 8, 2018",7266330,7414
"May 9, 2018",7274203,7873
"May 10, 2018",7280565,6362
"May 11, 2018",7288850,8285
"May 12, 2018",7298403,9553
"May 13, 2018",7307614,9211
"May 14, 2018",7316323,8709
"May 15, 2018",7324616,8293
"May 16, 2018",7332704,8088
"May 17, 2018",7340721,8017
"May 18, 2018",7348391,7670
"May 19, 2018",7356019,7628
"May 20, 2018",7363454,7435
"May 21, 2018",7370888,7434
"May 22, 2018",7377983,7095
"May 23, 2018",7386606,8623
"May 24, 2018",7394973,8367
"May 25, 2018",7403105,8132
"May 26, 2018",7412999,9894
"May 27, 2018",7422218,9219
"May 28, 2018",7430863,8645
"May 29, 2018",7439184,8321
"May 30, 2018",7447120,7936
"May 31, 2018",7455140,8020
"Jun 1, 2018",7466081,10941
"Jun 2, 2018",7499174,33093
"Jun 3, 2018",7517377,18203
"Jun 4, 2018",7532186,14809
"Jun 5, 2018",7545689,13503
"Jun 6, 2018",7558479,12790
"Jun 7, 2018",7569902,11423
"Jun 8, 2018",7580972,11070
"Jun 9, 2018",7597043,16071
"Jun 10, 2018",7608459,11416
"Jun 11, 2018",7619419,10960
"Jun 12, 2018",7629494,10075
"Jun 13, 2018",7639076,9582
"Jun 14, 2018",7648327,9251
"Jun 15, 2018",7658043,9716
