Date,Monthly Listeners,Change
"Mar 28, 2018",23588845,0
"Mar 29, 2018",23588845,0
"Mar 30, 2018",23588845,0
"Mar 31, 2018",23831688,242843
"Apr 1, 2018",23831688,0
"Apr 2, 2018",23831688,0
"Apr 3, 2018",23831688,0
"Apr 4, 2018",23831688,0
"Apr 5, 2018",23957749,126061
"Apr 6, 2018",23957749,0
"Apr 7, 2018",23957749,0
"Apr 8, 2018",23957749,0
"Apr 9, 2018",23957749,0
"Apr 10, 2018",23905598,-52151
"Apr 11, 2018",23905598,0
"Apr 12, 2018",23905598,0
"Apr 13, 2018",23905598,0
"Apr 14, 2018",23905598,0
"Apr 15, 2018",23943482,37884
"Apr 16, 2018",23943482,0
"Apr 17, 2018",23943482,0
"Apr 18, 2018",23943482,0
"Apr 19, 2018",23943482,0
"Apr 20, 2018",24131840,188358
"Apr 21, 2018",24131840,0
"Apr 22, 2018",24131840,0
"Apr 23, 2018",24131840,0
"Apr 24, 2018",24131840,0
"Apr 25, 2018",24258779,126939
"Apr 26, 2018",24258779,0
"Apr 27, 2018",24258779,0
"Apr 28, 2018",24258779,0
"Apr 29, 2018",24258779,0
"Apr 30, 2018",24336563,77784
"May 1, 2018",24336563,0
"May 2, 2018",24336563,0
"May 3, 2018",25097918,761355
"May 4, 2018",25269409,171491
"May 5, 2018",25269409,0
"May 6, 2018",25269409,0
"May 7, 2018",25269409,0
"May 8, 2018",25269409,0
"May 9, 2018",26570347,1300938
"May 10, 2018",26570347,0
"May 11, 2018",26570347,0
"May 12, 2018",26570347,0
"May 13, 2018",26570347,0
"May 14, 2018",27066593,496246
"May 15, 2018",27066593,0
"May 16, 2018",27066593,0
"May 17, 2018",27066593,0
"May 18, 2018",27200044,133451
"May 19, 2018",27200044,0
"May 20, 2018",27200044,0
"May 21, 2018",27200044,0
"May 22, 2018",27200044,0
"May 23, 2018",27106043,-94001
"May 24, 2018",27106043,0
"May 25, 2018",27106043,0
"May 26, 2018",27106043,0
"May 27, 2018",27106043,0
"May 28, 2018",27108748,2705
"May 29, 2018",27108748,0
"May 30, 2018",27108748,0
"May 31, 2018",27108748,0
"Jun 1, 2018",26525951,-582797
"Jun 2, 2018",26525951,0
"Jun 3, 2018",26525951,0
"Jun 4, 2018",26525951,0
"Jun 5, 2018",26525951,0
"Jun 6, 2018",28094057,1568106
"Jun 7, 2018",28094057,0
"Jun 8, 2018",28094057,0
"Jun 9, 2018",28094057,0
"Jun 10, 2018",28094057,0
"Jun 11, 2018",32120000,4025943
"Jun 12, 2018",32120000,0
"Jun 13, 2018",32120000,0
"Jun 14, 2018",32120000,0
"Jun 15, 2018",33556083,1436083
"Jun 16, 2018",33556083,0
"Jun 17, 2018",33556083,0
"Jun 18, 2018",33556083,0
"Jun 19, 2018",33556083,0
"Jun 20, 2018",34918177,1362094
"Jun 21, 2018",34918177,0
"Jun 22, 2018",34918177,0
"Jun 23, 2018",34918177,0
"Jun 24, 2018",34918177,0
"Jun 25, 2018",35942199,1024022
"Jun 26, 2018",35942199,0
"Jun 27, 2018",35942199,0
"Jun 28, 2018",35942199,0
"Jun 29, 2018",35942199,0
"Jun 30, 2018",36768741,826542
"Jul 1, 2018",36768741,0
"Jul 2, 2018",36768741,0
"Jul 3, 2018",36768741,0
"Jul 4, 2018",35900993,-867748
"Jul 5, 2018",35900993,0
"Jul 6, 2018",35900993,0
"Jul 7, 2018",35900993,0
"Jul 8, 2018",35900993,0
"Jul 9, 2018",33905135,-1995858
"Jul 10, 2018",33905135,0
"Jul 11, 2018",33905135,0
"Jul 12, 2018",33905135,0
"Jul 13, 2018",33536255,-368880
"Jul 14, 2018",33167375,-368880
"Jul 15, 2018",32798495,-368880
"Jul 16, 2018",32429615,-368880
"Jul 17, 2018",32060735,-368880
"Jul 18, 2018",31691855,-368880
"Jul 19, 2018",31322975,-368880
"Jul 20, 2018",31322975,0
"Jul 21, 2018",31322975,0
"Jul 22, 2018",31322975,0
"Jul 23, 2018",31322975,0
"Jul 24, 2018",30367986,-954989
"Jul 25, 2018",30367986,0
"Jul 26, 2018",30367986,0
"Jul 27, 2018",29620673,-747313
"Jul 28, 2018",29620673,0
"Jul 29, 2018",29620673,0
"Jul 30, 2018",29620673,0
"Jul 31, 2018",29620673,0
"Aug 1, 2018",28798538,-822135
"Aug 2, 2018",28704917,-93621
"Aug 3, 2018",28704917,0
"Aug 4, 2018",28704917,0
"Aug 5, 2018",28704917,0
"Aug 6, 2018",28704917,0
"Aug 7, 2018",28252817,-452100
"Aug 8, 2018",28252817,0
"Aug 9, 2018",28252817,0
"Aug 10, 2018",27984520,-268297
"Aug 11, 2018",27984520,0
"Aug 12, 2018",27984520,0
"Aug 13, 2018",27984520,0
"Aug 14, 2018",27828631,-155889
"Aug 15, 2018",27672742,-155889
"Aug 16, 2018",27516853,-155889
"Aug 17, 2018",27516853,0
"Aug 18, 2018",27516853,0
"Aug 19, 2018",27226640,-290213
"Aug 20, 2018",26936427,-290213
"Aug 21, 2018",26890055,-46372
"Aug 22, 2018",26843683,-46372
"Aug 23, 2018",26797311,-46372
"Aug 24, 2018",26750939,-46372
"Aug 25, 2018",26739702,-11237
"Aug 26, 2018",26728466,-11236
"Aug 27, 2018",26717229,-11237
"Aug 28, 2018",26705993,-11236
"Aug 29, 2018",26694756,-11237
"Aug 30, 2018",26694756,0
"Aug 31, 2018",26694756,0
"Sep 1, 2018",26694756,0
"Sep 2, 2018",26694756,0
"Sep 3, 2018",26737903,43147
"Sep 4, 2018",26781051,43148
"Sep 5, 2018",26824198,43147
"Sep 6, 2018",26867345,43147
"Sep 7, 2018",27035872,168527
"Sep 8, 2018",27035872,0
"Sep 9, 2018",27035872,0
"Sep 10, 2018",27035872,0
"Sep 11, 2018",27035872,0
"Sep 12, 2018",28619497,1583625
"Sep 13, 2018",28619497,0
"Sep 14, 2018",28619497,0
"Sep 15, 2018",28619497,0
"Sep 16, 2018",28619497,0
"Sep 17, 2018",31515039,2895542
"Sep 18, 2018",31515039,0
"Sep 19, 2018",31515039,0
"Sep 20, 2018",31515039,0
"Sep 21, 2018",33957904,2442865
"Sep 22, 2018",33957904,0
"Sep 23, 2018",33957904,0
"Sep 24, 2018",33957904,0
"Sep 25, 2018",33957904,0
"Sep 26, 2018",36971486,3013582
"Sep 27, 2018",36971486,0
"Sep 28, 2018",36971486,0
"Sep 29, 2018",36971486,0
"Sep 30, 2018",36971486,0
"Oct 1, 2018",38868682,1897196
"Oct 2, 2018",38868682,0
"Oct 3, 2018",38868682,0
"Oct 4, 2018",39787907,919225
"Oct 5, 2018",39787907,0
"Oct 6, 2018",39787907,0
"Oct 7, 2018",39787907,0
"Oct 8, 2018",39787907,0
"Oct 9, 2018",40808973,1021066
"Oct 10, 2018",40808973,0
"Oct 11, 2018",40808973,0
"Oct 12, 2018",40808973,0
"Oct 13, 2018",40808973,0
"Oct 14, 2018",40808973,0
"Oct 15, 2018",40651007,-157966
"Oct 16, 2018",40651007,0
