video_id,view_count,like_count
IRCLZtFkLxk,1.0,0.0
g0f9S_gfv9M,2.0,0.0
trd4jJlUmPA,222.0,6.0
VlWQy7mn7_8,159.0,13.0
BoFB6BgkEtw,0.0,1.0
1fy8O2XG9r4,0.0,0.0
X_pxDVnYOoI,848.0,8.0
tzFTuYGqeKc,437.0,19.0
OisRLuZxPfc,568.0,27.0
oqw2FN0-MzI,,
DvMInNMEvEc,553.0,25.0
CmL70sR6pS8,265.0,23.0
k0sdSTjXrw4,468.0,14.0
32ZfhhLNOB4,2.0,0.0
h0KUjmiaR6w,837.0,39.0
cIz01GUDP-s,1553.0,68.0
A11Ux_AyVwA,429.0,6.0
39Bwu5GQNNM,,
4quS7t2pU9g,9805.0,74.0
C_MXklWDVYU,298.0,9.0
nhIvDWwEQjg,4028.0,42.0
6RZA4dmjgFc,10733.0,295.0
8pv76Ol30pU,2026.0,47.0
PsRfgKTDY44,521.0,11.0
xCkeHmGQgNY,445.0,9.0
Al7T5cZ64dc,301.0,9.0
KkeYph7kp7w,1923.0,93.0
-RY2yptD81U,828.0,54.0
wvcvZDttVk4,11203.0,422.0
5W6mjbxTQJU,265.0,13.0
NQhVoGuuJg8,4383.0,1394.0
GnvCPNdY-Iw,464.0,19.0
hE0zYaW2ck4,2971.0,34.0
UUsn8j1i9Cw,16060.0,520.0
Wqf9hTjjQYM,2196.0,149.0
SwvWwH8aHAw,5190.0,199.0
ZZANDcw70CI,645.0,12.0
o9Q0TIYBkPk,2092.0,24.0
TeYkKE5bOA8,10180.0,487.0
1zrst_UbNqg,886.0,18.0
bA6KloSHoEk,11861.0,644.0
eD07FnKmm3k,,
Pwgjb8b8uUc,131.0,5.0
GpnkIbtIeH4,10405.0,282.0
ZHpSeCWFMbQ,1165.0,67.0
ceee0c1G9cA,26671.0,1726.0
2hpTCN6PxiE,10422.0,318.0
3_G9RzHXNGY,471.0,6.0
HriBDuoXeYc,738.0,23.0
lXYxdwogqsI,1905.0,138.0
ytsM-l5Iz84,455.0,31.0
E0RHK771FEc,441.0,13.0
uPJvv1TI8P8,1748.0,136.0
zeyWB13_Lw0,1424.0,51.0
6PZGv5hNW2Y,20056.0,1861.0
G15HnpJbB1M,3680.0,69.0
MSHhMwHpj2Y,1409.0,70.0
vLtRA8pOnrs,513.0,13.0
o3lxc9l6Kss,3304.0,106.0
ov7JCfqbKgA,74921.0,5069.0
nLzdjmLQW88,1051419.0,13606.0
lFDEHfuXIv4,901.0,46.0
mU_tomlex2g,5064.0,107.0
rMFCjANDwEA,4322.0,156.0
VSt_t7RjAUI,25770.0,1476.0
fNWrUrDnavs,824.0,24.0
n8Ii8brEwsU,594.0,11.0
gYXcWCaC1a4,2152.0,62.0
gH9wZDQ0cHU,829.0,17.0
