Date,Followers,Change
"Jan 1, 2019",7505946,4473
"Jan 2, 2019",7510183,4237
"Jan 3, 2019",7515633,5450
"Jan 4, 2019",7521120,5487
"Jan 5, 2019",7526527,5407
"Jan 6, 2019",7532024,5497
"Jan 7, 2019",7537473,5449
"Jan 8, 2019",7542687,5214
"Jan 9, 2019",7548478,5791
"Jan 10, 2019",7556343,7865
"Jan 11, 2019",7563272,6929
"Jan 12, 2019",7570589,7317
"Jan 13, 2019",7577002,6413
"Jan 14, 2019",7583221,6219
"Jan 15, 2019",7589224,6003
"Jan 16, 2019",7595287,6063
"Jan 17, 2019",7601181,5894
"Jan 18, 2019",7607195,6014
"Jan 19, 2019",7613249,6054
"Jan 20, 2019",7619356,6107
"Jan 21, 2019",7625405,6049
"Jan 22, 2019",7630953,5548
"Jan 23, 2019",7636603,5650
"Jan 24, 2019",7641984,5381
"Jan 25, 2019",7647540,5556
"Jan 26, 2019",7652866,5326
"Jan 27, 2019",7658288,5422
"Jan 28, 2019",7663786,5498
"Jan 29, 2019",7669187,5401
"Jan 30, 2019",7674426,5239
"Jan 31, 2019",7679406,4980
"Feb 1, 2019",7684518,5112
"Feb 2, 2019",7689872,5354
"Feb 3, 2019",7695360,5488
"Feb 4, 2019",7701378,6018
"Feb 5, 2019",7705829,4451
"Feb 6, 2019",7711063,5234
"Feb 7, 2019",7716041,4978
"Feb 8, 2019",7721171,5130
"Feb 9, 2019",7727508,6337
"Feb 10, 2019",7733403,5895
"Feb 11, 2019",7739299,5896
"Feb 12, 2019",7744397,5098
"Feb 13, 2019",7749456,5059
"Feb 14, 2019",7754430,4974
"Feb 15, 2019",7758938,4508
"Feb 16, 2019",7763639,4701
"Feb 17, 2019",7768517,4878
"Feb 18, 2019",7774501,5984
"Feb 19, 2019",7777908,3407
"Feb 20, 2019",7782823,4915
"Feb 21, 2019",7786686,3863
"Feb 22, 2019",7791043,4357
"Feb 23, 2019",7795394,4351
"Feb 24, 2019",7800049,4655
"Feb 25, 2019",7805196,5147
"Feb 26, 2019",7808771,3575
"Feb 27, 2019",7813645,4874
"Feb 28, 2019",7820191,6546
"Mar 1, 2019",7825744,5553
"Mar 2, 2019",7830899,5155
"Mar 3, 2019",7836167,5268
