text,updateDt
AMAZING❤❤ THAT MUST HAVE TOOK SO LONG😭 YOU DID GREAT❤❤❤,2024-05-28
"HELPP ""im gonna fly"" 
               She was a fairy",2024-05-27
Tô animada,2024-05-27
THE EDITING GORI💅🏼😩💅🏼,2024-05-27
Fortnight or Better than revenge,2024-05-27
Hmm I think you should do down bad it’s a really good song,2024-05-27
Lover maybe 🎀,2024-05-27
"Enchanted
Maybe you could do light and dark purple and some gold beads as well
❤❤",2024-05-27
22 a hat idk ur choice,2024-05-27
lovely edit u deserve more views ❤❤❤❤ can u plz do 22,2024-05-27
Um if you can style or karma 😊 for style light blues for any extra beads and karma dark blue with gold stars 😊,2024-05-27
Make sure to check the description! To check the description if you don’t know how there should be 3 dots in the top right corner on your screen click on it and then click description. 🤍,2024-05-27
"obg lana del rey, se eu fosse noé eu te colocaria na minha barca",2024-05-27
Amo Lana,2024-05-27
Qual o nome da msc?,2024-05-27
Otima musica 😊,2024-05-27
obrigada zoe ❤,2024-05-27
"Música boa, mas o fundo me deu dor de cabeça",2024-05-27
Eu amo tanto essa 😭,2024-05-27
"Lana del Rey, sou devota por ti 🛐",2024-05-27
minha mãee,2024-05-27
A Lana del Rey é o sinônimo de perfeição 🙏🛐🛐,2024-05-27
"Eu lendo uma fanfc do jungkook, o chefe da marfia que que me pegar,🛐🛐🛐🛐",2024-05-27
Que música maravilhosa mds,2024-05-27
"Mdss eu sou devota à essa mulher como se ela fosse uma divindade ((ela é!!!

Obrigada pela bênção de hoje, zoe 🤭💋",2024-05-27
"A vibe dessa música é perfeita--- (zoe, um pedido, poderia trazer a música honey pie? ela é tão boa, mas pouco conhecida 😭😭 se vc achar legal, trás a tradução pls?🤍😭)",2024-05-27
Cheguei,2024-05-27
Pela Lana eu daria o mundo 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🛐🛐🛐🛐🛐🛐🛐,2024-05-27
Q perfeição zoe 🛐✨🎶,2024-05-27
Oh que perfeição ♡♡,2024-05-27
Amo essa diva,2024-05-27
Primeira❤❤❤,2024-05-27
Boa tarde zoe,2024-05-27
oi,2024-05-27
Yess girl,2024-05-27
Y'all I meant rey😭,2024-05-27
cute filter,2024-05-28
You should sing look who’s crying now by Jessie Murph and I would appreciate it please,2024-05-28
I love your voice so beautiful,2024-05-28
Beautiful plsss do a Melanie Martinez song plssssss,2024-05-27
So beautiful voice 😮,2024-05-27
"You have an incredible voice. I prefer your covers than the songs you create. Your songs are cool, but you have so much voice potential (as we can see in your covers) to sing something beautiful rather than fun... Maybe you could find a songwriter to collaborate with?",2024-05-27
Dream girl for sure.,2024-05-27
Your voice is just ✨WoW🌟❤️🫶,2024-05-27
"Next I beg plz do “ sweet” 
I’ll take my whiskey neat my coffee black in my bed at 3 ur too sweet for me",2024-05-27
😍,2024-05-27
Can i fall in love with your voice?,2024-05-27
Claim Ur ticket here that U came before she became a successful celebrity ❤,2024-05-27
Please do Espresso by Sabrina Carpenter!!,2024-05-27
🔥🧡,2024-05-27
Are my eyes just buggin or does the parts around her nose and mouth when she tilts her head up like phase in and out like there’s a filter?,2024-05-27
Can we please get a full cover of this song? 🙏,2024-05-27
I love lana del rey and you singing her songs makes my day you have such a beautiful voice,2024-05-27
