video_id,view_count,like_count
xXRGrRnLpaE,2378003.0,43633.0
HDDKaiaKzb8,4878338.0,33977.0
N9UjlPS7nGY,1028797.0,8578.0
MiAoetOXKcY,45646869.0,776690.0
soRjcajliHE,22254699.0,484745.0
vBHild0PiTE,36362879.0,1074184.0
qolmz4FlnZ0,141983220.0,2501258.0
DCYmJDO2_IE,82046336.0,817472.0
WJlQ4jt5Fz4,13365495.0,202606.0
7leEmq6EMMs,2037820.0,29014.0
Kp2aiFuVlWM,2871614.0,106131.0
d3qVmeZOCko,1195543.0,43774.0
2xtKhqbNBoY,8547338.0,187262.0
sEetXo3R-aM,52098358.0,716925.0
mhr4YecSV_Y,45083163.0,452354.0
n_EZXtKBwxc,5190378.0,33522.0
A0TlnvbPvSc,12576395.0,108488.0
LrSX_OcpeJg,17911831.0,736604.0
zQO7J483Dng,28195329.0,290158.0
9Jh5R4119Nk,5075288.0,47764.0
Vn86aScbzKk,25183321.0,381226.0
nguuo344j00,6938412.0,120429.0
dvSZQ4oMHGM,49413602.0,488167.0
IuY54A3bOmg,11945180.0,406822.0
HQOQ52FkRzQ,31024844.0,276244.0
EDvS-lPPBGs,2987444.0,39517.0
uN46mvvLauQ,2311520.0,17121.0
StZXT82TtX4,3587407.0,47135.0
2xFR65mv8CE,3615986.0,36399.0
rhlM0rhl7Mk,10990007.0,283349.0
79c2pSvz8IE,10875626.0,114273.0
FgO_pvl4Gfk,20624702.0,192789.0
ETi-xpjbE1E,425378.0,20533.0
QabypY-fQho,4225370.0,33949.0
pYqky795R1s,10476551.0,310636.0
nbcXvlEa7Wk,29258781.0,360246.0
yXEtangIzvM,6301805.0,109765.0
kfAdqByTH5U,16560313.0,215749.0
tpXBUC2bEQQ,15384.0,1262.0
lV4xtfbEaNQ,5007747.0,57770.0
6yvjsZxgeZE,24707149.0,251157.0
lBakG7KtVZE,20558837.0,220200.0
WU_EGJOQ69o,13370019.0,139942.0
pYSjawMuZE4,6057427.0,56577.0
o7e4IfE0ScI,47538978.0,496205.0
XSVZvB3rr8w,2516368.0,73845.0
N5SsbNh5thA,2041641.0,20983.0
mZiKIZD5D40,1593096.0,21468.0
leopt__ATR0,233626944.0,4980959.0
5xx9gTEQaiQ,11471227.0,162680.0
2fjRYFjwz5E,2723314.0,160319.0
4i982Kz0SAI,19967075.0,240670.0
E9gm4vqlGN8,910450.0,34213.0
aZ4egBQZhBE,3782701.0,212848.0
BkNb_E_ET7g,10263262.0,61840.0
uwLhzRKuJbg,,
ZegtK54DC4c,3696951.0,136777.0
MUjDJfJFnGY,1775897.0,22278.0
p1tZ653oB6Q,6291552.0,75875.0
wKqTMndWfzQ,3617901.0,12627.0
i4SrBtyY3_o,30842617.0,277863.0
hAV9ideCFEc,396579.0,4124.0
ORw5Sv0Ch-0,12216238.0,114198.0
gHp_AwsJKLY,,
CeUDSQ_ebgQ,5519761.0,380843.0
xiXn5TYBqFM,,
b6UazdAlqhs,41253893.0,573112.0
NkBjYXPJwj4,1694512.0,25846.0
Vwmk7Egu1HM,3825049.0,55730.0
RqzO_t8ZV3M,9341237.0,117305.0
vK1YiArMDfg,14652155.0,137748.0
1Q39LtBQOEo,9349074.0,107950.0
PKSVRQoBpAc,2028140.0,18155.0
fYVI_i_DRwc,2968548.0,47842.0
df2qPCWzu3o,1131735.0,14141.0
DwQOL0jWFvQ,37282855.0,2017654.0
SxY8lgXZB1c,12160508.0,159079.0
hzkleOmeOAQ,21483773.0,155620.0
mfcuHzFYorM,6802303.0,126994.0
WmaCzAfTEVA,44236.0,1742.0
_MWEapW4PaE,5448381.0,46762.0
rjd1mVoC6do,3403753.0,51182.0
db6RbmVdqgE,938294.0,18478.0
ocKrWwWeHLQ,6694043.0,71709.0
oHyn5p-4BwM,315886.0,18416.0
DUg7ElXc7KY,363116.0,2863.0
Ppda42bu004,,
b03zknA-DbM,280111.0,14106.0
8OLGVyH-gns,548211.0,5357.0
XOLLKo2qQfY,3338921.0,50887.0
Lg3m1dXc6eA,313292.0,34611.0
40fK119WQ50,1931813.0,131183.0
cTnlUJz01As,233193.0,27044.0
cAKrkSVGPTA,224329.0,3325.0
hNFoCOKk7LE,12012736.0,212598.0
wnm5I8DqOPs,2239002.0,49607.0
GBxs3W_Y8MU,15166790.0,447794.0
8Qaqg66b3OE,1191248.0,17486.0
9gv9Pnl6Umo,3896759.0,65195.0
PdMn6-D-gu4,864063.0,28328.0
Ndo8r_Hg_lg,9402370.0,95229.0
cQDpuGngFP8,1297304.0,16215.0
wdi8_Hv3Lso,1995438.0,56973.0
q1lKhXjQ-II,10291774.0,210202.0
nP-l51Hlb1I,6981153.0,83115.0
HB-Bk3nvvpo,3252322.0,195701.0
yJuV8PDwvC8,12825604.0,365913.0
ycE7bUq3-2k,29021073.0,423300.0
AEt5owHwVD0,2967688.0,72440.0
MOXhW1MUKks,123281.0,2890.0
As30wy2meY8,4741068.0,59027.0
thSPRS4oVp4,4015462.0,54399.0
OoS0qOokIog,876410.0,21014.0
h-jsa-jFpuE,1715494.0,11973.0
fN0OmdJUl0I,6974432.0,252190.0
cfVO_HxqnFM,795134.0,14920.0
bZgPxevE0fc,1414450.0,52184.0
gp4VIQHNTww,1220273.0,93945.0
4KB4ts0Up6g,2674457.0,38980.0
kMjZO28lovg,1096207.0,17002.0
dM7PrSrtrd4,444389.0,21831.0
IQKxoNI6Q2M,,
zH_F9bbCT88,,
2CnUYMmEHrs,13169969.0,347903.0
ZPEldOb7HJU,646130.0,12779.0
Jm_SfTBaPeM,356576.0,12952.0
-7BiiycFQPo,509672.0,8666.0
Nj9QqP-ce4E,8283559.0,299870.0
3mZ_GAXeXU8,2947028.0,46056.0
AH2XfAaESu4,2011596.0,34631.0
_l0NeLJjL4I,2545420.0,72700.0
xFv0wg_alGk,3405265.0,67842.0
HyKR5yVq6FM,345978.0,2865.0
GpCnunV8hdk,6623389.0,78142.0
mBHFFwNCZOE,225548.0,28649.0
vr8TN9Yhl4g,3300982.0,63937.0
V3cpaulOPi8,1486585.0,16923.0
Zu4SjO6E_ag,2981829.0,72929.0
NYqVflpAJQc,791237.0,5447.0
RoLukKZgqkI,1072968.0,7738.0
1BIYuVkbgIE,2120827.0,48597.0
0Hf-OuUKFA0,6436991.0,95403.0
dej3dLkWouM,99907.0,13529.0
J0MSgNWY61o,1965402.0,40896.0
Q7EjiRZANuQ,1170312.0,9484.0
FCWHpm23NqM,2038943.0,25541.0
UiJGsNgH120,175120.0,2022.0
qq9zYxW_uNo,1552900.0,24408.0
NeV1nxOE0kY,509569.0,5075.0
1hUrRYG9Wcw,408124.0,5662.0
kwtWgcUeCe0,209588.0,3139.0
PB_H2yj1PVY,1016322.0,12117.0
S8dgJtKSl5w,4243664.0,124436.0
t7jV5sSLWPc,2140329.0,69501.0
vMZdbpeyHAc,2579097.0,67641.0
nfO6zI2mrG8,2782395.0,31091.0
M6NCc1Chkc8,19109.0,1507.0
-Bx6pQQG_WQ,1498313.0,35309.0
556j3feQyOg,392144.0,7840.0
GgqAVgW4jqg,4776896.0,158056.0
1QLtgxHQBec,2801022.0,98672.0
EUwldxhKKoY,422461.0,14561.0
WMtdkH0tOoM,259441.0,5799.0
FdoxjrqeKEg,103998.0,10434.0
bWXGjtOlgR4,3258676.0,31722.0
pLiCh9PXbwg,4295973.0,92386.0
D7agM5nWJJI,3397671.0,35299.0
UQajCJZg0ag,1975901.0,40012.0
MQAn157UeKY,2753593.0,102296.0
9AzkEuuhCTo,717238.0,32421.0
-cHQqXAoHP0,7216853.0,314371.0
CZBaZoALkhU,2640380.0,67614.0
ouCFIChSlUk,2537098.0,32294.0
Mn2ZroMnvK0,2166200.0,73266.0
v8rSH0Gkrmk,111336.0,5221.0
qHpumOcF_7w,824871.0,10622.0
OBQ3Gcw6vpE,298683.0,24228.0
drI5WoIPjXU,101704.0,1648.0
ZlZXHV0uTpI,5600631.0,123891.0
atGkMugJaxw,4823962.0,75964.0
k7vRCpZOSH4,340554.0,20996.0
UkrgnojbVio,7833275.0,449683.0
rOA6AdnS7qY,2211506.0,34773.0
UhdwjoTCboc,747435.0,19288.0
gitWGi7UWno,1500757.0,38278.0
AR2eGXimdOE,693692.0,4100.0
ZWJY34rTHeI,2692440.0,60716.0
V9C7vHRv3dg,4107938.0,44200.0
p1LLKISvRds,6131916.0,88012.0
f5K5E_ZTBjk,1193905.0,34069.0
P3YJcpDZ3fA,2224450.0,34173.0
tSUs0j_AKRc,5775036.0,65068.0
qyuHTdcEB3o,2360201.0,8145.0
RP63r2esgb0,25947462.0,390869.0
-Fg-DcLJY4s,2121490.0,75990.0
mb5QH3onx_M,1381298.0,37668.0
SMLOstBmV6g,555417.0,8130.0
JIWikemWHmI,164732.0,3724.0
KLxY-lbJTPY,7668407.0,139529.0
jtKU9pu0pis,3159262.0,34033.0
W0OpA4TnE9o,1125831.0,9724.0
HF2L_9zD_xE,5041260.0,81748.0
aK_lWrowOwg,1846823.0,60489.0
SzoKy7dgpD4,9827940.0,147771.0
-K5gg3mchOo,,
Do7u3zJ36iI,1920376.0,30290.0
ulzONkCgW8M,206753.0,24254.0
7NyPEtPUTRg,441425.0,7350.0
wJS3ukrgRsU,578187.0,16983.0
TMzU0kY4gyI,12576179.0,184624.0
_118HG5CY94,1134010.0,18531.0
4lcEO9xI_CY,9843551.0,90528.0
W812a1FEO4k,2691713.0,21308.0
EHbfrvonTLE,1137166.0,39528.0
T5q_XrfpEb0,644727.0,12468.0
fkN8FQOmQtQ,1219606.0,7536.0
2oNaUkOE954,463993.0,5956.0
iflMesJt0U4,3416818.0,41249.0
vwXCz-HsYi8,334126.0,2749.0
bsPApos_Q3w,9941.0,696.0
XafU4Av6Zz8,1254252.0,16047.0
DRvJNzODSPw,408440.0,9062.0
zBZbFjl__Jk,2334483.0,85827.0
VvngabDynYw,105519.0,1070.0
rceKSC8hcgg,528345.0,8967.0
etgpFJWIofc,527834.0,6443.0
ORBwhECn2nE,5096596.0,75823.0
Oy5psf4Korg,4151950.0,233233.0
1nPi_r5z_Mk,159033.0,3068.0
eWPAItc4Mhk,2691367.0,41445.0
E0VgCAZM6O0,17220698.0,267391.0
PaI-p1ylOPo,7525179.0,125071.0
6SGXtcSPI_0,321715.0,5507.0
vQH8RBtJKqY,5119952.0,59199.0
SCd737Yj6tw,627737.0,17451.0
R4XpHJQmagg,4370275.0,74811.0
_tEzZP7Ayj0,622230.0,14507.0
UdxANCQcHXY,10708605.0,284031.0
RuG0j36tPgk,1060019.0,77625.0
sz5oWwh4ijE,74193.0,1522.0
L1qqQRqRBs8,663578.0,21640.0
2EtD944kg7g,6662251.0,50284.0
lwMKyjtuVM8,30934.0,1134.0
c3JHH6Hc_io,1224436.0,16045.0
Izc3W3yOW0M,8106103.0,78135.0
Yb2zNCG0s3I,1488435.0,50605.0
F898sVkl9Ps,673217.0,14397.0
S7_TLYZ2250,281792.0,3776.0
HIeImG88l3k,1187677.0,34651.0
HjEc0-Ubdnc,743059.0,17619.0
gYx9fnIT6M4,2061906.0,127887.0
4-wG6Ix7XXY,681957.0,8692.0
Ye-r7EJhPOU,3135942.0,143222.0
rK-Gv0TPekQ,,
C2e0H6MUWyU,4443268.0,287220.0
FiUd8GmIObE,124716.0,2040.0
8WyPWYzmQro,1463037.0,44003.0
I_aM8CAYLhg,1911293.0,133814.0
KGOR8PPQkjU,4697174.0,52871.0
Bwwm7c-MI3I,5432708.0,81955.0
FiaO9R-oiFE,1428204.0,50386.0
X5KlgbXbCTM,4569789.0,34953.0
rStOXHwPe0M,500116.0,4350.0
klccJiVRGOk,2918547.0,80757.0
LY0g_qVF2Iw,7395318.0,126319.0
8y-vMgLEXo4,880862.0,29488.0
jrFnoskEZA0,192786.0,26461.0
oGGZAySDWFU,3061736.0,49365.0
ECflujAKIEQ,3297097.0,51596.0
Ok8jOv2YfT8,485451.0,7434.0
U7nzs_oMaag,251791.0,16247.0
n6nkNKSvl2Y,449852.0,4217.0
v1EHk4IWtD0,5363891.0,86712.0
I72JmzEzsik,974023.0,17205.0
IVAeh59j3js,3580142.0,67727.0
khfkJRx8DJs,4659961.0,53064.0
bpO7DFOR-24,4255706.0,162675.0
IkK5OxFmWP4,1383015.0,23712.0
5FNYg6_Ka2E,109181.0,7361.0
mBEJIZC_vqo,534445.0,8161.0
4XlJhgPvNgw,1419356.0,39233.0
T8_yH9BmwlM,165370.0,5017.0
QAlsADnYkWE,463197.0,3725.0
qLGzSra-siY,4987083.0,90155.0
zrHXgzPcpRo,1332631.0,24412.0
BOJ8jg7F_3A,1272492.0,22269.0
SHZOcbV-KEY,,
a_paKynKpVs,339788.0,7144.0
WnGG4IMwM0A,1615166.0,26466.0
LU_Dsoj11xA,,
U-Y7TrysSBs,3730557.0,59386.0
OYIIIQTuGPk,2431292.0,90509.0
UFgTCq-Vxeo,1052138.0,18532.0
sgm3F5D1yz8,6995628.0,74851.0
bNqF45LlJko,841351.0,31727.0
wSIvLBHeO_s,579950.0,8972.0
5F4pzd7Ttc0,1787025.0,89518.0
VTWfWIYACss,818316.0,7835.0
gLvg_DMkKVk,250305.0,4561.0
aBuv_4PxrpY,286124.0,7081.0
UzR6xSj5Gmw,16118881.0,261902.0
i6xnhugRSxA,2005168.0,28126.0
C3iNZscl0PE,1354390.0,12860.0
KOnEEKv9__0,3394729.0,43457.0
y4wut35_t0M,183885.0,5093.0
SV0N1tB2Bk8,547784.0,41088.0
cHVhDJoRi-A,277504.0,2148.0
qMxhGvicDAg,476363.0,7211.0
hq8nGEgAx04,239003.0,2489.0
MGwmIZm-3po,3014081.0,29926.0
Dx5JXQescLc,726842.0,7580.0
ReiynNGPnaQ,1458681.0,20364.0
GxqhJN85EJ0,1351025.0,24860.0
DFdOyQ7gKgg,742963.0,30999.0
cs8VlhUDna0,1798738.0,49321.0
Mr4OGqQR0Js,938039.0,14814.0
-hEmLwH6wEQ,129160.0,2548.0
XMA2cgbbBKE,1236150.0,48289.0
ZGmkfrVWmLo,111577.0,1445.0
5mDHwb-V_Xg,761462.0,18093.0
yc28C7Pky_g,3064724.0,49316.0
pY-QvAM9pnE,5862243.0,91045.0
jpE5Kxbh0oM,420309.0,6436.0
ciOgdZlnnMU,5811.0,447.0
B6sTu77P9VI,648991.0,15391.0
a-N5mer5pTs,922464.0,56591.0
Jr1ljoUk1LE,100081.0,11670.0
zyP5JXiKWTw,647335.0,5629.0
FM_C-ADgR-M,1468196.0,37191.0
RwSsi-0FaB0,640795.0,15075.0
izR-EearhpU,84025.0,1254.0
BI2-ZEsJv1Y,6308014.0,80934.0
9jyxWamo5yI,249043.0,5987.0
P3jGMum3yNY,1182224.0,18099.0
kkE_fHr9LgM,288061.0,4359.0
3LROpd7GgBE,1173586.0,15233.0
u82ykgqctVE,1304680.0,25451.0
QQstrTSsHuI,5057304.0,56061.0
ZEPikBUhRIc,378941.0,3853.0
idlbwX0dzkQ,4969606.0,76720.0
pen_ZpE3oJ0,71417.0,2514.0
GR5dsDQUV4Q,1628154.0,28584.0
JI0UHM4Zddk,177463.0,3422.0
Z_e7jFeVN7U,164520.0,9049.0
gz1t2heaOiQ,2695764.0,36651.0
D1I-3WcIz_k,154820.0,2548.0
DiUa1IVosLM,,
FKXnKdrZzVE,898558.0,11716.0
_TcdZLlm82g,684827.0,5224.0
W9nvh4xM1PE,377012.0,3732.0
5RxfIl39LCg,481875.0,6023.0
mmUC1OeMcxw,4015167.0,77604.0
jkumxw-Eal0,448475.0,5592.0
vA1OdsR2kUA,22266.0,335.0
FLcwSEduFBw,353348.0,11340.0
6r_TtrpCmp4,,
Z3Aup1jDUMM,1294514.0,21088.0
JOA2l4ImSYw,50472.0,3114.0
KTTnUbPsI-Q,59570.0,2090.0
QfQF7corEPQ,,
xaAAfa3-taQ,283158.0,3628.0
I7uJm5tTGm4,462465.0,9006.0
MTRFQ7Rw9Gk,1077293.0,21960.0
O_aFZFv3oxM,3121.0,225.0
rZBY1bAKUSU,2335033.0,15772.0
r-DSwyTkMBE,3358225.0,20722.0
h4qBQBUW05Q,34494.0,131.0
M9FLxrrtYFE,1343.0,58.0
dIPKklzwnKU,396243.0,6883.0
CJhmiwkqBGU,3670.0,37.0
Viqcm7pDvgs,10585.0,733.0
H9a8z_dnbHE,28337.0,1937.0
qgRo5gO-R-k,2446592.0,38052.0
hBsb6ANmqFw,1022131.0,13810.0
hTr9lLFweBU,7230.0,96.0
pROesno_QCs,3061.0,82.0
oPF11_NI3hQ,1583219.0,41500.0
KQcNOcMTh6E,2277.0,86.0
k84FiQS_yPY,10756.0,580.0
o5cqMW2UKdI,115228.0,10394.0
vA7rYFcv5jw,1732439.0,6279.0
BileDX9B0WY,123.0,3.0
RPsOipOq8i0,2829.0,154.0
3Kru4puhi5c,97993.0,1491.0
c4uFoSPlFh0,1039694.0,8055.0
54S1M00IqsA,570326.0,9334.0
Q-bB_7TLh-c,313087.0,26619.0
cKJBe0sfLN8,285926.0,6152.0
B3LqBK9dFOg,494343.0,34246.0
vYV6qyLXQ58,660251.0,16493.0
EHnQ_yZkuRI,556401.0,9530.0
Jp-gHnpmYsc,296494.0,11086.0
-ffmPGs_dWM,9782.0,275.0
1CHlP3kdXZ0,10576.0,570.0
EaL8rqfyPOc,12673.0,239.0
NkAhbY4APxI,6252.0,100.0
VGATW0LvI48,57375.0,6321.0
lLQbUpZ3K6I,2264.0,105.0
Yat8jBxHlws,674806.0,12147.0
