Date,Monthly Listeners,Change
"Jan 1, 2019",9575026,-9248
"Jan 2, 2019",9599299,24273
"Jan 3, 2019",9563439,-35860
"Jan 4, 2019",9557969,-5470
"Jan 5, 2019",9531093,-26876
"Jan 6, 2019",9502698,-28395
"Jan 7, 2019",9492205,-10493
"Jan 8, 2019",9487532,-4673
"Jan 9, 2019",9482140,-5392
"Jan 10, 2019",9479308,-2832
"Jan 11, 2019",9527432,48124
"Jan 12, 2019",9600500,73068
"Jan 13, 2019",10158736,558236
"Jan 14, 2019",10379513,220777
"Jan 15, 2019",10532030,152517
"Jan 16, 2019",10704503,172473
"Jan 17, 2019",10868417,163914
"Jan 18, 2019",11023131,154714
"Jan 19, 2019",11177050,153919
"Jan 20, 2019",11279040,101990
"Jan 21, 2019",11360103,81063
"Jan 22, 2019",11430937,70834
"Jan 23, 2019",11507886,76949
"Jan 24, 2019",11618410,110524
"Jan 25, 2019",11698922,80512
"Jan 26, 2019",11762498,63576
"Jan 27, 2019",11823915,61417
"Jan 28, 2019",11879533,55618
"Jan 29, 2019",11918718,39185
"Jan 30, 2019",11916977,-1741
"Jan 31, 2019",11966626,49649
"Feb 1, 2019",11999751,33125
"Feb 2, 2019",12031951,32200
"Feb 3, 2019",12075048,43097
"Feb 4, 2019",12119570,44522
"Feb 5, 2019",12151582,32012
"Feb 6, 2019",12178374,26792
"Feb 7, 2019",12213585,35211
"Feb 8, 2019",12214957,1372
"Feb 9, 2019",12203354,-11603
"Feb 10, 2019",11808197,-395157
"Feb 11, 2019",11657006,-151191
"Feb 12, 2019",11560223,-96783
"Feb 13, 2019",11450445,-109778
"Feb 14, 2019",11337504,-112941
"Feb 15, 2019",11221438,-116066
"Feb 16, 2019",11191536,-29902
"Feb 17, 2019",11143231,-48305
"Feb 18, 2019",11104738,-38493
"Feb 19, 2019",11070684,-34054
"Feb 20, 2019",11041487,-29197
"Feb 21, 2019",11005787,-35700
"Feb 22, 2019",10969349,-36438
"Feb 23, 2019",10934814,-34535
"Feb 24, 2019",10893092,-41722
"Feb 25, 2019",10859398,-33694
"Feb 26, 2019",10836267,-23131
"Feb 27, 2019",10820910,-15357
"Feb 28, 2019",10812888,-8022
"Mar 1, 2019",10803345,-9543
"Mar 2, 2019",10788571,-14774
"Mar 3, 2019",10759387,-29184
"Mar 4, 2019",10725330,-34057
"Mar 5, 2019",10706144,-19186
"Mar 6, 2019",10684282,-21862
"Mar 7, 2019",10654494,-29788
"Mar 8, 2019",10626209,-28285
"Mar 9, 2019",10603205,-23004
"Mar 10, 2019",10576549,-26656
"Mar 11, 2019",10560759,-15790
"Mar 12, 2019",10538445,-22314
"Mar 13, 2019",10524005,-14440
"Mar 14, 2019",10501312,-22693
"Mar 15, 2019",10490493,-10819
"Mar 16, 2019",10412565,-77928
"Mar 17, 2019",10388633,-23932
"Mar 18, 2019",10380911,-7722
"Mar 19, 2019",10378461,-2450
"Mar 20, 2019",10381375,2914
"Mar 21, 2019",10382290,915
"Mar 22, 2019",10381242,-1048
"Mar 23, 2019",10382765,1523
"Mar 24, 2019",10383154,389
"Mar 25, 2019",10389929,6775
"Mar 26, 2019",10398833,8904
"Mar 27, 2019",10403851,5018
"Mar 28, 2019",10406510,2659
