video_id,view_count,like_count
dto9XulfqHE,2.0,0.0
8m8hgxgOSuc,4829.0,409.0
h28YKbEQb-U,1.0,0.0
2uSFjbAY4wE,8.0,1.0
ICsbekUWJKY,1.0,0.0
nPKAy8LvRe8,3.0,1.0
yK_A-aMdDaA,5499.0,369.0
59ApMsg2-6M,78.0,7.0
a0RGPJqn3_o,1.0,0.0
lSjZYlDM9-4,5.0,2.0
2e8bP_oFJ48,7.0,3.0
qDT80e70gQQ,2.0,0.0
0wbEdpNqogo,11.0,1.0
GQnqRxtodKQ,353.0,16.0
wjZedA14mA8,2.0,1.0
rDoJuioiEYQ,5.0,1.0
PsMbYmFnCrU,24.0,2.0
weKZa-6f3uA,4.0,0.0
sn5yfNsgxeU,2.0,1.0
FCRNRZjJVy0,57.0,2.0
kZV6aCczbyY,0.0,0.0
_Pixd0iID-c,403.0,9.0
iX45KGimF58,32.0,3.0
FHrQVMNSAhw,8.0,1.0
oCPh2pNSlRo,1.0,1.0
tY1BvykDXWw,4.0,0.0
4h8qTgGJw7s,6.0,0.0
cMLAmtAw0Os,17.0,0.0
ehNxK_sLYEM,43.0,0.0
cpuPP70MGU0,85.0,0.0
mq1k2eWWyi4,7912.0,485.0
sBMxggQYG60,29.0,1.0
H9cm0sn84dw,16.0,1.0
HrZrIrFjGOk,40.0,1.0
UC3yRSBrZuo,11.0,1.0
P8xBJbNIF8E,6.0,0.0
dL0RypSKzfw,489.0,9.0
1TwOe5ifLuQ,7.0,0.0
U3lMsacqEyA,6.0,1.0
JtpGzt_VVBQ,5.0,0.0
9pDSvg5ehYs,14.0,3.0
ChNAaeEK6XI,424.0,8.0
ipCjbLxIKlg,30.0,3.0
00BnkfP5U-s,3.0,0.0
1mfzyLLWLqA,11.0,1.0
kh1BwvDud1w,1.0,0.0
cE1Jp2a9A-4,63.0,1.0
7R2wqGKJlCY,527.0,8.0
cm8d6ZW20z4,24.0,1.0
RQhDR86cx_M,65.0,6.0
j6-Ub91TKY8,8.0,1.0
a6UPXM2EVNA,74.0,7.0
y34jzx1PtY0,48.0,4.0
FbvrviT_7Qs,5.0,1.0
pc20pzDYaC0,62.0,7.0
CmAiUnJzTcY,44.0,4.0
pC6MyNwFnK0,4.0,1.0
25CHXudXDgI,10.0,1.0
eSzKHX4S2Y0,2123.0,80.0
i7qXIGCz124,18.0,1.0
ikoGQHojjHc,63.0,4.0
zfhgxtRDHUQ,3.0,0.0
hDMZyN2UQs4,29.0,1.0
SWiMOwDdjmk,438.0,9.0
hVlIEevbp-4,408.0,13.0
4Ili-MYjxg8,13.0,1.0
bnIhYVKCXQc,513.0,29.0
SYrDLcEqtb8,2.0,1.0
_kzvxwIZjzw,16.0,5.0
PPoFzeM-m5Q,12.0,3.0
o1nG7yXgsaE,9.0,3.0
E1_1J_kQxhk,513.0,5.0
lEeGo1zXlxA,416.0,7.0
c-DfuZ0aCCM,23.0,0.0
ekE-O0d_c84,3.0,1.0
Q--avy87OZ0,2.0,0.0
MS3Dm4k3ksY,26.0,1.0
rwNW2fPzFDA,5.0,0.0
K6-NydZmSFQ,160.0,1.0
LAYFWuaiM1Y,19.0,4.0
Ig0g4h0kfhg,705.0,44.0
EjKy7LcTRgo,94422.0,5056.0
HYpmnmVjXmA,752.0,20.0
JB6iJIaMDvk,5.0,1.0
eLzUy5B7TkM,2547.0,100.0
m0-fwKah-RM,1065.0,53.0
dkfw2p0lDJQ,23.0,1.0
bY-gGtnZmp4,1.0,0.0
irpZIeWG6nw,268.0,12.0
9OinRd7xoGg,2.0,1.0
OJ4KcK_mbpw,11.0,2.0
TH72t5supnE,24.0,3.0
Pka0A6J-IpU,960.0,19.0
FVwM2e9YZiw,,
NmlRVoyL-so,9.0,2.0
1GMEaAqlahM,454.0,60.0
L-VkaP9raaI,8.0,0.0
Qp8OwXjin6s,10948.0,453.0
Gx3vyowg5HE,673.0,67.0
Lpe_pLVWuJ4,9720.0,481.0
0qEhMZ_KyH8,10797.0,643.0
s4Z0K2eqxCU,23007.0,2176.0
UB5NWIv-c7U,38627.0,1911.0
rT6xMW8HHPc,11676.0,319.0
sSV-e6uHXkA,13413.0,817.0
_CaMtXiFPx0,422.0,6.0
vikcwdPZKSs,11496.0,784.0
cJpoaAV7Gdg,10734.0,723.0
ScjOgBCakuY,3408.0,200.0
O2dlG8JM4TQ,4255.0,198.0
NLhso762NI8,282194.0,33082.0
iJG44QJdKD8,80797.0,12106.0
JaI6eXOjeFs,50683.0,745.0
jlatqMNmrTo,20318.0,1212.0
BPJQLq9IGn8,77484.0,5310.0
7iQ6B_dzJrQ,287280.0,14700.0
ke2e2Z6lv1I,178398.0,4076.0
ANYXeeJIs0g,58735.0,3977.0
fgLKNKOtp-s,8794.0,141.0
m-RScife18w,372604.0,10480.0
2U2TkW-_qKE,291297.0,7867.0
AEUu3heIJNY,1372520.0,47899.0
V2CNOOLeidY,470832.0,8494.0
c4BBcEEhcOU,344096.0,18130.0
K9SrC4Kc3IM,923637.0,10545.0
k1QTKG1lKk4,403170.0,2596.0
iVIzZZb9fcc,185576.0,7598.0
uvk0V4acoYk,350109.0,10137.0
buNO055bWvQ,445313.0,7091.0
pP5JWMgw-w4,860.0,27.0
M7vnfLPh_e4,262951.0,9594.0
LsLiGQB5jKo,933.0,33.0
51KfEuqI68Y,916.0,48.0
qVQPoycFgfQ,3600.0,103.0
8s1HC4bfajo,3648.0,218.0
RoCuzOVP6PY,212.0,7.0
W_pGqT2t6l4,3014.0,168.0
BoM1t9skQYk,50743.0,3206.0
tfACubQrZww,3184.0,150.0
8_IvdPhrzeE,4743.0,438.0
EKBCTHCo2WU,3997.0,133.0
Kfq_5e2iw2w,6065.0,324.0
8cM7dPvXvaE,7916.0,643.0
Jx-QlCIQ97Q,47349.0,1452.0
mww9uppCrK0,2058.0,29.0
CXZZId3v6W8,5898.0,163.0
z59L64168sY,1841.0,67.0
Ke1jzmWN5Rw,475.0,41.0
r_kC-SeNA74,5107.0,157.0
Vrcd9H99wU4,233.0,6.0
cF_mhGBBkLM,150500.0,5127.0
tLxJrOC9U9I,6814.0,226.0
yqJtDpkSGGo,719.0,51.0
Aw9WkZfQmCo,899.0,22.0
vjOGh-V7cRM,974.0,41.0
Csj7oVPX-cc,739.0,62.0
5BTo5am7MpA,95455.0,4634.0
v8uipFmCflE,515.0,9.0
Amqb-rNiQ9o,690.0,13.0
yfgBeSCfbcs,1325.0,29.0
acPTEqkRSI8,1197.0,29.0
AnX7roE1BB8,2073.0,96.0
lZbVFjopit4,43559.0,1310.0
jyh21J5gywY,1554.0,50.0
AP9ppAEGRsM,13546.0,434.0
c9Zk8ORL5RQ,3003.0,67.0
BSSqFLucBFM,3295.0,61.0
l5t21t4bYXM,12839.0,270.0
2PXExwcfdvc,7412.0,262.0
Z5I6X6Hv8W4,1934.0,48.0
P35x3StguIs,6235.0,140.0
S_qRaQPcy9Y,1481.0,36.0
iLnd7yBBlxE,67781.0,1242.0
f34p2S9FDW0,3728.0,74.0
bllfKfq-t1s,1364.0,82.0
5zU-PytXzc4,1711.0,41.0
SbUNPGLxo1s,11481.0,282.0
ZQ-1QSsc2S4,1046.0,24.0
X-k5ICsHEX0,4631.0,95.0
KALfJDINV_8,1232.0,23.0
nmTw6yWNn5s,27526.0,486.0
nSaRVZwIkxs,1305.0,35.0
9RqWi2bk05g,10514.0,227.0
JIvW0GzfFrk,556.0,32.0
YXIvgCRxgdI,922.0,21.0
W3kuAH6qkTE,,
qX_pDkeEMzk,6878.0,268.0
lTfC2KBMDR4,6630.0,381.0
KjZSiql3X7c,918.0,50.0
RHeAgNDqAFI,278747.0,11504.0
_HegdwzmR8M,1008.0,41.0
_1CB92pXCWw,71122.0,2235.0
I3HQGjScNWs,3138.0,219.0
PW-h3j_uKLA,2001.0,43.0
Vx2UtoJC3v0,57329.0,1478.0
-aEZoz3Ifgc,961.0,49.0
YUuyJnoANOM,15701.0,433.0
jA5eg1nSELo,2738.0,64.0
rVZUvtcskHY,261040.0,10579.0
rg7kqGaIp3k,1295830.0,64783.0
vwPK-ErJ6OE,2371.0,75.0
aKPslwR_hT8,4202.0,69.0
ol9gf4LXrr8,1469.0,57.0
EGFRs5UNEzw,3220.0,65.0
1NMOxU_x1nk,3484.0,106.0
N9nIcuLB7qs,207559.0,4927.0
-kFQrMOchrQ,390958.0,4063.0
z9h7GmQ_FMI,68689.0,1341.0
sn6iUNVAkRw,4816.0,161.0
_eBKNVtHEFA,75686.0,1267.0
QVdWHU7D2M8,31285.0,807.0
HLZpxhreez0,224336.0,1395.0
6Z8PBI32L8U,59959.0,672.0
kHKq4XaBsaA,8038.0,330.0
rlRXhxyX0o8,24714.0,1482.0
InS5_pNakIU,9294.0,365.0
D0bCNnz-kBY,632.0,22.0
4VxAYb7mzLI,8247.0,299.0
fxhmiC0YoHs,3303.0,119.0
DsD7XaL_Ynw,4090.0,126.0
kbGGOyw5kOY,92060.0,4297.0
hhGc3RmBu-w,,
cVuUQFIenM8,1634.0,38.0
zLQ3dtMwLJo,9302.0,339.0
rOOwho0ZbF0,321418.0,17657.0
49lpb4zm810,33212.0,1994.0
2i0-9wiHUL4,85384.0,3951.0
aPsQnQj1t6Q,98022.0,4100.0
h66AWEPD16I,416.0,21.0
PrtSg9lUsf4,4938.0,218.0
ZNinynwVj_k,280075.0,5705.0
-aEFTix18L0,12503.0,436.0
lGgmXGqlKX0,1587.0,40.0
lzkj3JXFDLQ,27229.0,542.0
4xmyf35yCrQ,949.0,60.0
5z2awjb0vfY,24503.0,1809.0
NUAT6_qVczc,5083.0,148.0
YX7zwnfoR7I,1141.0,47.0
nSwxWwrxm6k,192202.0,7394.0
Lws6WhROQzM,3797.0,210.0
0Wosk-vczcI,19240.0,1167.0
YqDaxz8bnVw,35383.0,2296.0
PbA0JXVph8E,23706934.0,795241.0
M3XOgspyHq4,49229.0,2027.0
bcESh4_UfNo,1551.0,40.0
Xh5FBy4_G14,19951.0,578.0
mZBLNpPBhow,33739.0,982.0
z79Lw4UWWZE,81980.0,435.0
c4NVcEZZjdM,689.0,34.0
LtWllYo1zWk,9296.0,186.0
Z7VuTZ9qyQw,1605100.0,50838.0
PMvfEO06hB0,10123.0,314.0
6mYjwmtQZXQ,352673.0,10085.0
kR2wMvcG0wQ,8924.0,240.0
vtPVCrIgBMU,31336.0,2695.0
YjNj6aWgxQg,10653.0,260.0
JoEikCCgynU,5038.0,81.0
inGnQepVytI,2636.0,51.0
QUxoQ9NrdG0,2308.0,27.0
HCQPOcOcVw8,26591.0,268.0
RDdGyePNcg8,119768.0,5430.0
xdHCMExpZRA,4299.0,132.0
WuW861F4cg8,261703.0,3986.0
s4aw2hPTNrQ,3513.0,55.0
sZL8iVaJVJs,10625.0,238.0
WBySB2keGqM,42665.0,1886.0
i9U2h3FIfQI,4139.0,28.0
XZRjvfDFjSo,78859.0,2703.0
KM76uJCZZeE,22161.0,591.0
MNSkA6_hX1c,473163.0,12917.0
TjQJvr3MPV4,39878.0,652.0
zmpyC5foddE,26347.0,400.0
ZqyXdU0NSFI,48220.0,3774.0
NIzBNgpo7RA,1359.0,46.0
OZ73vV-8tgg,675.0,18.0
29qw1_XLa58,14298.0,187.0
S1jMfCdHFq4,180798.0,5845.0
UxC_hrCRe98,67481.0,1673.0
KyHlgn94yBs,1335.0,54.0
Or84zEiDXdI,5350.0,79.0
dXhNud1VNME,19997.0,673.0
ZjnHvMBjjWE,3916736.0,91913.0
uEznRvdpO3M,1411.0,68.0
Z5-KIsnCeE8,6110.0,243.0
UGRs1jwZ4WA,9472.0,333.0
0ra6WZzgVH4,1749.0,52.0
PJk6-kd-IJw,1687.0,89.0
bsYC78PlDqA,5905.0,140.0
VfnEy1Orw_I,12035.0,145.0
znQMkNXHqRc,22505.0,789.0
mefSfgwt2So,203202.0,10846.0
IPUCXZhfpMo,10762.0,340.0
0CprQ_ciphA,45857.0,1675.0
Iq67rcdnoDk,405.0,15.0
fONbXz73xF8,23361.0,685.0
1EYQNb-BUzA,116404.0,2987.0
B530x_EXDRE,731.0,32.0
rQ2H4zIPFhk,1174284.0,9493.0
oxNA79f1E9k,80772.0,929.0
DN6g-g_x9TY,32375.0,731.0
yPO0mfhLeNg,1577.0,50.0
nWMgljJPdvk,580.0,13.0
Fyd4n7wHUII,3090.0,79.0
h0-knLWOQyg,18620.0,621.0
5EI0tVij2JU,1208.0,13.0
ynHBifTxSAk,9720.0,241.0
oSCtrZkJWAs,1741.0,50.0
3VIhbJK52xE,120697.0,1686.0
tvCghRSzUjI,13750.0,379.0
LbuELZBTohk,89199.0,3784.0
zN-y9ZE9wIs,24344.0,822.0
lbG1FtC7tHs,2111114.0,42013.0
vswlL1niKwc,176490.0,7734.0
4smIe58SrKc,19956.0,251.0
IJLDD9rvgio,234656.0,5069.0
4NPYEALyPo4,12499.0,165.0
3GZpp53g15I,14666.0,464.0
LZA94KYvs68,5001082.0,224323.0
0vQYP_MDy1s,922.0,25.0
49G7lwFaoR4,3536.0,128.0
Ncu2FfWAS4s,8515.0,248.0
mkf9t1l1CEI,71839.0,1392.0
ydj7R0IRLiA,654.0,25.0
klHcqNT-onw,125858.0,1397.0
ksmVBjP9LhE,218518.0,1392.0
ult9nnjxGnA,28942.0,402.0
PiBUJUjxuT8,151894.0,1099.0
ZgKGUNU9eRw,22154.0,264.0
yF6sr44xClQ,35943.0,536.0
X8_KE2Z2yv8,105721.0,886.0
fWbTR5m82AA,5503.0,84.0
lTrmk1jAEPA,7026.0,37.0
nG6DsMDIrk0,432.0,6.0
BoKiJVHA-Mg,1242.0,24.0
hMajNXGrmEY,450.0,30.0
YJM-090eBlY,2051.0,75.0
dXzyCTuyfCQ,37851.0,2069.0
u-wPq8qBA78,2144.0,22.0
gQr-0FVSwlY,1736.0,30.0
7gGkBrjTnUw,11766.0,645.0
mspDahDMjxg,32463.0,316.0
WCD0kVl9ZfU,6965.0,107.0
Ja-UFvajEHc,482132.0,7231.0
7DrapJoq9UI,60527.0,866.0
Mwu9ikhYRZ8,49871.0,504.0
ItHJVJTN5gg,18975.0,563.0
ZN0FAbhQPus,12561.0,337.0
rwPC8H3qsqU,2821.0,78.0
X6RjeZNnoXQ,2011.0,24.0
YEyF_8DEVL8,1692.0,36.0
zn0yrfxXugw,8756.0,173.0
odDdG7vsmBI,13941.0,298.0
WI-mhFzAeSw,6091.0,93.0
MMKSaNS_A_8,74022.0,626.0
RJHcHPqTCTc,34258.0,361.0
CRn1YpT6Fkg,18941.0,346.0
YBOltWSSwws,60256.0,1187.0
vwAvB0IZ0Iw,256686.0,3226.0
LnoIsvTrsnM,204927.0,3649.0
A8hVC2CvNYg,296185.0,7134.0
xWcnJxlAFFo,5955.0,192.0
Y7_NLFCNu0g,10681.0,588.0
qJ1CbuyDXHA,11252.0,273.0
QttaxxATWQk,13257.0,294.0
iR61uJC0lUQ,8205.0,271.0
BBvlPM71kkQ,2285.0,84.0
Lde9QoNrAZk,35320.0,294.0
2iE-8y_UPLg,1206.0,137.0
AWijEZJ-uRM,5157.0,86.0
bn2cJZCk5hA,204223.0,9189.0
tuh8nw2ljAk,1882.0,101.0
YqYF_MQ-tv0,72510.0,814.0
OQZ0QEsZgOU,772.0,27.0
NpsauEkyqnI,55346.0,1095.0
SqgeLHD4c50,3521.0,83.0
8qjo8QvI5kA,42039.0,562.0
9NzPjcc2dJE,7849.0,286.0
BlZ1Bx5ajj0,6868.0,81.0
461XkXdGQbk,75257.0,1745.0
iXeirrq7dAM,3622.0,95.0
4bWZ2DVNhew,33171.0,1395.0
_lxK8igUwUE,880999.0,14061.0
LsdIOSXasRM,362583.0,11783.0
EpNNQZjbuCI,5917.0,181.0
7JqJTt0w4h8,38194.0,1043.0
g5Nabz_H0yE,3800.0,183.0
L9aqC2vABeI,771.0,26.0
GkwNjwE8rrg,430255.0,6091.0
HtbSoevDSvY,37519.0,346.0
EDKWIrZyCW8,97026.0,1850.0
fyo80NDFMgY,254286.0,1578.0
35NuU_7vqNo,5474.0,46.0
9HiIulNLqgQ,437970.0,23255.0
NAI0_xJVBTI,7612.0,161.0
qSu9SvJVBg0,486.0,11.0
Ndb2qRdks_M,44971.0,837.0
29NLoTszNqw,84331.0,6449.0
unSAhQi3neI,1608.0,68.0
oyzR1qGcNks,51556.0,3173.0
yF4K3unYeD4,332784.0,3556.0
fCn624_GBKM,3580.0,183.0
3jXxPGlkE3o,1857.0,61.0
KmdlfpE0usk,190815.0,3681.0
Wup2Ex3ZI9I,6418.0,121.0
JjJBk_VVWLM,542.0,13.0
0uWyqEz0Q4U,38719.0,1730.0
60Lj5tE7wNY,969.0,34.0
f5UuBdqyRoM,83860.0,2100.0
qj3vWv-6BJg,135972.0,2424.0
OwKSNPnydKA,17934.0,377.0
7QL0A7SnSrM,318832.0,4222.0
WB6fdeQiRBU,15935.0,201.0
m2faOXHfcfQ,106888.0,8322.0
3tzlPQj7qUc,3221.0,103.0
CyLck0p1H70,2010.0,84.0
YNScVsOJyZk,3097.0,83.0
qJUvA-VYfTo,63981.0,1418.0
GUQSxNJVF7o,208693.0,4972.0
UArRcQEgxp8,2941056.0,50109.0
Gx7tNlNMyX4,1409.0,66.0
3YNC4QOviSs,192660.0,4597.0
FfaoI8PjhwM,1940.0,63.0
69HVROQ-eUI,306046.0,9719.0
GjL5QpSDHWA,196890.0,7649.0
6WWZBIWtObA,155712.0,1760.0
cgTma_LWqX8,37242.0,574.0
_c_KyHblVKU,757112.0,31523.0
aisH-kZksQI,83839.0,2722.0
mTFFAKGJ5Vo,14438.0,324.0
7wUo21-QUPg,28624.0,538.0
j5TSLezu9ac,30401.0,646.0
6zD_mBtGAgo,11719662.0,106378.0
sycEbjspnSM,170703.0,2480.0
XKoEgoUjG68,19784.0,209.0
BteZ78_NewQ,20366.0,569.0
Kr5bnfahT5A,43851.0,325.0
XB_sWKsX-s0,14217.0,239.0
xKVEB7lWQSc,92760.0,5724.0
HXAQBkxZtUM,26719.0,873.0
_eGkQ-bBU3s,1256.0,11.0
_fM4TTkvv4k,178269.0,3658.0
HocPXvd141E,3862.0,144.0
mzvxMWcts2I,10696.0,326.0
ljug_GRCC5I,36017.0,715.0
m87wuNHfKzM,13097.0,457.0
5Eu6IjREmVw,12826.0,293.0
DlIbq115p4s,24195.0,371.0
oATkrI0QlcM,8167.0,225.0
kQ11eRuvksg,15310.0,441.0
wLDF86k_1bQ,15099.0,304.0
3c6MqOB4n9o,1762339.0,25581.0
tOTa32TkQSM,346613.0,2947.0
r8_4IiIHAjg,102740.0,1229.0
ReaIio-u5oQ,2054.0,72.0
SmjWYr0JJqk,34226.0,777.0
xAdsvZ_eW9A,20122.0,399.0
Y-Xq-Al97y8,1650.0,26.0
oJ8KvKLL1lY,2024.0,66.0
XJR0hEsmVvs,13914.0,372.0
IjtB1N_OXdA,62361.0,1089.0
TEuiC7LZfaM,17970.0,428.0
g-z49OwURYQ,1360.0,34.0
yrAylv0l5X0,5650.0,137.0
