title,content,published_on,link,source
Manson não tirou costela para fazer sexo oral em si,"Em sua autobiografia, ""The Long Hard Road Out Of Hell"", Marilyn Manson falou sobre o boato de jeito irônico. ""Se eu realmente tivesse removido minhas costelas, eu estaria ocupado chupando meu próprio pênis em 'The Wonder Years' em vez de buscar Winnie Cooper"", disse, em menção a outro rumor - de que ele seria o intérprete do personagem Paul Pfeiffer, de Josh Saviano.
Além disso, quem tem tempo para matar filhotes de cachorro quando se pode chupar o próprio pênis? Acho que vou ligar para um cirurgião.
Marilyn Manson
E Andressa Urach? A ex- A Fazenda (Record) realizou o procedimento para reduzir as medidas da cintura.Ela também colocou um litro de silicone em cada mama e fez lipoaspiração na cintura. Ao mostrar as costelas retiradas, ela escreveu nas redes sociais: ""Que lindas minhas costelinhas.""
Urach confidenciou que fez as mudanças pensando no seu conteúdo adulto. ""Sou muito vaidosa e sempre tive o sonho de ter a cintura ainda mais fina. Tenho 72 cm e com essa cirurgia existe a possibilidade de diminuir de seis até 18 centímetros. Acho que vou ficar com o corpo ainda mais sexy para meus vídeos de conteúdo adulto. Imagina que lindo, peito bem grande e cintura bem fina. Quero vender mais conteúdos.""",2024-03-20T15:00:00Z,https://www.uol.com.br,UOL
Marilyn Manson Hitting the Road with Five Finger Death Punch,"[Trigger warning: this article contains descriptions of domestic violence, as well as sexual and physical abuse.]
Marilyn Manson announced his first live dates in nearly five years on Friday (March 8), marking the shock rocker’s return to the road after more than half a dozen women accused the him of sexual and emotional abuse. The news came in an X post in which Manson revealed that he and Slaughter to Prevail will be hitting the road this summer/fall for a 30-date arena/amphitheater tour with Five Finger Death Punch slated to kick off on August 2 at Hersheypark Stadium in Hershey, PA.
Related A Timeline of Abuse Allegations Against Marilyn Manson
More than a dozen women have accused Manson (born Brian Warner), 55, of sexual, emotional and physical assault, including actress Evan Rachel Wood, who was the subject of the two-part HBO 2022 documentary Phoenix Rising that delved into her claims of the abuse she claims she allegedly suffered at the rocker’s hand during an on-and-off relationship that began when she was 18.
Manson, who has denied all the allegations, reached a settlement with actress Esme Bianco last year to end her sexual assault lawsuit after a judge dismissed another sexual abuse suit from model Ashley Morgan Smithline. Previously, an L.A. Superior Court judge dismissed a suit against Manson filed by a former personal assistant alleging sexual assault, sexual battery, sexual harassment and intentional infliction of emotional distress.
Trending on Billboard
The singer was sued over allegations of sexual assault against a minor in January 2023, in which the “Jane Doe” claimed Manson groomed and sexually assaulted the then-underage girl early in his career. The graphic details of that Doe suit closely match the allegations from a number of the other women who have made claims against Manson, including that the singer subjected them to “hostile and verbally abusive behavior,” as well as racially charged language mixed with the sharing of intimate personal details.
After initially declining to name Manson as her abuser, Wood posted an Instagram statement in Feb. 2021 in which she wrote that “he [Manson] started grooming me when I was a teenager and horrifically abused me for years. I was brainwashed and manipulated into submission. I am done living in fear of retaliation, slander or blackmail.” Among her horrifying claims were that Manson would “draw swastikas over my bedside table when he was mad at me” and that he would allegedly tie the actress up and torture her ritualistically, lashing her to a “kneeler” bench and hitting her “over and over” with a Nazi whip from the Holocaust before shocking her welts and private areas until she broke the bench in half. Following Wood’s claims four other women came forward with similar allegations against Manson in a Vanity Fair article.
Manson has countersued a number of his alleged victims — in addition to settle Bianco’s suit — and judges have dismissed several of the abuse lawsuits against him over the past three years. In the wake of the raft of allegations, Manson was dropped by his record label Loma Vista Records in Feb. 2021 as well as by his longtime manager, Tony Ciulla, several days later.
The “Antichrist Superstar” singer has been off the road since the final August 18, 2019 date on the Twins of Evil: Hell Never Dies joint tour with Rob Zombie and hasn’t released new music since his 2020 We Are Chaos album.
See the announcement and tour dates below.
Marilyn Manson will be going on tour with Five Finger Death Punch (@FFDP ) this summer. Tickets available next week at the link in bio.https://t.co/NdP9xRYyMB pic.twitter.com/pL5W1I0EaG — Marilyn Manson (@marilynmanson) March 8, 2024 Summer/Fall 2024 North American tour:
August 2 — Hershey, PA @ Hersheypark Stadium
August 4 — Boston, MA @ Gillette Stadium ( w/ @metallica )
August 5 — Holmdel, NJ @ PNC Bank Arts Center
August 7 — Detroit, MI @ Pine Knob Music Centre
August 8 — Cincinnati, OH @ Riverbend Music Center
August 10 — St. Louis, MO @ Hollywood Casino Amphiteater
August 11 — Chicago, IL @ Soldier Field (w/Metallica)
August 13 — Rogers, AR @ Walmart Amphitheater
August 14 — Nashville, TN @ Bridgestone Arena
August 16 — Noblesville, IN @ Ruoff Music Center
August 18 — Minneapolis, MN @ US Bank Stadium (w/Metallica)
August 19 — Des Moines, IA @ Wells Fargo Arena
August 21 — Omaha, NE @ CHI Health Center
August 22 — Denver, CO @ Ball Arena
August 24 — Saskatoon, SK @ SaskTel Centre*
August 25 — Edmonton, AB @ Commonwealth Stadium (w/Metallica)
August 27 — Vancouver, BC @ Rogers Arena
August 29 — Airway Heights, WA @ NorthQuest
August 31 — Portland, OR @ RV Inn Style Resorts Amphitheater
Sept. 1 — Seattle, WA @ Lumen Field (w/Metallica)
Sept. 3 — Mountain View, CA @ Shoreline Amphitheater
Sept. 4 — Chula Vista, CA @ North Island Credit Union Amphitheater
Sept. 6 — Anaheim, CA @ Honda Center
Sept. 8 — Las Vegas, NV @ MGM Grand Garden
Sept. 10 — Phoenix, AZ @ Talking Stick Resorts Amphitheater
Sept. 11 — Albuquerque, NM @ Isleta Amphitheatre
Sept. 13 — Durant, OK @ Choctaw Grand Theater
Sept. 15 — Atlanta, GA @ Lakewood Amphitheatre
Sept. 16 — Biloxi, MS @ Mississippi Coast Coliseum
Sept. 18 — Austin, TX @ Germania Insurance Amphitheater
Sept. 19 — Houston, TX @ Cynthia Woods Mitchell Pavilion
*no Manson",2024-03-08T18:35:52Z,https://www.billboard.com,Billboard
Marilyn Manson termina serviço comunitário,"Marilyn Manson / Reprodução / Instagram /@marilynmanson
Marilyn Manson finalizou seu serviço comunitário, após ser condenado por crime de contravenção simples, ao ter assoado o nariz em uma operadora de câmera em um show em New Hampshire em 2019, e foi processado por isso.
Marilyn Manson é condenado a reembolsar a ex
Na época Manson não contestou a acusação, o que significa que ele aceitou a condenação, mas não se declarou culpado pelo suposto crime em si.
O crime pode acarretar pena de prisão de até um ano e multa de US$ 2.000, mas a parte lesada pediu US$ 35.000 (R$ 137 mil) em danos relacionados ao seu equipamento fotográfico.
Apesar do suposto incidente ter ocorrido em 2019 durante sua turnê “Hell Never Dies”, demorou mais dois anos para que ele se entregasse às autoridades.
Receba as Notícias de OFuxico em seu celular
Sempre Provocador
Na época, o advogado de Manson, Howard King, argumentou que o astro do rock gostava de ser “provocativo” no palco e classificou a reivindicação monetária como “ridícula” porque não havia evidências de quaisquer danos.
Testemunhas do show lembraram que a mulher parecia “semi-irritada” quando Manson – cujo nome verdadeiro é Brian Warner – começou a cuspir para todos os lados.
Marilyn Manson passa a ser procurado pela polícia
Uma delas disse à revista “People”:
“Ele estava cuspindo em todos os lugares e uma vez isso apareceu na câmera dela, então ela enxugou e parecia semi-irritada.”
“Acho que a gota d’água foi que ele caiu no chão, ficou a meio metro dela e limpou o nariz e disparou contra ela, não para a câmera. Ela ficou enojada, então saiu furiosa e ele apenas riu.”
Outro afirmou: “Ele cuspiu nela algumas vezes e depois se inclinou bem perto da câmera e lançou um enorme ranho nela!”",2024-02-07T16:45:00Z,https://www.ofuxico.com.br,OFuxico
Marilyn Manson: Εξέτισε την ποινή της κοινωφελούς εργασίας,"Your browser does not support the audio element.
Ο καλλιτέχνης πέρασε 20 ώρες τον περασμένο μήνα στο Windsor Club of Glendale, έναν οργανισμό στην Καλιφόρνια που παρέχει χώρους συνάντησης για τους Ανώνυμους Αλκοολικούς
Ο Marilyn Manson, ο οποίος καταδικάστηκε σε κοινωφελή εργασία επειδή φύσηξε τη μύτη του σε έναν εικονολήπτη σε μια συναυλία του 2019 στο New Hampshire, ολοκλήρωσε πρόσφατα τον χρόνο του σε έναν οργανισμό που παρέχει χώρους συνάντησης για τους Ανώνυμους Αλκοολικούς, σύμφωνα με τα διεθνή μέσα.
Ο 55χρονος καλλιτέχνης πέρασε 20 ώρες τον περασμένο μήνα στο Windsor Club of Glendale, έναν μη κερδοσκοπικό οργανισμό στην Καλιφόρνια που παρέχει χώρους συνάντησης για τους Ανώνυμους Αλκοολικούς και τις οικογένειες των αλκοολικών για να «επιτύχουν μια πιο ουσιαστική ζωή μέσω της ανάρρωσης», σύμφωνα με την ιστοσελίδα της ομάδας.
Marilyn Manson completes community service sentence for blowing nose on videographer https://t.co/XOc9tpGcFz — This Is The Conversation Project (@th_conversation) February 3, 2024
Το πιστοποιητικό ολοκλήρωσης κατατέθηκε από την Assistance League of Los Angeles σε δικαστήριο του New Hampshire στις 30 Ιανουαρίου. Ο Μάνσον έπρεπε να καταθέσει τα σχετικά χαρτιά μέχρι τις 4 Φεβρουαρίου. Στον Μάνσον επιβλήθηκε, επίσης, πρόστιμο.
Πηγή: skai.gr
Διαβάστε τις Ειδήσεις σήμερα και ενημερωθείτε για τα πρόσφατα νέα.
Ακολουθήστε το Skai.gr στο Google News και μάθετε πρώτοι όλες τις ειδήσεις.",2024-02-05T07:51:54Z,https://www.skai.gr,SKAI
Marilyn Manson completes community service for NH assault charge,"Marilyn Manson, who was sentenced to community service for blowing his nose on a videographer at a 2019 concert in New Hampshire, recently completed his time at an organization that provides meeting space for Alcoholics Anonymous and Al-Anon, according to court paperwork.
The shock rocker, 55, spent 20 hours last month at the Windsor Club of Glendale, a California nonprofit that provides meeting locations for Alcoholics Anonymous and families of alcoholics to “achieve a more meaningful life through recovery,” according to the group's website.
A certificate of completion was filed by the Assistance League of Los Angeles with a New Hampshire court on Jan. 30. Manson had to file proof of his service by Feb. 4.
Manson, whose legal name is Brian Warner, pleaded no contest in September to the misdemeanor charge in Laconia, about 30 miles north of Concord, the state capital.
Get Boston local news, weather forecasts, lifestyle and entertainment stories to your inbox. Sign up for NBC Boston’s newsletters.
A no contest plea means Manson did not contest the charge and did not admit guilt.
He initially was charged with two misdemeanor counts of simple assault stemming from the encounter with the videographer at the Bank of New Hampshire Pavilion in Gilford on Aug. 19, 2019. The second charge, alleging that he spit on the videographer, was dropped.
Manson also was fined. He needs to remain arrest-free and notify local police of any New Hampshire performances for two years.
Prosecutor Andrew Livernois had said it was his first offense and he had no prior record.
Manson initially pleaded not guilty to both charges in 2021. His lawyer had said that the type of filming the videographer was doing commonly exposes videographers to “incidental contact” with bodily fluids.
Manson emerged as a musical star in the mid-1990s, known as much for courting public controversy as for hit songs like “The Beautiful People” and hit albums like 1996’s “Antichrist Superstar” and 1998’s “Mechanical Animals.”
Last year, a California judge threw out key sections of Manson’s lawsuit against his former fiancée, “Westworld” actor Evan Rachel Wood, claiming she fabricated public allegations that he sexually and physically abused her during their relationship and encouraged other women to do the same. He is appealing the ruling. The judge recently ruled that Manson cover Wood's legal fees, according to Rolling Stone.
Manson’s lawsuit, filed last year, alleges that Wood and another woman named as a defendant, Illma Gore, defamed Manson, intentionally caused him emotional distress and derailed his career in music, TV and film.
Several women have sued Manson in recent years with allegations of sexual and other abuse. Most have been dismissed or settled, including a suit filed by “Game of Thrones” actor Esmé Bianco.
The Associated Press does not typically name people who say they have been sexually abused unless they come forward publicly.",2024-02-05T07:13:44Z,https://www.nbcboston.com,NBC10 Boston
Marilyn Manson completes community service sentence for blowing nose on videographer in N.H.,"A certificate of completion was filed by the Assistance League of Los Angeles with a New Hampshire court on Jan. 30. Manson had to file proof of his service by Feb. 4.
The shock rocker , 55, spent 20 hours last month at the Windsor Club of Glendale, a California nonprofit that provides meeting locations for Alcoholics Anonymous and families of alcoholics to “achieve a more meaningful life through recovery,” according to the group’s website.
CONCORD, N.H. — Marilyn Manson, who was sentenced to community service for blowing his nose on a videographer at a 2019 concert in New Hampshire, recently completed his time at an organization that provides meeting space for Alcoholics Anonymous and Al-Anon, according to court paperwork.
Advertisement
Manson, whose legal name is Brian Warner, pleaded no contest in September to the misdemeanor charge in Laconia, about 30 miles (48 kilometers) north of Concord, the state capital.
Get N.H. Morning Report A weekday newsletter delivering the N.H. news you need to know right to your inbox. Enter Email Sign Up
A no contest plea means Manson did not contest the charge and did not admit guilt.
He initially was charged with two misdemeanor counts of simple assault stemming from the encounter with the videographer at the Bank of New Hampshire Pavilion in Gilford on Aug. 19, 2019. The second charge, alleging that he spit on the videographer, was dropped.
Manson also was fined. He needs to remain arrest-free and notify local police of any New Hampshire performances for two years.
Prosecutor Andrew Livernois had said it was his first offense and he had no prior record.
Manson initially pleaded not guilty to both charges in 2021. His lawyer had said that the type of filming the videographer was doing commonly exposes videographers to “incidental contact” with bodily fluids.
Manson emerged as a musical star in the mid-1990s, known as much for courting public controversy as for hit songs like “The Beautiful People” and hit albums like 1996′s “Antichrist Superstar” and 1998′s “Mechanical Animals.”
Advertisement
Last year, a California judge threw out key sections of Manson’s lawsuit against his former fiancée, “Westworld” actor Evan Rachel Wood, claiming she fabricated public allegations that he sexually and physically abused her during their relationship and encouraged other women to do the same. He is appealing the ruling. The judge recently ruled that Manson cover Wood’s legal fees, according to Rolling Stone.
Manson’s lawsuit, filed last year, alleges that Wood and another woman named as a defendant, Illma Gore, defamed Manson, intentionally caused him emotional distress and derailed his career in music, TV and film.
Several women have sued Manson in recent years with allegations of sexual and other abuse. Most have been dismissed or settled, including a suit filed by “Game of Thrones” actor Esmé Bianco.
The Associated Press does not typically name people who say they have been sexually abused unless they come forward publicly.",2024-02-05T05:00:00Z,https://www.bostonglobe.com,The Boston Globe
Marilyn Manson completes community service sentence for blowing nose on videographer,"Kathy Mccormack, The Associated Press
CONCORD, N.H. (AP) — Marilyn Manson, who was sentenced to community service for blowing his nose on a videographer at a 2019 concert in New Hampshire, recently completed his time at an organization that provides meeting space for Alcoholics Anonymous and Al-Anon, according to court paperwork.
The shock rocker, 55, spent 20 hours last month at the Windsor Club of Glendale, a California nonprofit that provides meeting locations for Alcoholics Anonymous and families of alcoholics to “achieve a more meaningful life through recovery,” according to the group's website.
A certificate of completion was filed by the Assistance League of Los Angeles with a New Hampshire court on Jan. 30. Manson had to file proof of his service by Feb. 4.
Manson, whose legal name is Brian Warner, pleaded no contest in September to the misdemeanor charge in Laconia, about 30 miles (48 kilometers) north of Concord, the state capital.
A no contest plea means Manson did not contest the charge and did not admit guilt.
He initially was charged with two misdemeanor counts of simple assault stemming from the encounter with the videographer at the Bank of New Hampshire Pavilion in Gilford on Aug. 19, 2019. The second charge, alleging that he spit on the videographer, was dropped.
Manson also was fined. He needs to remain arrest-free and notify local police of any New Hampshire performances for two years.
Prosecutor Andrew Livernois had said it was his first offense and he had no prior record.
Manson initially pleaded not guilty to both charges in 2021. His lawyer had said that the type of filming the videographer was doing commonly exposes videographers to “incidental contact” with bodily fluids.
Manson emerged as a musical star in the mid-1990s, known as much for courting public controversy as for hit songs like “The Beautiful People” and hit albums like 1996’s “Antichrist Superstar” and 1998’s “Mechanical Animals.”
Last year, a California judge threw out key sections of Manson’s lawsuit against his former fiancée, “Westworld” actor Evan Rachel Wood, claiming she fabricated public allegations that he sexually and physically abused her during their relationship and encouraged other women to do the same. He is appealing the ruling. The judge recently ruled that Manson cover Wood's legal fees, according to Rolling Stone.
Manson’s lawsuit, filed last year, alleges that Wood and another woman named as a defendant, Illma Gore, defamed Manson, intentionally caused him emotional distress and derailed his career in music, TV and film.
Several women have sued Manson in recent years with allegations of sexual and other abuse. Most have been dismissed or settled, including a suit filed by “Game of Thrones” actor Esmé Bianco.
The Associated Press does not typically name people who say they have been sexually abused unless they come forward publicly.",2024-02-03T23:59:00Z,https://www.cp24.com,CP24 Toronto
Marilyn Manson completes community service for blowing nose on videographer,"Marilyn Manson, who was sentenced to community service for blowing his nose on a videographer at a 2019 concert in New Hampshire, recently completed his time at an organisation that provides meeting space for Alcoholics Anonymous and Al-Anon, according to court paperwork.
The shock rocker, 55, spent 20 hours last month at the Windsor Club of Glendale, a California non-profit that provides meeting locations for Alcoholics Anonymous and families of alcoholics to “achieve a more meaningful life through recovery”, according to the group’s website.
Advertisement
A certificate of completion was filed by the Assistance League of Los Angeles with a New Hampshire court on January 30.
Manson had to file proof of his service by February 4.
Manson, whose legal name is Brian Warner, pleaded no contest in September to the misdemeanour charge in Laconia, about 30 miles north of Concord, the state capital.
Advertisement
A no contest plea means Manson did not contest the charge and did not admit guilt.
Advertisement
He was initially charged with two misdemeanour counts of simple assault stemming from the encounter with the videographer at the Bank of New Hampshire Pavilion in Gilford on August 19 2019.
The second charge, alleging that he spat on the videographer, was dropped.
Manson was also fined.
He needs to remain arrest-free and notify local police of any New Hampshire performances for two years.
Advertisement
Prosecutor Andrew Livernois had said it was his first offence and he had no prior record.
Manson initially pleaded not guilty to both charges in 2021.
His lawyer had said that the type of filming the videographer was doing commonly exposes videographers to “incidental contact” with bodily fluids.
Manson emerged as a musical star in the mid-1990s, known as much for courting public controversy as for hit songs such as The Beautiful People and hit albums such as 1996’s Antichrist Superstar and 1998’s Mechanical Animals.
Advertisement
Last year, a California judge threw out key sections of Manson’s lawsuit against his former fiancee, Westworld actor Evan Rachel Wood, claiming she fabricated public allegations that he sexually and physically abused her during their relationship and encouraged other women to do the same.
Advertisement
He is appealing against the ruling.
The judge recently ruled that Manson cover Wood’s legal fees, according to Rolling Stone.
Manson’s lawsuit, filed last year, alleges that Wood and another woman named as a defendant, Illma Gore, defamed Manson, intentionally caused him emotional distress and derailed his career in music, TV and film.
Advertisement
Several women have sued Manson in recent years with allegations of sexual and other abuse.
Most have been dismissed or settled, including a suit filed by Game Of Thrones actor Esme Bianco.
The Associated Press does not typically name people who say they have been sexually abused unless they come forward publicly.",2024-02-03T00:00:00Z,https://www.breakingnews.ie,BreakingNews.ie
Marilyn Manson é condenado a reembolsar a ex,"Marilyn Manson / Reprodução / Instagram/@marilynmanson
A juíza do Tribunal Superior do Condado de Los Angeles, Teresa A. Beaudet, ordenou a Marilyn Manson o reembolso de quase US$ 327 mil (R$ 1,6 milhão) à ex-noiva Evan Rachel Wood, para cobrir os honorários advocatícios, após o tribunal rejeitar suas acusações de difamação.
Manson perdeu contrato com gravadora na época
O roqueiro, cujo nome verdadeiro é Brian Warner, processou a atriz em março de 2022, alegando que Wood o difamou e atrapalhou sua carreira quando ela o acusou publicamente em 2021, de abuso durante seu relacionamento.
Segundo a revista “Rolling Stone”, as alegações de Manson, de ‘difamação e sofrimento emocional’ foram rejeitadas pela mesma juíza no ano passado.
Conspiração?
Wood e sua amiga Illma Gore serão julgadas em 1º de maio por outros motivos. Elas estão sendo acusadas de conspirar para invadir o computador de Manson, se passar por ele online e fazer uma ligação que enviou policiais até sua casa.
Depois que Wood tornou públicas suas alegações em 2021, várias outras mulheres apresentaram acusações semelhantes contra o músico.
No processo, ele acusou a atriz e Gore de ‘recrutar acusadoras para participarem de um ataque coordenado’, mas esta alegação não será apresentada ao júri.
Receba as Notícias de OFuxico em seu celular
A maioria dos processos de abuso contra Manson foram resolvidos, indeferidos ou arquivados. Ele negou todas as acusações e jurou que era vítima dessas pessoas.
Acusações
Na época das denúncias contra o cantor, ele se defendeu: “Obviamente minha arte e minha vida tem sido têm sido ímãs para controvérsia, mas essas afirmações recentes sobre mim são horríveis distorções da realidade”, disse.
“Meus relacionamentos íntimos sempre foram inteiramente consensuais com parceiros que pensam como eu. Independentemente de como – e por que – os outros agora estão optando por deturpar o passado, essa é a verdade”, escreveu.
Manson chama pandemia de ‘mentalmente devastadora’
E Marilyn Manson ainda perdeu o contrato com a gravadora Loma Vista Recordings após a denúncia feita por Evan. Seu relato, aliás, fez com que outras mulheres que se relacionaram com o cantor também o acusassem por comportamento abusivo.
“À luz das alegações perturbadoras de Evan Rachel Wood e outras mulheres nomeando Marilyn Manson como seu agressor, Loma Vista deixará de promover seu álbum atual, com efeito imediato”, afirmaram naquela ocasião.
Rose McGowan fala sobre relacionamento com Manson
“Devido a esses desenvolvimentos preocupantes, também decidimos não trabalhar com Marilyn Manson em quaisquer projetos futuros”, finalizava o comunicado divulgado pela empresa.",2024-01-31T20:00:00Z,https://www.ofuxico.com.br,OFuxico
"Marilyn Manson deve pagar mais de R$ 1,6 mi a advogados de atriz","O julgamento tem previsão de ser realizado no dia 1º de maio. Marilyn Manson alegou que Evan Rachel Wood e a amiga Illma Gore conspiraram contra ele, invadindo seu computador, se passando por ele e levando a polícia até sua casa.
Este não é o primeiro processo de abuso contra o artista. Sua ex-assistente Ashley Walters também abriu um processo contra Manson, acusando-o de agredi-la sexualmente e abuso físico.
Acusações de assédio sexual e estupro
Marilyn Manson recebeu diversas acusações de assédio e estupro em 2021. A primeira aconteceu em fevereiro e foi feita por Evan Rachel Wood. ""Ele começou a me assediar quando eu ainda era uma adolescente e abusou terrivelmente de mim por anos. Eu sofri uma lavagem cerebral e fui manipulada à submissão"", escreveu ela no Instagram.
Outras mulheres o acusaram de assédio sexual, tortura e estupro desde então — como Esme Bianco, que foi a primeira a protocolar ação judicial contra Manson.
O artista nega as acusações: ""Essas recentes declarações a meu respeito são distorções horríveis da realidade. Meus relacionamentos íntimos sempre foram completamente consensuais"".",2024-01-30T21:47:10Z,https://www.uol.com.br,UOL
