Date,Value
"Dec 29, 2019 – Jan 4, 2020",6
"Jan 5 – 11, 2020",7
"Jan 12 – 18, 2020",6
"Jan 19 – 25, 2020",7
"Jan 26 – Feb 1, 2020",7
"Feb 2 – 8, 2020",6
"Feb 9 – 15, 2020",6
"Feb 16 – 22, 2020",6
"Feb 23 – 29, 2020",6
"Mar 1 – 7, 2020",5
"Mar 8 – 14, 2020",5
"Mar 15 – 21, 2020",5
"Mar 22 – 28, 2020",5
"Mar 29 – Apr 4, 2020",6
"Apr 5 – 11, 2020",6
"Apr 12 – 18, 2020",6
"Apr 19 – 25, 2020",6
"Apr 26 – May 2, 2020",6
"May 3 – 9, 2020",6
"May 10 – 16, 2020",6
"May 17 – 23, 2020",6
"May 24 – 30, 2020",5
"May 31 – Jun 6, 2020",5
"Jun 7 – 13, 2020",5
"Jun 14 – 20, 2020",5
"Jun 21 – 27, 2020",5
"Jun 28 – Jul 4, 2020",5
"Jul 5 – 11, 2020",6
"Jul 12 – 18, 2020",6
"Jul 19 – 25, 2020",5
"Jul 26 – Aug 1, 2020",9
"Aug 2 – 8, 2020",6
"Aug 9 – 15, 2020",6
"Aug 16 – 22, 2020",7
"Aug 23 – 29, 2020",6
"Aug 30 – Sep 5, 2020",6
"Sep 6 – 12, 2020",11
"Sep 13 – 19, 2020",9
"Sep 20 – 26, 2020",7
"Sep 27 – Oct 3, 2020",7
"Oct 4 – 10, 2020",6
"Oct 11 – 17, 2020",6
"Oct 18 – 24, 2020",6
"Oct 25 – 31, 2020",7
"Nov 1 – 7, 2020",5
"Nov 8 – 14, 2020",6
"Nov 15 – 21, 2020",6
"Nov 22 – 28, 2020",5
"Nov 29 – Dec 5, 2020",5
"Dec 6 – 12, 2020",5
"Dec 13 – 19, 2020",5
"Dec 20 – 26, 2020",6
"Dec 27, 2020 – Jan 2, 2021",6
"Jan 3 – 9, 2021",7
"Jan 10 – 16, 2021",5
"Jan 17 – 23, 2021",5
"Jan 24 – 30, 2021",5
"Jan 31 – Feb 6, 2021",100
"Feb 7 – 13, 2021",34
"Feb 14 – 20, 2021",14
"Feb 21 – 27, 2021",10
"Feb 28 – Mar 6, 2021",8
"Mar 7 – 13, 2021",6
"Mar 14 – 20, 2021",5
"Mar 21 – 27, 2021",5
"Mar 28 – Apr 3, 2021",5
"Apr 4 – 10, 2021",5
"Apr 11 – 17, 2021",5
"Apr 18 – 24, 2021",5
"Apr 25 – May 1, 2021",9
"May 2 – 8, 2021",8
"May 9 – 15, 2021",6
"May 16 – 22, 2021",6
"May 23 – 29, 2021",11
"May 30 – Jun 5, 2021",6
"Jun 6 – 12, 2021",4
"Jun 13 – 19, 2021",4
"Jun 20 – 26, 2021",6
"Jun 27 – Jul 3, 2021",9
"Jul 4 – 10, 2021",6
"Jul 11 – 17, 2021",5
"Jul 18 – 24, 2021",5
"Jul 25 – 31, 2021",5
"Aug 1 – 7, 2021",5
"Aug 8 – 14, 2021",5
"Aug 15 – 21, 2021",5
"Aug 22 – 28, 2021",14
"Aug 29 – Sep 4, 2021",15
"Sep 5 – 11, 2021",5
"Sep 12 – 18, 2021",6
"Sep 19 – 25, 2021",5
"Sep 26 – Oct 2, 2021",16
"Oct 3 – 9, 2021",11
"Oct 10 – 16, 2021",6
"Oct 17 – 23, 2021",5
"Oct 24 – 30, 2021",5
"Oct 31 – Nov 6, 2021",9
"Nov 7 – 13, 2021",6
"Nov 14 – 20, 2021",11
"Nov 21 – 27, 2021",5
"Nov 28 – Dec 4, 2021",7
"Dec 5 – 11, 2021",7
"Dec 12 – 18, 2021",6
"Dec 19 – 25, 2021",6
"Dec 26, 2021 – Jan 1, 2022",5
"Jan 2 – 8, 2022",5
"Jan 9 – 15, 2022",4
"Jan 16 – 22, 2022",4
"Jan 23 – 29, 2022",12
"Jan 30 – Feb 5, 2022",5
"Feb 6 – 12, 2022",4
"Feb 13 – 19, 2022",4
"Feb 20 – 26, 2022",5
"Feb 27 – Mar 5, 2022",5
"Mar 6 – 12, 2022",5
"Mar 13 – 19, 2022",10
"Mar 20 – 26, 2022",8
"Mar 27 – Apr 2, 2022",6
"Apr 3 – 9, 2022",5
"Apr 10 – 16, 2022",5
"Apr 17 – 23, 2022",8
"Apr 24 – 30, 2022",10
"May 1 – 7, 2022",7
"May 8 – 14, 2022",5
"May 15 – 21, 2022",7
"May 22 – 28, 2022",6
"May 29 – Jun 4, 2022",6
"Jun 5 – 11, 2022",5
"Jun 12 – 18, 2022",5
"Jun 19 – 25, 2022",5
"Jun 26 – Jul 2, 2022",5
"Jul 3 – 9, 2022",5
"Jul 10 – 16, 2022",4
"Jul 17 – 23, 2022",4
"Jul 24 – 30, 2022",4
"Jul 31 – Aug 6, 2022",6
"Aug 7 – 13, 2022",7
"Aug 14 – 20, 2022",5
"Aug 21 – 27, 2022",5
"Aug 28 – Sep 3, 2022",4
"Sep 4 – 10, 2022",4
"Sep 11 – 17, 2022",4
"Sep 18 – 24, 2022",5
"Sep 25 – Oct 1, 2022",4
"Oct 2 – 8, 2022",4
"Oct 9 – 15, 2022",5
"Oct 16 – 22, 2022",4
"Oct 23 – 29, 2022",5
"Oct 30 – Nov 5, 2022",4
"Nov 6 – 12, 2022",4
"Nov 13 – 19, 2022",4
"Nov 20 – 26, 2022",3
"Nov 27 – Dec 3, 2022",3
"Dec 4 – 10, 2022",4
"Dec 11 – 17, 2022",4
"Dec 18 – 24, 2022",4
"Dec 25 – 31, 2022",4
"Jan 1 – 7, 2023",5
"Jan 8 – 14, 2023",6
"Jan 15 – 21, 2023",4
"Jan 22 – 28, 2023",5
"Jan 29 – Feb 4, 2023",5
"Feb 5 – 11, 2023",4
"Feb 12 – 18, 2023",3
"Feb 19 – 25, 2023",4
"Feb 26 – Mar 4, 2023",4
"Mar 5 – 11, 2023",4
"Mar 12 – 18, 2023",3
"Mar 19 – 25, 2023",3
"Mar 26 – Apr 1, 2023",4
"Apr 2 – 8, 2023",4
"Apr 9 – 15, 2023",4
"Apr 16 – 22, 2023",4
"Apr 23 – 29, 2023",3
"Apr 30 – May 6, 2023",3
"May 7 – 13, 2023",4
"May 14 – 20, 2023",3
"May 21 – 27, 2023",4
"May 28 – Jun 3, 2023",4
"Jun 4 – 10, 2023",4
"Jun 11 – 17, 2023",4
"Jun 18 – 24, 2023",4
"Jun 25 – Jul 1, 2023",4
"Jul 2 – 8, 2023",4
"Jul 9 – 15, 2023",4
"Jul 16 – 22, 2023",4
"Jul 23 – 29, 2023",4
"Jul 30 – Aug 5, 2023",4
"Aug 6 – 12, 2023",4
"Aug 13 – 19, 2023",4
"Aug 20 – 26, 2023",4
"Aug 27 – Sep 2, 2023",3
"Sep 3 – 9, 2023",5
"Sep 10 – 16, 2023",4
"Sep 17 – 23, 2023",5
"Sep 24 – 30, 2023",4
"Oct 1 – 7, 2023",4
"Oct 8 – 14, 2023",4
"Oct 15 – 21, 2023",4
"Oct 22 – 28, 2023",4
"Oct 29 – Nov 4, 2023",4
"Nov 5 – 11, 2023",4
"Nov 12 – 18, 2023",4
"Nov 19 – 25, 2023",4
"Nov 26 – Dec 2, 2023",3
"Dec 3 – 9, 2023",4
"Dec 10 – 16, 2023",3
"Dec 17 – 23, 2023",4
"Dec 24 – 30, 2023",4
"Dec 31, 2023 – Jan 6, 2024",4
"Jan 7 – 13, 2024",4
"Jan 14 – 20, 2024",4
"Jan 21 – 27, 2024",4
"Jan 28 – Feb 3, 2024",4
"Feb 4 – 10, 2024",4
"Feb 11 – 17, 2024",4
"Feb 18 – 24, 2024",4
"Feb 25 – Mar 2, 2024",4
"Mar 3 – 9, 2024",4
"Mar 10 – 16, 2024",5
"Mar 17 – 23, 2024",4
"Mar 24 – 30, 2024",4
"Mar 31 – Apr 6, 2024",4
"Apr 7 – 13, 2024",5
"Apr 14 – 20, 2024",4
"Apr 21 – 27, 2024",4
"Apr 28 – May 4, 2024",5
"May 5 – 11, 2024",4
"May 12 – 18, 2024",4
"May 19 – 25, 2024",4
"May 26 – Jun 1, 2024",4
