Track,Platform,Country,Genre,Peak Position,Peak Date
This Is Halloween,Spotify,Canada,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",46,"Oct 31, 2018"
This Is Halloween,Spotify,United States,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",73,"Oct 31, 2018"
This Is Halloween,Spotify,United Kingdom,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",83,"Oct 31, 2018"
This Is Halloween,Spotify,Ireland,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",109,"Oct 31, 2018"
This Is Halloween,Spotify,Global,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",124,"Oct 31, 2018"
DON'T CHASE THE DEAD,Spotify,Russian Federation,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",132,"Sep 11, 2020"
DON'T CHASE THE DEAD,Spotify,Ukraine,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",139,"Sep 11, 2020"
KILL4ME,Spotify,Czech Republic,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",148,"Oct 6, 2017"
This Is Halloween,Spotify,Poland,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",187,"Oct 31, 2018"
God's Gonna Cut You Down,Spotify,Hungary,"alternative metal,industrial,industrial metal,industrial rock,nu metal,rock,wrestling",188,"Oct 18, 2019"
