Date,Followers,Change
"Jan 1, 2020",2378791,1624
"Jan 2, 2020",2380330,1539
"Jan 3, 2020",2381725,1395
"Jan 4, 2020",2383305,1580
"Jan 5, 2020",2384976,1671
"Jan 6, 2020",2386677,1701
"Jan 7, 2020",2388377,1700
"Jan 8, 2020",2390037,1660
"Jan 9, 2020",2391671,1634
"Jan 10, 2020",2393370,1699
"Jan 11, 2020",2394988,1618
"Jan 12, 2020",2396727,1739
"Jan 13, 2020",2398473,1746
"Jan 14, 2020",2400173,1700
"Jan 15, 2020",2401818,1645
"Jan 16, 2020",2403527,1709
"Jan 17, 2020",2405235,1708
"Jan 18, 2020",2407008,1773
"Jan 19, 2020",2408842,1834
"Jan 20, 2020",2410706,1864
"Jan 21, 2020",2412412,1706
"Jan 22, 2020",2414147,1735
"Jan 23, 2020",2415812,1665
"Jan 24, 2020",2417564,1752
"Jan 25, 2020",2419280,1716
"Jan 26, 2020",2420876,1596
"Jan 27, 2020",2422533,1657
"Jan 28, 2020",2424198,1665
"Jan 29, 2020",2425694,1496
"Jan 30, 2020",2427258,1564
"Jan 31, 2020",2428821,1563
"Feb 1, 2020",2430363,1542
"Feb 2, 2020",2431929,1566
"Feb 3, 2020",2433512,1583
"Feb 4, 2020",2435010,1498
"Feb 5, 2020",2436485,1475
"Feb 6, 2020",2438015,1530
"Feb 7, 2020",2439545,1530
"Feb 8, 2020",2441069,1524
"Feb 9, 2020",2442680,1611
"Feb 10, 2020",2444230,1550
"Feb 11, 2020",2445702,1472
"Feb 12, 2020",2447131,1429
"Feb 13, 2020",2448560,1429
"Feb 14, 2020",2450072,1512
"Feb 15, 2020",2451624,1552
"Feb 16, 2020",2453162,1538
"Feb 17, 2020",2454781,1619
"Feb 18, 2020",2456399,1618
"Feb 19, 2020",2457799,1400
"Feb 20, 2020",2459349,1550
"Feb 21, 2020",2460951,1602
"Feb 22, 2020",2462454,1503
"Feb 23, 2020",2463974,1520
"Feb 24, 2020",2465467,1493
"Feb 25, 2020",2466960,1493
"Feb 26, 2020",2468348,1388
"Feb 27, 2020",2469801,1453
"Feb 28, 2020",2471164,1363
"Feb 29, 2020",2472602,1438
"Mar 1, 2020",2474095,1493
"Mar 2, 2020",2475743,1648
"Mar 3, 2020",2477310,1567
"Mar 4, 2020",2478813,1503
"Mar 5, 2020",2480337,1524
"Mar 6, 2020",2481856,1519
"Mar 7, 2020",2483375,1519
"Mar 8, 2020",2485030,1655
"Mar 9, 2020",2486608,1578
"Mar 10, 2020",2488030,1422
"Mar 11, 2020",2489261,1231
"Mar 12, 2020",2490626,1365
"Mar 13, 2020",2491951,1325
"Mar 14, 2020",2493356,1405
"Mar 15, 2020",2494637,1281
"Mar 16, 2020",2496055,1418
"Mar 17, 2020",2497410,1355
"Mar 18, 2020",2498614,1204
"Mar 19, 2020",2499931,1317
"Mar 20, 2020",2501274,1343
"Mar 21, 2020",2502588,1314
"Mar 22, 2020",2503934,1346
"Mar 23, 2020",2505378,1444
"Mar 24, 2020",2506778,1400
"Mar 25, 2020",2508220,1442
"Mar 26, 2020",2509604,1384
"Mar 27, 2020",2511019,1415
"Mar 28, 2020",2512433,1414
"Mar 29, 2020",2513961,1528
"Mar 30, 2020",2515566,1605
"Mar 31, 2020",2517122,1556
"Apr 1, 2020",2518523,1401
"Apr 2, 2020",2519849,1326
"Apr 3, 2020",2521286,1437
"Apr 4, 2020",2522751,1465
"Apr 5, 2020",2524288,1537
"Apr 6, 2020",2525815,1527
"Apr 7, 2020",2527268,1453
"Apr 8, 2020",2528629,1361
"Apr 9, 2020",2529987,1358
"Apr 10, 2020",2531504,1517
"Apr 11, 2020",2532884,1380
"Apr 12, 2020",2534465,1581
"Apr 13, 2020",2535993,1528
"Apr 14, 2020",2537521,1528
"Apr 15, 2020",2538860,1339
"Apr 16, 2020",2540150,1290
"Apr 17, 2020",2541733,1583
"Apr 18, 2020",2543172,1439
"Apr 19, 2020",2544736,1564
"Apr 20, 2020",2546299,1563
"Apr 21, 2020",2547810,1511
"Apr 22, 2020",2549191,1381
"Apr 23, 2020",2550611,1420
"Apr 24, 2020",2552166,1555
"Apr 25, 2020",2553758,1592
"Apr 26, 2020",2555264,1506
"Apr 27, 2020",2556857,1593
"Apr 28, 2020",2558357,1500
"Apr 29, 2020",2559846,1489
"Apr 30, 2020",2561165,1319
"May 1, 2020",2558385,-2780
"May 2, 2020",2531886,-26499
"May 3, 2020",2533472,1586
"May 4, 2020",2533472,0
"May 5, 2020",2533472,0
"May 6, 2020",2538045,4573
"May 7, 2020",2539468,1423
"May 8, 2020",2540850,1382
"May 9, 2020",2542383,1533
"May 10, 2020",2543978,1595
"May 11, 2020",2545584,1606
"May 12, 2020",2546911,1327
"May 13, 2020",2548111,1200
"May 14, 2020",2549289,1178
"May 15, 2020",2550772,1483
"May 16, 2020",2552258,1486
"May 17, 2020",2553890,1632
"May 18, 2020",2555384,1494
"May 19, 2020",2556889,1505
"May 20, 2020",2558244,1355
"May 21, 2020",2560782,2538
"May 22, 2020",2562857,2075
"May 23, 2020",2564496,1639
"May 24, 2020",2566187,1691
"May 25, 2020",2566187,0
"May 26, 2020",2566187,0
"May 27, 2020",2570743,4556
"May 28, 2020",2572195,1452
"May 29, 2020",2573751,1556
"May 30, 2020",2575174,1423
"May 31, 2020",2575174,0
"Jun 1, 2020",2578059,2885
"Jun 2, 2020",2578059,0
"Jun 3, 2020",2580700,2641
"Jun 4, 2020",2581941,1241
"Jun 5, 2020",2583270,1329
"Jun 6, 2020",2584653,1383
"Jun 7, 2020",2585997,1344
"Jun 8, 2020",2587478,1481
"Jun 9, 2020",2588746,1268
"Jun 10, 2020",2590126,1380
"Jun 11, 2020",2591480,1354
"Jun 12, 2020",2592957,1477
"Jun 13, 2020",2594238,1281
"Jun 14, 2020",2595518,1280
"Jun 15, 2020",2596789,1271
"Jun 16, 2020",2598280,1491
"Jun 17, 2020",2599549,1269
"Jun 18, 2020",2599549,0
"Jun 19, 2020",2602220,2671
"Jun 20, 2020",2603572,1352
"Jun 21, 2020",2605045,1473
"Jun 22, 2020",2606407,1362
"Jun 23, 2020",2603572,-2835
"Jun 24, 2020",2609023,5451
"Jun 25, 2020",2609023,0
"Jun 26, 2020",2611741,2718
"Jun 27, 2020",2613073,1332
"Jun 28, 2020",2614498,1425
"Jun 29, 2020",2615910,1412
"Jun 30, 2020",2617215,1305
"Jul 1, 2020",2618449,1234
"Jul 2, 2020",2618449,0
"Jul 3, 2020",2618449,0
"Jul 4, 2020",2622420,3971
"Jul 5, 2020",2622420,0
"Jul 6, 2020",2622420,0
"Jul 7, 2020",2622420,0
"Jul 8, 2020",2622420,0
"Jul 9, 2020",2628796,6376
"Jul 10, 2020",2628796,0
"Jul 11, 2020",2631497,2701
"Jul 12, 2020",2631497,0
"Jul 13, 2020",2631497,0
"Jul 14, 2020",2631497,0
"Jul 15, 2020",2636984,5487
"Jul 16, 2020",2636984,0
"Jul 17, 2020",2636984,0
"Jul 18, 2020",2636984,0
"Jul 19, 2020",2636984,0
"Jul 20, 2020",2701040,64056
"Jul 21, 2020",2706801,5761
"Jul 22, 2020",2712038,5237
"Jul 23, 2020",2712038,0
"Jul 24, 2020",2720774,8736
"Jul 25, 2020",2724483,3709
"Jul 26, 2020",2727859,3376
"Jul 27, 2020",2727859,0
"Jul 28, 2020",2734130,6271
"Jul 29, 2020",2737028,2898
"Jul 30, 2020",2740092,3064
"Jul 31, 2020",2740092,0
"Aug 1, 2020",2748476,8384
"Aug 2, 2020",2748476,0
"Aug 3, 2020",2755046,6570
"Aug 4, 2020",2755046,0
"Aug 5, 2020",2760610,5564
"Aug 6, 2020",2763105,2495
"Aug 7, 2020",2763105,0
"Aug 8, 2020",2763105,0
"Aug 9, 2020",2770456,7351
"Aug 10, 2020",2772871,2415
"Aug 11, 2020",2775028,2157
"Aug 12, 2020",2775028,0
"Aug 13, 2020",2779167,4139
"Aug 14, 2020",2781422,2255
"Aug 15, 2020",2783655,2233
"Aug 16, 2020",2783655,0
"Aug 17, 2020",2787944,4289
"Aug 18, 2020",2790377,2433
"Aug 19, 2020",2792360,1983
"Aug 20, 2020",2794528,2168
"Aug 21, 2020",2796722,2194
"Aug 22, 2020",2798890,2168
"Aug 23, 2020",2798890,0
"Aug 24, 2020",2798890,0
"Aug 25, 2020",2805541,6651
"Aug 26, 2020",2808098,2557
"Aug 27, 2020",2810385,2287
"Aug 28, 2020",2812491,2106
"Aug 29, 2020",2814610,2119
"Aug 30, 2020",2816771,2161
"Aug 31, 2020",2818947,2176
"Sep 1, 2020",2821060,2113
"Sep 2, 2020",2823068,2008
"Sep 3, 2020",2825306,2238
"Sep 4, 2020",2827465,2159
"Sep 5, 2020",2827465,0
"Sep 6, 2020",2831648,4183
"Sep 7, 2020",2833691,2043
"Sep 8, 2020",2835448,1757
"Sep 9, 2020",2835448,0
"Sep 10, 2020",2835448,0
"Sep 11, 2020",2840768,5320
"Sep 12, 2020",2843142,2374
"Sep 13, 2020",2847079,3937
"Sep 14, 2020",2840768,-6311
"Sep 15, 2020",2852562,11794
"Sep 16, 2020",2854942,2380
"Sep 17, 2020",2854942,0
"Sep 18, 2020",2859712,4770
"Sep 19, 2020",2859712,0
"Sep 20, 2020",2863901,4189
"Sep 21, 2020",2866045,2144
"Sep 22, 2020",2868195,2150
"Sep 23, 2020",2870395,2200
"Sep 24, 2020",2872448,2053
"Sep 25, 2020",2872448,0
"Sep 26, 2020",2876588,4140
"Sep 27, 2020",2876588,0
"Sep 28, 2020",2880882,4294
"Sep 29, 2020",2882845,1963
"Sep 30, 2020",2884704,1859
"Oct 1, 2020",2886666,1962
"Oct 2, 2020",2888544,1878
"Oct 3, 2020",2890536,1992
"Oct 4, 2020",2892412,1876
"Oct 5, 2020",2894392,1980
"Oct 6, 2020",2896203,1811
"Oct 7, 2020",2897995,1792
"Oct 8, 2020",2899800,1805
"Oct 9, 2020",2901595,1795
"Oct 10, 2020",2901595,0
"Oct 11, 2020",2905304,3709
"Oct 12, 2020",2905304,0
"Oct 13, 2020",2905304,0
"Oct 14, 2020",2910708,5404
"Oct 15, 2020",2912379,1671
"Oct 16, 2020",2912379,0
"Oct 17, 2020",2915835,3456
"Oct 18, 2020",2917682,1847
"Oct 19, 2020",2919553,1871
"Oct 20, 2020",2921297,1744
"Oct 21, 2020",2922974,1677
"Oct 22, 2020",2924609,1635
"Oct 23, 2020",2926315,1706
"Oct 24, 2020",2928181,1866
"Oct 25, 2020",2924609,-3572
"Oct 26, 2020",2930096,5487
"Oct 27, 2020",2933749,3653
"Oct 28, 2020",2935450,1701
"Oct 29, 2020",2937274,1824
"Oct 30, 2020",2939099,1825
"Oct 31, 2020",2941112,2013
"Nov 1, 2020",2943072,1960
"Nov 2, 2020",2945026,1954
"Nov 3, 2020",2945026,0
"Nov 4, 2020",2946862,1836
"Nov 5, 2020",2950175,3313
"Nov 6, 2020",2951793,1618
"Nov 7, 2020",2951793,0
"Nov 8, 2020",2955410,3617
"Nov 9, 2020",2957143,1733
"Nov 10, 2020",2958869,1726
"Nov 11, 2020",2960551,1682
"Nov 12, 2020",2960551,0
"Nov 13, 2020",2963832,3281
"Nov 14, 2020",2963832,0
"Nov 15, 2020",2967605,3773
"Nov 16, 2020",2969444,1839
"Nov 17, 2020",2971135,1691
"Nov 18, 2020",2972577,1442
"Nov 19, 2020",2974271,1694
"Nov 20, 2020",2975971,1700
"Nov 21, 2020",2975971,0
"Nov 22, 2020",2979586,3615
"Nov 23, 2020",2981316,1730
"Nov 24, 2020",2983115,1799
"Nov 25, 2020",2984605,1490
"Nov 26, 2020",2986380,1775
"Nov 27, 2020",2988059,1679
"Nov 28, 2020",2989595,1536
"Nov 29, 2020",2991279,1684
"Nov 30, 2020",2993007,1728
"Dec 1, 2020",2994638,1631
"Dec 2, 2020",2994638,0
"Dec 3, 2020",2997922,3284
"Dec 4, 2020",3001154,3232
"Dec 5, 2020",3004322,3168
"Dec 6, 2020",3006850,2528
"Dec 7, 2020",3009201,2351
"Dec 8, 2020",3011301,2100
"Dec 9, 2020",3013223,1922
"Dec 10, 2020",3015355,2132
"Dec 11, 2020",3017467,2112
"Dec 12, 2020",3019540,2073
"Dec 13, 2020",3021556,2016
"Dec 14, 2020",3023763,2207
"Dec 15, 2020",3025814,2051
"Dec 16, 2020",3027689,1875
"Dec 17, 2020",3029578,1889
"Dec 18, 2020",3031466,1888
"Dec 19, 2020",3033406,1940
"Dec 20, 2020",3035389,1983
"Dec 21, 2020",3037609,2220
"Dec 22, 2020",3037609,0
"Dec 23, 2020",3041336,3727
"Dec 24, 2020",3043279,1943
"Dec 25, 2020",3045190,1911
"Dec 26, 2020",3047258,2068
"Dec 27, 2020",3049258,2000
"Dec 28, 2020",3051211,1953
"Dec 29, 2020",3051211,0
"Dec 30, 2020",3055059,3848
"Dec 31, 2020",3055059,0
"Jan 1, 2021",3059030,3971
"Jan 2, 2021",3060981,1951
"Jan 3, 2021",3062763,1782
"Jan 4, 2021",3062763,0
"Jan 5, 2021",3062763,0
"Jan 6, 2021",3068813,6050
"Jan 7, 2021",3071056,2243
"Jan 8, 2021",3073223,2167
"Jan 9, 2021",3075231,2008
"Jan 10, 2021",3077285,2054
"Jan 11, 2021",3077285,0
"Jan 12, 2021",3081337,4052
"Jan 13, 2021",3083196,1859
"Jan 14, 2021",3085072,1876
"Jan 15, 2021",3087098,2026
"Jan 16, 2021",3089038,1940
"Jan 17, 2021",3091015,1977
"Jan 18, 2021",3093106,2091
"Jan 19, 2021",3095127,2021
"Jan 20, 2021",3096991,1864
"Jan 21, 2021",3099052,2061
"Jan 22, 2021",3101029,1977
"Jan 23, 2021",3103021,1992
"Jan 24, 2021",3104951,1930
"Jan 25, 2021",3106954,2003
"Jan 26, 2021",3108953,1999
"Jan 27, 2021",3110868,1915
"Jan 28, 2021",3112738,1870
"Jan 29, 2021",3114671,1933
"Jan 30, 2021",3116366,1695
"Jan 31, 2021",3118354,1988
"Feb 1, 2021",3120470,2116
"Feb 2, 2021",3122454,1984
"Feb 3, 2021",3123047,593
"Feb 4, 2021",3123435,388
"Feb 5, 2021",3124381,946
"Feb 6, 2021",3125415,1034
"Feb 7, 2021",3126544,1129
"Feb 8, 2021",3127857,1313
"Feb 9, 2021",3129045,1188
"Feb 10, 2021",3130100,1055
"Feb 11, 2021",3131309,1209
"Feb 12, 2021",3132534,1225
"Feb 13, 2021",3133925,1391
"Feb 14, 2021",3135342,1417
"Feb 15, 2021",3135342,0
"Feb 16, 2021",3138137,2795
"Feb 17, 2021",3139394,1257
"Feb 18, 2021",3140651,1257
"Feb 19, 2021",3141908,1257
"Feb 20, 2021",3143313,1405
"Feb 21, 2021",3144667,1354
"Feb 22, 2021",3146049,1382
"Feb 23, 2021",3147421,1372
"Feb 24, 2021",3148664,1243
"Feb 25, 2021",3150027,1363
"Feb 26, 2021",3151538,1511
"Feb 27, 2021",3153115,1577
"Feb 28, 2021",3154697,1582
"Mar 1, 2021",3156301,1604
"Mar 2, 2021",3157740,1439
"Mar 3, 2021",3159065,1325
"Mar 4, 2021",3160501,1436
"Mar 5, 2021",3161885,1384
"Mar 6, 2021",3163184,1299
"Mar 7, 2021",3164626,1442
"Mar 8, 2021",3166110,1484
"Mar 9, 2021",3167591,1481
"Mar 10, 2021",3168948,1357
"Mar 11, 2021",3170441,1493
"Mar 12, 2021",3171851,1410
"Mar 13, 2021",3173265,1414
"Mar 14, 2021",3174602,1337
"Mar 15, 2021",3176205,1603
"Mar 16, 2021",3177759,1554
"Mar 17, 2021",3178981,1222
"Mar 18, 2021",3180268,1287
"Mar 19, 2021",3181620,1352
"Mar 20, 2021",3183078,1458
"Mar 21, 2021",3184539,1461
"Mar 22, 2021",3186407,1868
"Mar 23, 2021",3187963,1556
"Mar 24, 2021",3189437,1474
"Mar 25, 2021",3190938,1501
"Mar 26, 2021",3192529,1591
"Mar 27, 2021",3193960,1431
"Mar 28, 2021",3195512,1552
"Mar 29, 2021",3197129,1617
"Mar 30, 2021",3198664,1535
"Mar 31, 2021",3200047,1383
"Apr 1, 2021",3201390,1343
"Apr 2, 2021",3202936,1546
"Apr 3, 2021",3204328,1392
"Apr 4, 2021",3205763,1435
"Apr 5, 2021",3207143,1380
"Apr 6, 2021",3208522,1379
"Apr 7, 2021",3209981,1459
"Apr 8, 2021",3211272,1291
"Apr 9, 2021",3212596,1324
"Apr 10, 2021",3213975,1379
"Apr 11, 2021",3215317,1342
"Apr 12, 2021",3216657,1340
"Apr 13, 2021",3218048,1391
"Apr 14, 2021",3219394,1346
"Apr 15, 2021",3220698,1304
"Apr 16, 2021",3222097,1399
"Apr 17, 2021",3223457,1360
"Apr 18, 2021",3224956,1499
"Apr 19, 2021",3226374,1418
"Apr 20, 2021",3227780,1406
"Apr 21, 2021",3229045,1265
"Apr 22, 2021",3230278,1233
"Apr 23, 2021",3231629,1351
"Apr 24, 2021",3233098,1469
"Apr 25, 2021",3234576,1478
"Apr 26, 2021",3236011,1435
"Apr 27, 2021",3237407,1396
