Date,Monthly Listeners,Change
"Jan 1, 2020",4482363,-9602
"Jan 2, 2020",4487117,4754
"Jan 3, 2020",4446827,-40290
"Jan 4, 2020",4412254,-34573
"Jan 5, 2020",4393601,-18653
"Jan 6, 2020",4390634,-2967
"Jan 7, 2020",4395981,5347
"Jan 8, 2020",4394328,-1653
"Jan 9, 2020",4396180,1852
"Jan 10, 2020",4398963,2783
"Jan 11, 2020",4393073,-5890
"Jan 12, 2020",4396776,3703
"Jan 13, 2020",4402820,6044
"Jan 14, 2020",4408095,5275
"Jan 15, 2020",4403486,-4609
"Jan 16, 2020",4413037,9551
"Jan 17, 2020",4422588,9551
"Jan 18, 2020",4437422,14834
"Jan 19, 2020",4446619,9197
"Jan 20, 2020",4452818,6199
"Jan 21, 2020",4450934,-1884
"Jan 22, 2020",4446897,-4037
"Jan 23, 2020",4453727,6830
"Jan 24, 2020",4485098,31371
"Jan 25, 2020",4506717,21619
"Jan 26, 2020",4526316,19599
"Jan 27, 2020",4536708,10392
"Jan 28, 2020",4544990,8282
"Jan 29, 2020",4549271,4281
"Jan 30, 2020",4562300,13029
"Jan 31, 2020",4575328,13028
"Feb 1, 2020",4601887,26559
"Feb 2, 2020",4617057,15170
"Feb 3, 2020",4627733,10676
"Feb 4, 2020",4630543,2810
"Feb 5, 2020",4633776,3233
"Feb 6, 2020",4637568,3792
"Feb 7, 2020",4641359,3791
"Feb 8, 2020",4641693,334
"Feb 9, 2020",4638686,-3007
"Feb 10, 2020",4639270,584
"Feb 11, 2020",4636853,-2417
"Feb 12, 2020",4633492,-3361
"Feb 13, 2020",4630130,-3362
"Feb 14, 2020",4625342,-4788
"Feb 15, 2020",4627238,1896
"Feb 16, 2020",4624683,-2555
"Feb 17, 2020",4623163,-1520
"Feb 18, 2020",4621642,-1521
"Feb 19, 2020",4618938,-2704
"Feb 20, 2020",4611759,-7179
"Feb 21, 2020",4613956,2197
"Feb 22, 2020",4620166,6210
"Feb 23, 2020",4618365,-1801
"Feb 24, 2020",4611699,-6666
"Feb 25, 2020",4605033,-6666
"Feb 26, 2020",4601968,-3065
"Feb 27, 2020",4597146,-4822
"Feb 28, 2020",4588762,-8384
"Feb 29, 2020",4580681,-8081
"Mar 1, 2020",4571174,-9507
"Mar 2, 2020",4569377,-1797
"Mar 3, 2020",4562373,-7004
"Mar 4, 2020",4561831,-542
"Mar 5, 2020",4562063,232
"Mar 6, 2020",4563461,1398
"Mar 7, 2020",4564858,1397
"Mar 8, 2020",4558734,-6124
"Mar 9, 2020",4562373,3639
"Mar 10, 2020",4563615,1242
"Mar 11, 2020",4555416,-8199
"Mar 12, 2020",4552262,-3154
"Mar 13, 2020",4545372,-6890
"Mar 14, 2020",4532931,-12441
"Mar 15, 2020",4519817,-13114
"Mar 16, 2020",4518254,-1563
"Mar 17, 2020",4511804,-6450
"Mar 18, 2020",4500192,-11612
"Mar 19, 2020",4481214,-18978
"Mar 20, 2020",4463209,-18005
"Mar 21, 2020",4448983,-14226
"Mar 22, 2020",4430081,-18902
"Mar 23, 2020",4416227,-13854
"Mar 24, 2020",4414946,-1281
"Mar 25, 2020",4409502,-5444
"Mar 26, 2020",4398831,-10671
"Mar 27, 2020",4385401,-13430
"Mar 28, 2020",4371971,-13430
"Mar 29, 2020",4355352,-16619
"Mar 30, 2020",4342822,-12530
