title,content,published_on,link,source
Coi Leray Disowns Her Father Benzino After Shocking R Kelly Comments,"Benzino knows how to drum up controversy. The former editor of The Source Magazine has made a career out of it. Few people would know he was a rapper were it not for his highly-publicized beef with Eminem during the 2000s. Unfortunately, Benzino's knack for making bold statements has come back to bite him. He recently went on the We In Miami podcast, where he declared that R Kelly should be given a second chance despite his heinous crimes. This proved to be the last straw for Benzino's daughter, Coi Leray, who publicly denounced their relationship.
Leray posted an X (formerly Twitter) thread on May 1 to clarify her stance on Benzino's comments. She did not mention R. Kelly by name, but it was obvious she did not agree with her father. ""I want everybody to know I want nothing to do with anything my father has going on,"" she wrote. ""I haven’t spoken to him in over a year and I don’t condone or respect any of them interviews he got going on."" The rapper went on to explain that she does even want to be associated with Benzino in the future. ""I don’t respect his decisions,"" she added. ""I want nothing to do with him please don't even think of me when you see him.""
Read More: Benzino Claims 50 Cent Has A Secret Reason For Hating Diddy
Coi Leray Wants ""Nothing To Do"" With Her Dad
Coi Leray doubled down on her feelings towards her father in a second tweet. ""Sharing the same DNA and blood doesn't make us family,"" she noted. ""Loyalty, boundaries, respect, teaching, guidance, love, patience, encouragement makes us family... Keep me away from people who try to 'get their lick back' please."" The rapper then told followers that she looks forward to having a child of her own so that she could put what she's learned into practice. ""I can’t wait to have a kid one day,"" she concluded. ""I can’t wait to look her/him in the eye and tell them how much I love them.""
As sad as this exchange is, Benzino and Coi Leray's estrangement is not surprising. The father and daughter have gone through a very public cycle of beefing and then making up over the years. Leray criticized Benzino for harassing her mother back in 2022, and went against her father when he tried to revive his beef with Eminem the same year. ""Let’s build bridges and get over them before you burn the bridge and burn with it,"" she said at the time. Unfortunately, the time for building bridges with Benzino seems to have come to an end.
Read More: Benzino's Alleged Ghostwriter Speaks Out After “Rap Elvis” Controversy",2024-05-02T00:30:34Z,https://www.hotnewhiphop.com,HotNewHipHop
"Tupac Estate v. Drake, Megan Thee Stallion Lawsuit & More Legal News","This is The Legal Beat, a weekly newsletter about music law from Billboard Pro, offering you a one-stop cheat sheet of big new cases, important rulings and all the fun stuff in between.
This week: Tupac’s estate threatens to sue Drake over his use of the late rapper’s voice; Megan Thee Stallion faces a lawsuit over eye-popping allegations from her former cameraman; Britney Spears settles her dispute with her father; and much more.
Related Diddy Files Motion to Dismiss Some Claims in a Sexual Assault Lawsuit
THE BIG STORY: Drake, Tupac & An AI Showdown
The debate over unauthorized voice cloning burst into the open last week when Tupac Shakur’s estate threatened to sue Drake over a recent diss track against Kendrick Lamar that featured an AI-generated version of the late rapper’s voice.
In a cease-and-desist letter first reported by Billboard, litigator Howard King told Drake that the Shakur estate was “deeply dismayed and disappointed” by the rapper’s use of Tupac’s voice in his “Taylor Made Freestyle.” The letter warned Drake to confirm in less than 24 hours that he would pull the track down or the estate would “pursue all of its legal remedies” against him.
“Not only is the record a flagrant violation of Tupac’s publicity and the estate’s legal rights, it is also a blatant abuse of the legacy of one of the greatest hip-hop artists of all time. The Estate would never have given its approval for this use.”
AI-powered voice cloning has been top of mind for the music industry since last spring when an unknown artist released a track called “Heart On My Sleeve” that featured — ironically — fake verses from Drake’s voice. As such fake vocals have continued to proliferate on the internet, industry groups, legal experts and lawmakers have wrangled over how best to crack down on them.
With last week’s showdown, that debate jumped from hypothetical to reality. The Tupac estate laid out actual legal arguments for why it believed Drake’s use of the late rapper’s voice violated the law. And those arguments were apparently persuasive: Within 24 hours, Drake began to pull his song from the internet.
For more details on the dispute, go read our full story here.
Trending on Billboard
Other top stories this week…
MEGAN THEE STALLION SUED – The rapper and Roc Nation were hit with a lawsuit from a cameraman named Emilio Garcia who claims he was forced to watch Megan have sex with a woman inside a moving vehicle while she was on tour in Spain. The lawsuit, which claims he was subjected to a hostile workplace, was filed by the same attorneys who sued Lizzo last year over similar employment law.
BRITNEY SETTLES WITH FATHER – Britney Spears settled her long-running legal dispute with her father, Jamie Spears, that arose following the termination of the pop star’s 13-year conservatorship in 2021. Attorneys for Britney had accused Jamie of misconduct during the years he served as his daughter’s conservator, a charge he adamantly denied. The terms of last week’s agreement were not made public.
TRAVIS SCOTT MUST FACE TRIAL – A Houston judge denied a motion from Travis Scott to be dismissed from the sprawling litigation over the 2021 disaster at the Astroworld music festival, leaving him to face a closely-watched jury trial next month. Scott’s attorneys had argued that the star could not be held legally liable since safety and security at live events is “not the job of performing artists.” But the judge overseeing the case denied that motion without written explanation.
ASTROWORLD TRIAL LIVESTREAM? Also in the Astroworld litigation, plaintiffs’ attorneys argued that the upcoming trial — a pivotal first test for hundreds of other lawsuits filed by alleged victims over the disaster — should be broadcast live to the public. “The devastating scale of the events at Astroworld, combined with the involvement of high-profile defendants, has generated significant national attention and a legitimate public demand for transparency and accountability,” the lawyers wrote.
BALLERINI HACKING CASE – Just a week after Kelsea Ballerini sued a former fan named Bo Ewing over accusations that he hacked her and leaked her unreleased album, his attorneys reached a deal with her legal team in which he agreed not to share her songs with anyone else — and to name any people he’s already sent them to. “Defendant shall, within thirty days of entry of this order, provide plaintiffs with the names and contact information for all people to whom defendant disseminated the recordings,” the agreement read.
R. KELLY CONVICTIONS AFFIRMED – A federal appeals court upheld R. Kelly’s 2022 convictions in Chicago on child pornography and enticement charges, rejecting his argument that the case against him was filed too late. The court said that Kelly was convicted by “an even-handed jury” and that “no statute of limitations saves him.” His attorney vowed a trip to the U.S. Supreme Court, though such appeals face long odds.
DIDDY RESPONDS TO SUIT – Lawyers for Sean “Diddy” Combs pushed back against a sexual assault lawsuit filed by a woman named Joi Dickerson-Neal, arguing that he should not face claims under statutes that did not exist when the alleged incidents occurred in 1991. His attorneys want the claims — such as revenge porn and human trafficking — to be dismissed from the broader case, which claims that Combs drugged, assaulted and surreptitiously filmed Dickerson-Neal when she was 19 years old.",2024-04-30T21:52:56Z,https://www.billboard.com,Billboard
R. Kelly tem sentença por pornografia infantil confirmada,"Washigton | AFP
Um tribunal federal de apelações dos Estados Unidos confirmou a sentença de 20 anos de prisão imposta ao cantor R. Kelly por pornografia infantil e outros crimes.
Kelly foi condenado em fevereiro de 2023, mas os advogados argumentaram que o prazo de prescrição havia sido superado quando ele foi acusado, uma alegação que o tribunal de Chicago rejeitou na sexta-feira.
O cantor R. Kelly em audiência em Chicago em 2019 - Kamil Krzaczynski/Reuters
""Durante anos, Robert Sylvester Kelly abusou de meninas menores de idade. Ao recorrer a um esquema complexo para manter as vítimas caladas, ele evitou durante muito tempo as consequências"", escreveu a juíza Amy St. Eve em sua decisão.
""Estes crimes finalmente o alcançaram. Mas Kelly —apresentando uma defesa de prescrição— acredita que atrasou as acusações por tempo suficiente para evitá-las completamente. O estatuto diz o contrário, então confirmamos a condenação"".
Kelly, 57 anos, já cumpre uma pena de 30 anos por uma condenação de extorsão e tráfico sexual, determinada por um júri de um tribunal do Brooklyn em um julgamento federal separado.
As duas sentenças serão cumpridas simultaneamente, o que totalizaria 31 anos de prisão.
A advogada Jennifer Bonjean afirmou que R. Kelly vai recorrer à Suprema Corte.
O artista foi condenado por um tribunal de Nova York em setembro de 2022 por seis das 13 acusações apresentadas: três por produzir pornografia infantil e três por aliciamento de menores de idade .
A condenação federal em Chicago ocorreu um ano depois e foi considerada um marco pelo movimento #MeToo: foi o primeiro grande julgamento de abuso sexual em que a maioria das acusadoras eram mulheres negras.
Também foi a primeira vez que R. Kelly enfrentou consequências criminais pelos abusos que, durante décadas, ele teria infligido a mulheres e menores de idade.
Nascido em Chicago, o artista conquistou a fama nos anos 1990 com sucessos como ""I Believe I Can Fly"" e se tornou uma das maiores estrelas do R&B.",2024-04-27T21:21:00Z,https://www1.folha.uol.com.br,Folha de S.Paulo
Urteil wegen Kinderpornographie: Musiker R. Kelly scheitert in den USA mit Berufungsantrag,"Er war zu 20 Jahren Haft wegen Kinderpornografie und Verführung Minderjähriger verurteilt worden: Nun ist der US-Musiker R. Kelly ist mit einem Berufungsantrag dagegen gescheitert. Ein Bundesberufungsgericht in Chicago urteilte am Freitag (Ortszeit) gegen Kelly und für die Aufrechterhaltung der Strafe.
Der 57-jährige Kelly hatte argumentiert, die Ermittlungen zu dem Prozess hätten begonnen, nachdem bereits die Verjährungsfristen für die Taten bereits abgelaufen gewesen seien.
Kelly (...) meinte, er habe die Ermittlungen gegen ihn lange genug hinausgezögert, um sich ihnen ganz zu entziehen. Amy St. Eve, Richterin in Chicago
Richterin Amy St. Eve schrieb dazu in der Begründung des von drei Richtern gefällten Urteils: „Kelly (...) meinte, er habe die Ermittlungen gegen ihn lange genug hinausgezögert, um sich ihnen ganz zu entziehen. Das Gesetz besagt etwas anderes, also bestätigen wir seine Verurteilung.“
Kellys Verteidigerin Jennifer Bonjean kündigte vor Journalisten an, ihr Mandant werde gegen die Entscheidung vor den Obersten Gerichtshof der USA ziehen. „Wir sind vom Urteil enttäuscht, aber unser Kampf ist noch lange nicht vorbei“, sagte Bonjean.
Der Künstler, der als Robert Sylvester Kelly geboren wurde, war im Februar 2023 in sechs von 13 Anklagepunkten schuldig gesprochen und zu 20 Jahren Haft verurteilt worden: dreimal wegen der Herstellung von Kinderpornografie, dreimal für die Verführung Minderjähriger.
Bereits im Juni 2022 war der mit dem Welthit „I Believe I Can Fly“ zum Star gewordene Kelly in New York wegen schwerer Sexualverbrechen und Menschenhandels zu 30 Jahren Gefängnis verurteilt worden. Die teilweise Zusammenlegung der beiden Strafzeiten bedeutet, dass Kelly maximal 31 Jahre im Gefängnis zubringen muss.
Laut Anklage in dem Verfahren in New York hatte Kelly ein ganzes Netzwerk von Helfern aufgebaut, um junge Mädchen und Frauen zur Befriedigung seiner sexuellen Gelüste zu rekrutieren. Seine Opfer soll er teils eingesperrt und brutal missbraucht haben. (AFP)",2024-04-27T10:59:11Z,https://www.tagesspiegel.de,Tagesspiegel
US-Musiker R. Kelly scheitert mit Berufung gegen Hafturteil wegen Kinderpornographie,"Der US-Musiker R. Kelly ist mit einem Berufungsantrag gegen seine Verurteilung zu 20 Jahren Haft wegen Kinderpornografie und Verführung Minderjähriger gescheitert. Ein Bundesberufungsgericht in Chicago urteilte am Freitag gegen Kelly und für die Aufrechterhaltung der Strafe. Kelly hatte argumentiert, die Ermittlungen zu dem Prozess hätten begonnen, nachdem bereits die Verjährungsfristen für die Taten bereits abgelaufen gewesen seien.
Richterin Amy St. Eve schrieb dazu in der Begründung des von drei Richtern gefällten Urteils: ""Kelly (...) meinte, er habe die Ermittlungen gegen ihn lange genug hinausgezögert, um sich ihnen ganz zu entziehen. Das Gesetz besagt etwas anderes, also bestätigen wir seine Verurteilung.""
Kellys Verteidigerin Jennifer Bonjean kündigte vor Journalisten an, ihr Mandant werde gegen die Entscheidung vor den Obersten Gerichtshof der USA ziehen. ""Wir sind vom Urteil enttäuscht, aber unser Kampf ist noch lange nicht vorbei"", sagte Bonjean.
Der Künstler, der als Robert Sylvester Kelly geboren wurde, war im Februar 2023 in sechs von 13 Anklagepunkten schuldig gesprochen und zu 20 Jahren Haft verurteilt worden: drei Mal wegen der Herstellung von Kinderpornographie, drei Mal für die Verführung Minderjähriger.
Bereits im Juni 2022 war der mit dem Welthit ""I Believe I Can Fly"" zum Star gewordene Kelly in New York wegen schwerer Sexualverbrechen und Menschenhandels zu 30 Jahren Gefängnis verurteilt worden. Die teilweise Zusammenlegung der beiden Strafzeiten bedeutet, dass Kelly maximal 31 Jahre im Gefängnis zubringen muss.
Laut Anklage in dem Verfahren in New York hatte Kelly ein ganzes Netzwerk von Helfern aufgebaut, um junge Mädchen und Frauen zur Befriedigung seiner sexuellen Gelüste zu rekrutieren. Seine Opfer soll er teils eingesperrt und brutal missbraucht haben.",2024-04-27T09:45:58Z,https://www.stern.de,STERN.de
Pédopornographie: la condamnation du chanteur R. Kelly confirmée en appel,"La condamnation à 20 ans de prison pour pédopornographie du chanteur américain R. Kelly, star déchue du R&B déjà condamné à 30 ans de prison pour crimes sexuels, a été confirmée en appel.
Une cour fédérale à Chicago a rejeté vendredi les arguments de la défense de Robert Sylvester Kelly, 57 ans, qui invoquait le dépassement du délai de prescription pour les poursuites.
L'artiste, mondialement connu pour son tube ""I Believe I Can Fly"" et ses 75 millions de disques vendus, avait longtemps régné sur le R&B malgré des soupçons d'agressions sexuelles.
Il avait été reconnu coupable en septembre 2021 d'avoir piloté pendant des années un ""système"" d'exploitation sexuelle de jeunes, dont des adolescentes, et condamné en juin 2022 à 30 ans de prison par un tribunal fédéral à New York, peine qu'il purge actuellement.
En février 2023, il avait également été condamné à vingt ans de prison pour production de pédopornographie et détournement de mineur. Le juge avait ordonné qu'il n'exécute qu'un an de prison supplémentaire quand il aurait purgé sa première condamnation.
""Des années durant, Robert Sylvester Kelly a commis des violences sexuelles sur des jeunes filles mineures"", selon le jugement prononcé vendredi. ""En utilisant un schéma complexe pour faire taire les victimes, il a longtemps esquivé les conséquences"" mais ""ces crimes l'ont enfin rattrapé"".
L'avocate du chanteur, Jennifer Bonjean, a déclaré qu'il ferait appel devant la Cour suprême. ""Nous sommes déçus du jugement mais notre combat est loin d'être terminé"", a-t-elle assuré dans un communiqué selon des médias américains.
Les procès contre R. Kelly ont été perçus comme une étape majeure du mouvement #MeToo: pour la première fois, la majorité des plaignantes étaient des femmes noires accusant un artiste noir et obtenant justice.
Des extraits de vidéos montrant des violences sexuelles commises par R. Kelly sur des jeunes filles, dont l'une n'avait que 14 ans, avaient été diffusés pendant le procès.
Pendant des décennies, le succès de R. Kelly avait été terni par des soupçons de violences sexuelles, objets de rumeurs persistantes. Il était longtemps parvenu à les faire taire avec des accords financiers prévoyant des clauses de confidentialité.
Le chanteur, une des plus grandes célébrités américaines des années 1990, avait été brièvement marié, en 1994, avec la jeune star de 15 ans Aaliyah, dont les parents avaient ensuite fait annuler le mariage. La chanteuse et actrice est décédée dans un accident d'avion en 2001.
Les premières accusations contre le chanteur avaient émergé il y a plus de vingt ans. Il avait été inculpé en 2002 pour avoir filmé des actes sexuels entre lui et une jeune fille de 14 ans, mais finalement acquitté en 2008.
Sa maison de disques RCA, filiale de Sony Music, l'avait lâché début 2019 après un documentaire l'accusant de multiples agressions sexuelles et en février de la même année il avait été inculpé d'agressions sexuelles notamment sur des mineures.",2024-04-27T09:40:47Z,https://actu.orange.fr,Actu Orange
Pédopornographie: la condamnation du chanteur R. Kelly confirmée en appel,"La condamnation à 20 ans de prison pour pédopornographie du chanteur américain R. Kelly, star déchue du R&B déjà condamné à 30 ans de prison pour crimes sexuels, a été confirmée en appel.
Une cour fédérale à Chicago a rejeté vendredi les arguments de la défense de Robert Sylvester Kelly, 57 ans, qui invoquait le dépassement du délai de prescription pour les poursuites.
L'artiste, mondialement connu pour son tube ""I Believe I Can Fly"" et ses 75 millions de disques vendus, avait longtemps régné sur le R&B malgré des soupçons d'agressions sexuelles.
Il avait été reconnu coupable en septembre 2021 d'avoir piloté pendant des années un ""système"" d'exploitation sexuelle de jeunes, dont des adolescentes, et condamné en juin 2022 à 30 ans de prison par un tribunal fédéral à New York, peine qu'il purge actuellement.
En février 2023, il avait également été condamné à vingt ans de prison pour production de pédopornographie et détournement de mineur. Le juge avait ordonné qu'il n'exécute qu'un an de prison supplémentaire quand il aurait purgé sa première condamnation.
""Des années durant, Robert Sylvester Kelly a commis des violences sexuelles sur des jeunes filles mineures"", selon le jugement prononcé vendredi. ""En utilisant un schéma complexe pour faire taire les victimes, il a longtemps esquivé les conséquences"" mais ""ces crimes l'ont enfin rattrapé"".
L'avocate du chanteur, Jennifer Bonjean, a déclaré qu'il ferait appel devant la Cour suprême. ""Nous sommes déçus du jugement mais notre combat est loin d'être terminé"", a-t-elle assuré dans un communiqué selon des médias américains.
Les procès contre R. Kelly ont été perçus comme une étape majeure du mouvement #MeToo: pour la première fois, la majorité des plaignantes étaient des femmes noires accusant un artiste noir et obtenant justice.
Des extraits de vidéos montrant des violences sexuelles commises par R. Kelly sur des jeunes filles, dont l'une n'avait que 14 ans, avaient été diffusés pendant le procès.
Pendant des décennies, le succès de R. Kelly avait été terni par des soupçons de violences sexuelles, objets de rumeurs persistantes. Il était longtemps parvenu à les faire taire avec des accords financiers prévoyant des clauses de confidentialité.
Le chanteur, une des plus grandes célébrités américaines des années 1990, avait été brièvement marié, en 1994, avec la jeune star de 15 ans Aaliyah, dont les parents avaient ensuite fait annuler le mariage. La chanteuse et actrice est décédée dans un accident d'avion en 2001.
Les premières accusations contre le chanteur avaient émergé il y a plus de vingt ans. Il avait été inculpé en 2002 pour avoir filmé des actes sexuels entre lui et une jeune fille de 14 ans, mais finalement acquitté en 2008.
Sa maison de disques RCA, filiale de Sony Music, l'avait lâché début 2019 après un documentaire l'accusant de multiples agressions sexuelles et en février de la même année il avait été inculpé d'agressions sexuelles notamment sur des mineures.",2024-04-27T09:40:47Z,https://actu.orange.fr,Actu Orange
Pédopornographie: la condamnation du chanteur R. Kelly confirmée en appel,"La condamnation à 20 ans de prison pour pédopornographie du chanteur américain R. Kelly, star déchue du R&B déjà condamné à 30 ans de prison pour crimes sexuels, a été confirmée en appel.
Une cour fédérale à Chicago a rejeté vendredi les arguments de la défense de Robert Sylvester Kelly, 57 ans, qui invoquait le dépassement du délai de prescription pour les poursuites.
L'artiste, mondialement connu pour son tube I Believe I Can Fly et ses 75 millions de disques vendus, avait longtemps régné sur le R&B malgré des soupçons d'agressions sexuelles.
Il avait été reconnu coupable en septembre 2021 d'avoir piloté pendant des années un ""système"" d'exploitation sexuelle de jeunes, dont des adolescentes, et condamné en juin 2022 à 30 ans de prison par un tribunal fédéral à New York, peine qu'il purge actuellement.
En février 2023, il avait également été condamné à vingt ans de prison pour production de pédopornographie et détournement de mineur. Le juge avait ordonné qu'il n'exécute qu'un an de prison supplémentaire quand il aurait purgé sa première condamnation.
""Des années durant, Robert Sylvester Kelly a commis des violences sexuelles sur des jeunes filles mineures"", selon le jugement prononcé vendredi. ""En utilisant un schéma complexe pour faire taire les victimes, il a longtemps esquivé les conséquences"", mais ""ces crimes l'ont enfin rattrapé"".
L'avocate du chanteur, Jennifer Bonjean, a déclaré qu'il ferait appel devant la Cour suprême. ""Nous sommes déçus du jugement mais notre combat est loin d'être terminé"", a-t-elle assuré dans un communiqué selon des médias américains.
Marié à la jeune star du R&B Aaliyah... alors âgée de 15 ans
Les procès contre R. Kelly ont été perçus comme une étape majeure du mouvement #MeToo: pour la première fois, la majorité des plaignantes étaient des femmes noires accusant un artiste noir et obtenant justice.
Des extraits de vidéos montrant des violences sexuelles commises par R. Kelly sur des jeunes filles, dont l'une n'avait que 14 ans, avaient été diffusés pendant le procès.
Pendant des décennies, le succès de R. Kelly avait été terni par des soupçons de violences sexuelles, objets de rumeurs persistantes. Il était longtemps parvenu à les faire taire avec des accords financiers prévoyant des clauses de confidentialité.
Le chanteur, une des plus grandes célébrités américaines des années 1990, avait été brièvement marié, en 1994, avec la jeune star de 15 ans Aaliyah, dont les parents avaient ensuite fait annuler le mariage. La chanteuse et actrice est décédée dans un accident d'avion en 2001.
Les premières accusations contre le chanteur avaient émergé il y a plus de vingt ans. Il avait été inculpé en 2002 pour avoir filmé des actes sexuels entre lui et une jeune fille de 14 ans, mais finalement acquitté en 2008.
Sa maison de disques RCA, filiale de Sony Music, l'avait lâché début 2019 après un documentaire l'accusant de multiples agressions sexuelles et en février de la même année il avait été inculpé d'agressions sexuelles notamment sur des mineures.",2024-04-27T09:19:00Z,https://www.varmatin.com,Var-Matin
Pédopornographie: la condamnation du chanteur R. Kelly confirmée en appel,"Pédopornographie – La condamnation du chanteur R. Kelly confirmée en appel Vendredi, une cour fédérale à Chicago a rejeté les arguments du chanteur de 57 ans. La star déchue du R&B a déjà été condamnée à 30 ans de prison pour crimes sexuels.
(Archives) Le chanteur R. Kelly lors d’une audience au tribunal pénal de Leighton le 17 septembre 2019 à Chicago. Antonio Perez/AFP
La condamnation à 20 ans de prison pour pédopornographie du chanteur américain R. Kelly, star déchue du R&B déjà condamné à 30 ans de prison pour crimes sexuels, a été confirmée en appel.
Une cour fédérale à Chicago a rejeté vendredi les arguments de la défense de Robert Sylvester Kelly, 57 ans, qui invoquait le dépassement du délai de prescription pour les poursuites.
L’artiste, mondialement connu pour son tube «I Believe I Can Fly» et ses 75 millions de disques vendus, avait longtemps régné sur le R&B malgré des soupçons d’agressions sexuelles.
Il avait été reconnu coupable en septembre 2021 d’avoir piloté pendant des années un «système» d’exploitation sexuelle de jeunes, dont des adolescentes, et condamné en juin 2022 à 30 ans de prison par un Tribunal fédéral à New York, peine qu’il purge actuellement.
En février 2023, il avait également été condamné à vingt ans de prison pour production de pédopornographie et détournement de mineur. Le juge avait ordonné qu’il n’exécute qu’un an de prison supplémentaire quand il aurait purgé sa première condamnation.
Un système complexe pour silencier ses victimes
«Des années durant, Robert Sylvester Kelly a commis des violences sexuelles sur des jeunes filles mineures», selon le jugement prononcé vendredi. «En utilisant un schéma complexe pour faire taire les victimes, il a longtemps esquivé les conséquences» mais «ces crimes l’ont enfin rattrapé».
L’avocate du chanteur, Jennifer Bonjean, a déclaré qu’il ferait appel devant la Cour suprême. «Nous sommes déçus du jugement mais notre combat est loin d’être terminé», a-t-elle assuré dans un communiqué selon des médias américains.
Les procès contre R. Kelly ont été perçus comme une étape majeure du mouvement #MeToo: pour la première fois, la majorité des plaignantes étaient des femmes noires accusant un artiste noir et obtenant justice.
Des extraits de vidéos montrant des violences sexuelles commises par R. Kelly sur des jeunes filles, dont l’une n’avait que 14 ans, avaient été diffusés pendant le procès.
Des faits connus depuis plus de 20 ans
Pendant des décennies, le succès de R. Kelly avait été terni par des soupçons de violences sexuelles, objets de rumeurs persistantes. Il était longtemps parvenu à les faire taire avec des accords financiers prévoyant des clauses de confidentialité.
Le chanteur, une des plus grandes célébrités américaines des années 1990, avait été brièvement marié, en 1994, avec la jeune star de 15 ans Aaliyah, dont les parents avaient ensuite fait annuler le mariage. La chanteuse et actrice est décédée dans un accident d’avion en 2001.
Les premières accusations contre le chanteur avaient émergé il y a plus de vingt ans. Il avait été inculpé en 2002 pour avoir filmé des actes sexuels entre lui et une jeune fille de 14 ans, mais finalement acquitté en 2008.
Sa maison de disques RCA, filiale de Sony Music, l’avait lâché début 2019 après un documentaire l’accusant de multiples agressions sexuelles et en février de la même année il avait été inculpé d’agressions sexuelles notamment sur des mineures.
AFP
Vous avez trouvé une erreur?Merci de nous la signaler.",2024-04-27T09:15:25Z,https://www.tdg.ch,Tribune de Genève
Pédopornographie: la condamnation du chanteur R. Kelly confirmée en appel,"Pédopornographie – La condamnation du chanteur R. Kelly confirmée en appel Vendredi, une cour fédérale à Chicago a rejeté les arguments du chanteur de 57 ans. La star déchue du R&B a déjà été condamnée à 30 ans de prison pour crimes sexuels.
(Archives) Le chanteur R. Kelly lors d’une audience au tribunal pénal de Leighton le 17 septembre 2019 à Chicago. Antonio Perez/AFP
La condamnation à 20 ans de prison pour pédopornographie du chanteur américain R. Kelly, star déchue du R&B déjà condamné à 30 ans de prison pour crimes sexuels, a été confirmée en appel.
Une cour fédérale à Chicago a rejeté vendredi les arguments de la défense de Robert Sylvester Kelly, 57 ans, qui invoquait le dépassement du délai de prescription pour les poursuites.
L’artiste, mondialement connu pour son tube «I Believe I Can Fly» et ses 75 millions de disques vendus, avait longtemps régné sur le R&B malgré des soupçons d’agressions sexuelles.
Il avait été reconnu coupable en septembre 2021 d’avoir piloté pendant des années un «système» d’exploitation sexuelle de jeunes, dont des adolescentes, et condamné en juin 2022 à 30 ans de prison par un Tribunal fédéral à New York, peine qu’il purge actuellement.
En février 2023, il avait également été condamné à vingt ans de prison pour production de pédopornographie et détournement de mineur. Le juge avait ordonné qu’il n’exécute qu’un an de prison supplémentaire quand il aurait purgé sa première condamnation.
Un système complexe pour silencier ses victimes
«Des années durant, Robert Sylvester Kelly a commis des violences sexuelles sur des jeunes filles mineures», selon le jugement prononcé vendredi. «En utilisant un schéma complexe pour faire taire les victimes, il a longtemps esquivé les conséquences» mais «ces crimes l’ont enfin rattrapé».
L’avocate du chanteur, Jennifer Bonjean, a déclaré qu’il ferait appel devant la Cour suprême. «Nous sommes déçus du jugement mais notre combat est loin d’être terminé», a-t-elle assuré dans un communiqué selon des médias américains.
Les procès contre R. Kelly ont été perçus comme une étape majeure du mouvement #MeToo: pour la première fois, la majorité des plaignantes étaient des femmes noires accusant un artiste noir et obtenant justice.
Des extraits de vidéos montrant des violences sexuelles commises par R. Kelly sur des jeunes filles, dont l’une n’avait que 14 ans, avaient été diffusés pendant le procès.
Des faits connus depuis plus de 20 ans
Pendant des décennies, le succès de R. Kelly avait été terni par des soupçons de violences sexuelles, objets de rumeurs persistantes. Il était longtemps parvenu à les faire taire avec des accords financiers prévoyant des clauses de confidentialité.
Le chanteur, une des plus grandes célébrités américaines des années 1990, avait été brièvement marié, en 1994, avec la jeune star de 15 ans Aaliyah, dont les parents avaient ensuite fait annuler le mariage. La chanteuse et actrice est décédée dans un accident d’avion en 2001.
Les premières accusations contre le chanteur avaient émergé il y a plus de vingt ans. Il avait été inculpé en 2002 pour avoir filmé des actes sexuels entre lui et une jeune fille de 14 ans, mais finalement acquitté en 2008.
Sa maison de disques RCA, filiale de Sony Music, l’avait lâché début 2019 après un documentaire l’accusant de multiples agressions sexuelles et en février de la même année il avait été inculpé d’agressions sexuelles notamment sur des mineures.
AFP
Vous avez trouvé une erreur?Merci de nous la signaler.",2024-04-27T09:15:25Z,https://www.24heures.ch,24 heures
