Month,R Kelly: (Worldwide)
2019-01,100
2019-02,33
2019-03,41
2019-04,6
2019-05,5
2019-06,4
2019-07,9
2019-08,6
2019-09,10
2019-10,8
2019-11,7
2019-12,6
2020-01,12
2020-02,5
2020-03,5
2020-04,7
2020-05,5
2020-06,4
2020-07,4
2020-08,4
2020-09,4
2020-10,3
2020-11,3
2020-12,3
2021-01,3
2021-02,3
2021-03,3
2021-04,3
2021-05,3
2021-06,4
2021-07,4
2021-08,7
2021-09,20
2021-10,10
2021-11,3
2021-12,3
2022-01,5
2022-02,4
2022-03,3
2022-04,3
2022-05,3
2022-06,16
2022-07,11
2022-08,5
2022-09,5
2022-10,3
2022-11,5
2022-12,6
2023-01,4
2023-02,6
2023-03,3
2023-04,4
2023-05,2
2023-06,3
2023-07,2
2023-08,2
2023-09,2
2023-10,2
2023-11,2
2023-12,2
2024-01,3
2024-02,3
2024-03,3
2024-04,3
2024-05,3
