Date,Followers,Change
"Jan 1, 2019",1762966,998
"Jan 2, 2019",1763941,975
"Jan 3, 2019",1764847,906
"Jan 4, 2019",1765730,883
"Jan 5, 2019",1766918,1188
"Jan 6, 2019",1768302,1384
"Jan 7, 2019",1769622,1320
"Jan 8, 2019",1770796,1174
"Jan 9, 2019",1771993,1197
"Jan 10, 2019",1773057,1064
"Jan 11, 2019",1774276,1219
"Jan 12, 2019",1775553,1277
"Jan 13, 2019",1776766,1213
"Jan 14, 2019",1777779,1013
"Jan 15, 2019",1778719,940
"Jan 16, 2019",1779591,872
"Jan 17, 2019",1780518,927
"Jan 18, 2019",1781401,883
"Jan 19, 2019",1782366,965
"Jan 20, 2019",1783350,984
"Jan 21, 2019",1784233,883
"Jan 22, 2019",1784992,759
"Jan 23, 2019",1785697,705
"Jan 24, 2019",1786385,688
"Jan 25, 2019",1787137,752
"Jan 26, 2019",1787887,750
"Jan 27, 2019",1788722,835
"Jan 28, 2019",1789515,793
"Jan 29, 2019",1790235,720
"Jan 30, 2019",1790952,717
"Jan 31, 2019",1791616,664
"Feb 1, 2019",1792322,706
"Feb 2, 2019",1793012,690
"Feb 3, 2019",1793845,833
"Feb 4, 2019",1794755,910
"Feb 5, 2019",1795333,578
"Feb 6, 2019",1796050,717
"Feb 7, 2019",1796777,727
"Feb 8, 2019",1797512,735
"Feb 9, 2019",1798230,718
"Feb 10, 2019",1798966,736
"Feb 11, 2019",1799681,715
"Feb 12, 2019",1800285,604
"Feb 13, 2019",1800883,598
"Feb 14, 2019",1801509,626
"Feb 15, 2019",1802236,727
"Feb 16, 2019",1802934,698
"Feb 17, 2019",1803635,701
"Feb 18, 2019",1804287,652
"Feb 19, 2019",1804956,669
"Feb 20, 2019",1805644,688
"Feb 21, 2019",1806169,525
"Feb 22, 2019",1806773,604
"Feb 23, 2019",1807430,657
"Feb 24, 2019",1808288,858
"Feb 25, 2019",1809038,750
"Feb 26, 2019",1809697,659
"Feb 27, 2019",1810512,815
"Feb 28, 2019",1811662,1150
"Mar 1, 2019",1812657,995
"Mar 2, 2019",1813580,923
"Mar 3, 2019",1814411,831
"Mar 4, 2019",1815209,798
"Mar 5, 2019",1815975,766
"Mar 6, 2019",1816653,678
"Mar 7, 2019",1817557,904
"Mar 8, 2019",1818557,1000
"Mar 9, 2019",1819539,982
"Mar 10, 2019",1820671,1132
"Mar 11, 2019",1821724,1053
"Mar 12, 2019",1822599,875
"Mar 13, 2019",1823443,844
"Mar 14, 2019",1824309,866
"Mar 15, 2019",1825103,794
"Mar 16, 2019",1825899,796
"Mar 17, 2019",1826668,769
"Mar 18, 2019",1827508,840
"Mar 19, 2019",1828164,656
"Mar 20, 2019",1828885,721
"Mar 21, 2019",1829602,717
"Mar 22, 2019",1830343,741
"Mar 23, 2019",1831088,745
"Mar 24, 2019",1831878,790
"Mar 25, 2019",1832599,721
"Mar 26, 2019",1833251,652
"Mar 27, 2019",1833858,607
"Mar 28, 2019",1834487,629
"Mar 29, 2019",1835187,700
"Mar 30, 2019",1836002,815
"Mar 31, 2019",1836649,647
"Apr 1, 2019",1837275,626
"Apr 2, 2019",1837904,629
"Apr 3, 2019",1838597,693
"Apr 4, 2019",1839329,732
"Apr 5, 2019",1839881,552
"Apr 6, 2019",1840555,674
"Apr 7, 2019",1841280,725
"Apr 8, 2019",1841990,710
"Apr 9, 2019",1842629,639
"Apr 10, 2019",1843281,652
"Apr 11, 2019",1843885,604
"Apr 12, 2019",1844520,635
"Apr 13, 2019",1845155,635
"Apr 14, 2019",1845857,702
"Apr 15, 2019",1846559,702
"Apr 16, 2019",1847161,602
"Apr 17, 2019",1847762,601
"Apr 18, 2019",1848398,636
"Apr 19, 2019",1849033,635
"Apr 20, 2019",1849780,747
"Apr 21, 2019",1850527,747
"Apr 22, 2019",1851274,747
"Apr 23, 2019",1851663,389
"Apr 24, 2019",1852051,388
"Apr 25, 2019",1852685,634
"Apr 26, 2019",1853318,633
"Apr 27, 2019",1853952,634
"Apr 28, 2019",1854623,671
"Apr 29, 2019",1855236,613
"Apr 30, 2019",1855855,619
"May 1, 2019",1856486,631
"May 2, 2019",1857231,745
"May 3, 2019",1857899,668
"May 4, 2019",1858511,612
"May 5, 2019",1859161,650
"May 6, 2019",1859773,612
"May 7, 2019",1860338,565
"May 8, 2019",1860920,582
"May 9, 2019",1862945,2025
"May 10, 2019",1863103,158
"May 11, 2019",1863735,632
"May 12, 2019",1864431,696
"May 13, 2019",1865091,660
"May 14, 2019",1865864,773
"May 15, 2019",1866637,773
"May 16, 2019",1867404,767
"May 17, 2019",1868171,767
"May 18, 2019",1868938,767
"May 19, 2019",1869705,767
"May 20, 2019",1870183,478
"May 21, 2019",1870660,477
"May 22, 2019",1871138,478
"May 23, 2019",1871615,477
"May 24, 2019",1872446,831
"May 25, 2019",1873276,830
"May 26, 2019",1874107,831
"May 27, 2019",1875160,1053
"May 28, 2019",1876212,1052
"May 29, 2019",1877265,1053
"May 30, 2019",1878193,928
"May 31, 2019",1879121,928
"Jun 1, 2019",1880048,927
"Jun 2, 2019",1880976,928
"Jun 3, 2019",1881904,928
"Jun 4, 2019",1882732,828
"Jun 5, 2019",1883561,829
"Jun 6, 2019",1884389,828
"Jun 7, 2019",1885144,755
"Jun 8, 2019",1885900,756
"Jun 9, 2019",1886655,755
"Jun 10, 2019",1887218,563
"Jun 11, 2019",1887780,562
"Jun 12, 2019",1888343,563
"Jun 13, 2019",1888952,609
"Jun 14, 2019",1889562,610
"Jun 15, 2019",1890171,609
"Jun 16, 2019",1890784,613
"Jun 17, 2019",1891397,613
"Jun 18, 2019",1892010,613
"Jun 19, 2019",1892860,850
"Jun 20, 2019",1893731,871
"Jun 21, 2019",1894772,1041
"Jun 22, 2019",1895696,924
"Jun 23, 2019",1896476,780
"Jun 24, 2019",1897273,797
"Jun 25, 2019",1898019,746
"Jun 26, 2019",1898821,802
"Jun 27, 2019",1899539,718
"Jun 28, 2019",1900289,750
"Jun 29, 2019",1901075,786
"Jun 30, 2019",1901884,809
"Jul 1, 2019",1902600,716
"Jul 2, 2019",1903309,709
"Jul 3, 2019",1904094,785
"Jul 4, 2019",1904784,690
"Jul 5, 2019",1905495,711
"Jul 6, 2019",1906197,702
"Jul 7, 2019",1906908,711
"Jul 8, 2019",1907652,744
"Jul 9, 2019",1908321,669
"Jul 10, 2019",1909001,680
"Jul 11, 2019",1909725,724
"Jul 12, 2019",1910423,698
"Jul 13, 2019",1911145,722
"Jul 14, 2019",1911891,746
"Jul 15, 2019",1912601,710
"Jul 16, 2019",1913214,613
"Jul 17, 2019",1913883,669
"Jul 18, 2019",1914562,679
"Jul 19, 2019",1915314,752
"Jul 20, 2019",1915997,683
"Jul 21, 2019",1916680,683
"Jul 22, 2019",1917363,683
"Jul 23, 2019",1918062,699
"Jul 24, 2019",1918713,651
"Jul 25, 2019",1919312,599
"Jul 26, 2019",1919956,644
"Jul 27, 2019",1920660,704
"Jul 28, 2019",1921428,768
"Jul 29, 2019",1922117,689
"Jul 30, 2019",1922745,628
"Jul 31, 2019",1923426,681
"Aug 1, 2019",1924138,712
"Aug 2, 2019",1924862,724
"Aug 3, 2019",1925602,740
"Aug 4, 2019",1926386,784
"Aug 5, 2019",1927101,715
"Aug 6, 2019",1927749,648
"Aug 7, 2019",1928419,670
"Aug 8, 2019",1928875,456
"Aug 9, 2019",1929338,463
"Aug 10, 2019",1929844,506
"Aug 11, 2019",1930405,561
"Aug 12, 2019",1930981,576
"Aug 13, 2019",1931450,469
"Aug 14, 2019",1931900,450
"Aug 15, 2019",1932410,510
"Aug 16, 2019",1932934,524
"Aug 17, 2019",1933405,471
"Aug 18, 2019",1933928,523
"Aug 19, 2019",1934459,531
"Aug 20, 2019",1934970,511
"Aug 21, 2019",1935458,488
"Aug 22, 2019",1935973,515
"Aug 23, 2019",1936506,533
"Aug 24, 2019",1936988,482
"Aug 25, 2019",1937585,597
"Aug 26, 2019",1938120,535
"Aug 27, 2019",1938588,468
"Aug 28, 2019",1939065,477
"Aug 29, 2019",1939588,523
"Aug 30, 2019",1940070,482
"Aug 31, 2019",1940595,525
"Sep 1, 2019",1941158,563
"Sep 2, 2019",1941748,590
"Sep 3, 2019",1942330,582
"Sep 4, 2019",1942765,435
