Date,Monthly Listeners,Change
"Jan 1, 2019",5479889,-10036
"Jan 2, 2019",5548086,68197
"Jan 3, 2019",5581341,33255
"Jan 4, 2019",5561138,-20203
"Jan 5, 2019",5551733,-9405
"Jan 6, 2019",5553123,1390
"Jan 7, 2019",5567613,14490
"Jan 8, 2019",5593169,25556
"Jan 9, 2019",5627557,34388
"Jan 10, 2019",5656131,28574
"Jan 11, 2019",5679649,23518
"Jan 12, 2019",5708937,29288
"Jan 13, 2019",5736388,27451
"Jan 14, 2019",5751745,15357
"Jan 15, 2019",5754984,3239
"Jan 16, 2019",5763855,8871
"Jan 17, 2019",5763260,-595
"Jan 18, 2019",5757696,-5564
"Jan 19, 2019",5745340,-12356
"Jan 20, 2019",5727308,-18032
"Jan 21, 2019",5710306,-17002
"Jan 22, 2019",5678758,-31548
"Jan 23, 2019",5604346,-74412
"Jan 24, 2019",5548251,-56095
"Jan 25, 2019",5531832,-16419
"Jan 26, 2019",5526089,-5743
"Jan 27, 2019",5527745,1656
"Jan 28, 2019",5529437,1692
"Jan 29, 2019",5515255,-14182
"Jan 30, 2019",5431982,-83273
"Jan 31, 2019",5367349,-64633
"Feb 1, 2019",5360912,-6437
"Feb 2, 2019",5357515,-3397
"Feb 3, 2019",5351717,-5798
"Feb 4, 2019",5340206,-11511
"Feb 5, 2019",5313922,-26284
"Feb 6, 2019",5278480,-35442
"Feb 7, 2019",5250574,-27906
"Feb 8, 2019",5232432,-18142
"Feb 9, 2019",5202591,-29841
"Feb 10, 2019",5168862,-33729
"Feb 11, 2019",5139408,-29454
"Feb 12, 2019",5109058,-30350
"Feb 13, 2019",5089260,-19798
"Feb 14, 2019",5073105,-16155
"Feb 15, 2019",5044713,-28392
"Feb 16, 2019",5030194,-14519
"Feb 17, 2019",5022347,-7847
"Feb 18, 2019",5016710,-5637
"Feb 19, 2019",5013128,-3582
"Feb 20, 2019",5013247,119
"Feb 21, 2019",5009201,-4046
"Feb 22, 2019",5002571,-6630
"Feb 23, 2019",4997509,-5062
"Feb 24, 2019",5004698,7189
"Feb 25, 2019",5023310,18612
"Feb 26, 2019",5034565,11255
"Feb 27, 2019",5033106,-1459
"Feb 28, 2019",5038222,5116
"Mar 1, 2019",5042872,4650
"Mar 2, 2019",5044344,1472
"Mar 3, 2019",5056201,11857
"Mar 4, 2019",5049762,-6439
"Mar 5, 2019",5047296,-2466
"Mar 6, 2019",5044958,-2338
"Mar 7, 2019",5040055,-4903
"Mar 8, 2019",5046926,6871
"Mar 9, 2019",5055828,8902
"Mar 10, 2019",5077025,21197
"Mar 11, 2019",5092212,15187
"Mar 12, 2019",5106840,14628
"Mar 13, 2019",5121674,14834
"Mar 14, 2019",5130970,9296
"Mar 15, 2019",5147642,16672
"Mar 16, 2019",5142370,-5272
"Mar 17, 2019",5134980,-7390
"Mar 18, 2019",5129904,-5076
"Mar 19, 2019",5127641,-2263
"Mar 20, 2019",5120485,-7156
"Mar 21, 2019",5132305,11820
"Mar 22, 2019",5139139,6834
"Mar 23, 2019",5141831,2692
"Mar 24, 2019",5143854,2023
"Mar 25, 2019",5129504,-14350
"Mar 26, 2019",5114428,-15076
"Mar 27, 2019",5106840,-7588
"Mar 28, 2019",5102417,-4423
"Mar 29, 2019",5093112,-9305
"Mar 30, 2019",5090029,-3083
"Mar 31, 2019",5086955,-3074
"Apr 1, 2019",5087850,895
"Apr 2, 2019",5079689,-8161
"Apr 3, 2019",5074621,-5068
"Apr 4, 2019",5074115,-506
"Apr 5, 2019",5065684,-8431
"Apr 6, 2019",5040789,-24895
"Apr 7, 2019",5020665,-20124
"Apr 8, 2019",5005526,-15139
"Apr 9, 2019",4990019,-15507
"Apr 10, 2019",4993991,3972
"Apr 11, 2019",4980154,-13837
"Apr 12, 2019",4972642,-7512
"Apr 13, 2019",4965129,-7513
"Apr 14, 2019",4954365,-10764
"Apr 15, 2019",4943601,-10764
"Apr 16, 2019",4933054,-10547
"Apr 17, 2019",4922506,-10548
"Apr 18, 2019",4918368,-4138
"Apr 19, 2019",4914229,-4139
"Apr 20, 2019",4917243,3014
"Apr 21, 2019",4920258,3015
"Apr 22, 2019",4923272,3014
