video_id,view_count,like_count
QyH-t5Bfa3M,58662.0,810.0
f23BNK06cxQ,1736905.0,19580.0
-lqAqtDJVao,239495.0,3357.0
zJH_Dsi5rEo,510763.0,4883.0
6kZ43Y-KaXs,306209.0,2276.0
IbOIsG_lHQs,1695353.0,13097.0
bUKAMuZfKVQ,553311.0,17419.0
ysmuUvQSxi4,541806.0,5950.0
M_qEAE_SJ4g,248465.0,2982.0
YjJRhv3gwP4,1378230.0,12859.0
kLmANFD9u6A,2565166.0,19509.0
_6y5bgrKhLI,584592.0,7427.0
Es8DhwtjyNg,9389.0,376.0
Ni_aMrmLaPk,1970051.0,25382.0
qAtvxFFsoeg,25378843.0,370496.0
RP-KMM3kxXc,824103.0,30671.0
BT8eSaIErQ4,881552.0,10256.0
hu-Zjht6o9w,757904.0,9737.0
eanF2k3FzbA,2886220.0,24997.0
MmtUaiZ_ZK8,,
BpI1VC_vHE8,521141.0,3998.0
pafJHx-o21k,11059749.0,78112.0
8-9KCDxBpT4,6621586.0,59908.0
G6Kyl0_EZ2k,13872.0,101.0
odZ-a7q-8os,23151.0,763.0
wyM-z6kA_Zo,828760.0,9248.0
QeK7ViIIWd8,405829.0,8522.0
eaYsouGwcNQ,12076.0,204.0
URRcQcm9OQo,119070.0,1616.0
zU6sg6IYx60,1652119.0,7147.0
smGTHc7W6Zc,908444.0,6768.0
1PlrjTLQego,2126134.0,21023.0
Kg9EkI-cQeI,524235.0,6247.0
adodEpiYSEc,687264.0,5412.0
L1jsgyiniSk,350389.0,3799.0
aT2o6-khn1o,555959.0,4584.0
ktQx5Xq8IRQ,4126425.0,182980.0
MRuEjGK7Eu8,9484383.0,107757.0
jcXK-sPqsL0,44735817.0,3135055.0
sOrCSuwcdwQ,1524.0,89.0
CdQ2Mxm5_xw,133939.0,3700.0
Sn56tCtqwME,328990.0,14189.0
2GG6ouxLezo,240092.0,2295.0
afNrF-az1cY,450848.0,3365.0
3tOF-I45wFA,26331.0,198.0
CBGKNviWqew,2234343.0,113852.0
GMyhXQ4y_W8,39970.0,779.0
x5eZko8NHIY,210422.0,13587.0
99gUI1GzYtc,290912.0,3683.0
zytfGasXp9w,,
Q-8QuLY34BU,88989.0,918.0
c_g-he7kKOg,1335446.0,11413.0
KcoH2MSphaU,657800.0,5015.0
94hC5tTK3Es,9664.0,537.0
