Month,Seungri: (Worldwide)
2018-01,4
2018-02,4
2018-03,8
2018-04,5
2018-05,4
2018-06,5
2018-07,10
2018-08,9
2018-09,6
2018-10,5
2018-11,4
2018-12,5
2019-01,7
2019-02,10
2019-03,100
2019-04,20
2019-05,15
2019-06,8
2019-07,6
2019-08,4
2019-09,3
2019-10,4
2019-11,4
2019-12,5
2020-01,5
2020-02,3
2020-03,4
2020-04,4
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,4
2020-10,2
2020-11,2
2020-12,3
2021-01,3
2021-02,3
2021-03,2
2021-04,2
2021-05,2
2021-06,2
2021-07,4
2021-08,9
2021-09,2
2021-10,2
2021-11,2
2021-12,2
2022-01,3
2022-02,3
2022-03,2
2022-04,6
2022-05,3
2022-06,2
2022-07,2
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,2
2023-02,2
2023-03,2
2023-04,2
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,2
2023-11,2
2023-12,2
2024-01,3
2024-02,2
2024-03,1
2024-04,1
2024-05,10
