Track,Platform,Country,Genre,Peak Position,Peak Date
Ignite,Spotify,Norway,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",2,"Jun 7, 2018"
Ignite,Spotify,Finland,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",3,"Jun 12, 2018"
Ignite,Spotify,Poland,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",8,"Aug 14, 2018"
Ignite,Spotify,Sweden,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",11,"Jul 26, 2018"
"1, 2, 3!",Spotify,Vietnam,k-pop,27,"Jul 21, 2018"
Ignite,Spotify,Estonia,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",30,"Jul 31, 2018"
Ignite,Spotify,Czech Republic,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",57,"Jul 9, 2018"
Ignite,Spotify,Hungary,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",85,"Jul 26, 2018"
"1, 2, 3!",Spotify,Malaysia,k-pop,88,"Jul 21, 2018"
Ignite,Spotify,Slovakia,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",90,"Jul 27, 2018"
Ignite,Spotify,Saudi Arabia,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",94,"Aug 26, 2019"
"1, 2, 3!",Spotify,Thailand,k-pop,114,"Jul 21, 2018"
"1, 2, 3!",Spotify,Singapore,k-pop,133,"Jul 24, 2018"
Ignite,Spotify,India,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",149,"Mar 25, 2019"
Ignite,Spotify,Denmark,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",151,"Jun 13, 2018"
"1, 2, 3!",Spotify,Taiwan,k-pop,157,"Aug 7, 2018"
Ignite,Spotify,Austria,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",163,"Aug 2, 2018"
"1, 2, 3!",Spotify,Indonesia,k-pop,169,"Jul 21, 2018"
Ignite,Spotify,Switzerland,"electro house,norwegian pop,swedish pop,tropical house,deep dubstep,nordic house",200,"Jul 31, 2018"
