Date,Followers,Change
"Jan 1, 2018",81823,272
"Jan 2, 2018",82117,294
"Jan 3, 2018",82411,294
"Jan 4, 2018",82705,294
"Jan 5, 2018",83002,297
"Jan 6, 2018",83294,292
"Jan 7, 2018",83602,308
"Jan 8, 2018",83904,302
"Jan 9, 2018",84206,302
"Jan 10, 2018",84504,298
"Jan 11, 2018",84801,297
"Jan 12, 2018",85082,281
"Jan 13, 2018",85400,318
"Jan 14, 2018",85738,338
"Jan 15, 2018",86034,296
"Jan 16, 2018",86327,293
"Jan 17, 2018",86584,257
"Jan 18, 2018",86871,287
"Jan 19, 2018",87156,285
"Jan 20, 2018",87431,275
"Jan 21, 2018",87764,333
"Jan 22, 2018",88072,308
"Jan 23, 2018",88365,293
"Jan 24, 2018",88716,351
"Jan 25, 2018",89055,339
"Jan 26, 2018",89394,339
"Jan 27, 2018",89686,292
"Jan 28, 2018",90018,332
"Jan 29, 2018",90311,293
"Jan 30, 2018",90597,286
"Jan 31, 2018",90883,286
"Feb 1, 2018",91208,325
"Feb 2, 2018",91537,329
"Feb 3, 2018",91843,306
"Feb 4, 2018",92152,309
"Feb 5, 2018",92504,352
"Feb 6, 2018",92815,311
"Feb 7, 2018",93110,295
"Feb 8, 2018",93410,300
"Feb 9, 2018",93689,279
"Feb 10, 2018",93971,282
"Feb 11, 2018",94294,323
"Feb 12, 2018",94614,320
"Feb 13, 2018",94916,302
"Feb 14, 2018",95173,257
"Feb 15, 2018",95426,253
"Feb 16, 2018",95705,279
"Feb 17, 2018",95972,267
"Feb 18, 2018",96269,297
"Feb 19, 2018",96576,307
"Feb 20, 2018",96825,249
"Feb 21, 2018",97048,223
"Feb 22, 2018",97329,281
"Feb 23, 2018",97589,260
"Feb 24, 2018",97867,278
"Feb 25, 2018",98186,319
"Feb 26, 2018",98461,275
"Feb 27, 2018",98712,251
"Feb 28, 2018",98949,237
"Mar 1, 2018",99203,254
"Mar 2, 2018",99610,407
"Mar 3, 2018",99944,334
"Mar 4, 2018",100330,386
"Mar 5, 2018",100665,335
