Date,Monthly Listeners,Change
"Apr 3, 2018",48223,0
"Apr 4, 2018",48223,0
"Apr 5, 2018",48049,-174
"Apr 6, 2018",48049,0
"Apr 7, 2018",48030,-19
"Apr 8, 2018",47982,-48
"Apr 9, 2018",47852,-130
"Apr 10, 2018",47800,-52
"Apr 11, 2018",47885,85
"Apr 12, 2018",47728,-157
"Apr 13, 2018",47571,-157
"Apr 14, 2018",47233,-338
"Apr 15, 2018",47131,-102
"Apr 16, 2018",47214,83
"Apr 17, 2018",47250,36
"Apr 18, 2018",46947,-303
"Apr 19, 2018",46907,-40
"Apr 20, 2018",46732,-175
"Apr 21, 2018",46452,-280
"Apr 22, 2018",46470,18
"Apr 23, 2018",46252,-218
"Apr 24, 2018",46284,32
"Apr 25, 2018",45854,-430
"Apr 26, 2018",45647,-207
"Apr 27, 2018",45678,31
"Apr 28, 2018",45540,-138
"Apr 29, 2018",45467,-73
"Apr 30, 2018",45351,-116
"May 1, 2018",45164,-187
"May 2, 2018",45203,39
"May 3, 2018",44906,-297
"May 4, 2018",44752,-154
"May 5, 2018",44707,-45
"May 6, 2018",44487,-220
"May 7, 2018",44487,0
"May 8, 2018",44561,74
"May 9, 2018",44561,0
"May 10, 2018",44472,-89
"May 11, 2018",44472,0
"May 12, 2018",44475,3
"May 13, 2018",44437,-38
"May 14, 2018",44437,0
"May 15, 2018",162626,118189
"May 16, 2018",162210,-416
"May 17, 2018",161794,-416
"May 18, 2018",162453,659
"May 19, 2018",162496,43
"May 20, 2018",162352,-144
"May 21, 2018",162400,48
"May 22, 2018",162410,10
"May 23, 2018",162419,9
"May 24, 2018",162481,62
"May 25, 2018",162525,44
"May 26, 2018",162558,33
"May 27, 2018",162545,-13
"May 28, 2018",162623,78
"May 29, 2018",162751,128
"May 30, 2018",162842,91
"May 31, 2018",163075,233
"Jun 1, 2018",163119,44
"Jun 2, 2018",163170,51
"Jun 3, 2018",163254,84
"Jun 4, 2018",163419,165
"Jun 5, 2018",163505,86
"Jun 6, 2018",163590,85
"Jun 7, 2018",163777,187
"Jun 8, 2018",164030,253
"Jun 9, 2018",164224,194
"Jun 10, 2018",164328,104
"Jun 11, 2018",45929,-118399
"Jun 12, 2018",46005,76
"Jun 13, 2018",46218,213
"Jun 14, 2018",46312,94
"Jun 15, 2018",46406,94
"Jun 16, 2018",46449,43
"Jun 17, 2018",46628,179
"Jun 18, 2018",46831,203
"Jun 19, 2018",46948,117
"Jun 20, 2018",47225,277
"Jun 21, 2018",47340,115
"Jun 22, 2018",47850,510
"Jun 23, 2018",47850,0
"Jun 24, 2018",48395,545
"Jun 25, 2018",48395,0
"Jun 26, 2018",48132,-263
"Jun 27, 2018",48395,263
"Jun 28, 2018",48686,291
"Jun 29, 2018",48767,81
"Jun 30, 2018",48869,102
"Jul 1, 2018",48869,0
"Jul 2, 2018",48869,0
"Jul 3, 2018",48823,-46
"Jul 4, 2018",48792,-31
"Jul 5, 2018",48903,111
"Jul 6, 2018",48903,0
"Jul 7, 2018",48870,-33
"Jul 8, 2018",48956,86
"Jul 9, 2018",49121,165
"Jul 10, 2018",49244,123
"Jul 11, 2018",49431,187
"Jul 12, 2018",49453,22
"Jul 13, 2018",49475,22
"Jul 14, 2018",49535,60
"Jul 15, 2018",49595,60
"Jul 16, 2018",49655,60
"Jul 17, 2018",49715,60
"Jul 18, 2018",49775,60
"Jul 19, 2018",49835,60
"Jul 20, 2018",49835,0
"Jul 21, 2018",49835,0
"Jul 22, 2018",49835,0
"Jul 23, 2018",49835,0
"Jul 24, 2018",49835,0
"Jul 25, 2018",235161,185326
"Jul 26, 2018",306113,70952
"Jul 27, 2018",306113,0
"Jul 28, 2018",306113,0
"Jul 29, 2018",306113,0
"Jul 30, 2018",306113,0
"Jul 31, 2018",306113,0
"Aug 1, 2018",445314,139201
"Aug 2, 2018",477765,32451
"Aug 3, 2018",477765,0
"Aug 4, 2018",477765,0
"Aug 5, 2018",477765,0
"Aug 6, 2018",477765,0
"Aug 7, 2018",636523,158758
"Aug 8, 2018",636523,0
"Aug 9, 2018",636523,0
"Aug 10, 2018",722286,85763
"Aug 11, 2018",722286,0
"Aug 12, 2018",722286,0
"Aug 13, 2018",722286,0
"Aug 14, 2018",751842,29556
"Aug 15, 2018",781399,29557
"Aug 16, 2018",810955,29556
"Aug 17, 2018",810955,0
"Aug 18, 2018",829106,18151
"Aug 19, 2018",847256,18150
"Aug 20, 2018",865407,18151
"Aug 21, 2018",858455,-6952
"Aug 22, 2018",851504,-6951
"Aug 23, 2018",844552,-6952
"Aug 24, 2018",837600,-6952
"Aug 25, 2018",831113,-6487
"Aug 26, 2018",824626,-6487
"Aug 27, 2018",818139,-6487
"Aug 28, 2018",811652,-6487
"Aug 29, 2018",805165,-6487
"Aug 30, 2018",805165,0
"Aug 31, 2018",791863,-13302
