text,updateDt
có thể thêm phần phụ đề ko ad,2024-05-28
cmt cuối,2024-05-28
Vụ của GD tào lao vkl mà cũng đăng cho được. Đưa tin định hướng dư luận thì làm cho đến nơi đến chốn đi.,2024-05-28
Bigbang ai cũng phạm tội riêng TaeYang chưa bị nhợ 😂,2024-05-27
i really want to meet you before not this,2024-05-26
I just want to see you before not now,2024-05-26
"mấy thằng còn lại cũng có hơn gì đâu,thằng thì hút bóng cười thằng thì đâm chết người ,nhóm này toàn lũ tội phạm",2024-05-26
Bao nhiêu là tội thế mà có hơn 1 năm tù thôi á?,2024-05-26
J,2024-05-25
khổ cho 4 thành viên còn lại,2024-05-25
Chia sẽ tình dục mà đồi trị gì,2024-05-25
"Kirain cuma Indonesia yg hukumnya lemah, ternyata Korsel juga sama😞",2024-05-27
"waaahhhh.. Kamboja tambah parah aja, human trafficking makin gila nih",2024-05-26
He should make his mom his mom and his sisters  work too for his client friends😒😑,2024-05-26
이놈은 정신못차리네,2024-05-25
The korean judiciary is fu*ked up for letting a s*x trafficker roam around and just sentence of 3 years!! Humanity is literally died at this point!!,2024-05-25
A pimp,2024-05-28
Disgrace? For what? Let him live his  life,2024-05-27
"Bitch is out of jail. Hopefully someone gets revenge. Girls, get your revenge. This is your chance! 😂",2024-05-27
Terpalinggg jijikkkk🤮🤮🤮,2024-05-27
Thank God I don't know him ... I choose as great idol BTS 😍,2024-05-27
Pimp,2024-05-27
"Yuck, please stay away from the public light for good. Disgusting. 😷",2024-05-26
"Im sad.. i started my kpop days on peak YG.. BigBang.. 2NE1.. AkDMU...1tym..jinusean.. masta wu.. like bro. The disappointment but his videos were always a give away he was a player. And it was known that he was caught with porn by GD and GD told camera in one of the shows they on. I think his music also gave him away his personality, he was very sexual despite the youngest. He is genuinely a good entertainer we as fans didnt see the other side and was so hidden. Its disappointing to go 9 years of listening then finding out the horror. To a few of my personal artist i listened to were involved. I never fawn over idol again just speak about music.",2024-05-26
He for sure will continue doing what he did before. 18 month sentence?? He basically got a slap on the wrist for being the worst,2024-05-26
i really dont understand why he still has fans like girls supporting him but he treated and maybe is still treating girls as items to be picked in a store..,2024-05-26
"To think that back in 2009, he's my bias 😭 I have bad taste in men",2024-05-26
He still has fans and these same fans are minimizing this into a mere fanwar 🤦🏻‍♀️🤦🏻‍♀️,2024-05-26
Seriously doesn't understand the idea of just going away,2024-05-26
"Seungri is nothing but a pimp, even worse",2024-05-26
Boycott seungri,2024-05-25
Just disgusted by korean judiciary for 3 years sentence for a sex trafficker!! The Korean judiciary is fu*ked up!!,2024-05-25
SK judicial system is a joke at this point,2024-05-24
Disgusting. Put this a**hole back in prison! The “sentence” he got was a joke.,2024-05-24
"Jijik bgt sm seungri  karna hal2 prostitusi dll itu make ghb, bukan emang dasar kemauan 2 belah pihak...",2024-05-28
uang populer banyak fans fanatic pembela itu kekuatan sesungguhnya mau jahat kayak apapun termaafkan bagi fans...banyak korban diam daru berbagai kalangan karena malu🤭,2024-05-27
Komplotan seungri😈😈😈,2024-05-27
"Tsim tsa shui tempat yang indah ada mesjid terbesar di hongkong di sana dan tanda tangan para bintang"" terkenal juga telapak tangannya di sana termasuk bruce lee",2024-05-27
Idol itu jadi teladan tapi kenyataannya diluar nalar..of course idol is a human being but his behaviour is soooo disgusting😡😡 hukumannya ringan sekali..keadilannya dimana???,2024-05-25
Seungri seungri lo blom sadar2 yah? Berubah seungri jgn sampe kena azab,2024-05-25
Curiga sering lawatan ke bali buat bikin burning sun 2. Dilihat dari gaya hidupnya sih pasti uangnya masih banyak banget. Buat para pengusaha lokal yang masih mau kerja sama dia. Jangan mengaku dilahirkan wanita. Hati kalian sudah mati.,2024-05-24
G*b*** yang membela seungri,2024-05-24
"Kalau ke indo diusir aja, gk jauh bakalan ngerusak negara",2024-05-24
Wow pelaku pelecehan cuma di hukum 1 tahun... Hukum Korea gk ada bedanya kaya di Indonesia,2024-05-24
Ternyata blm jera,2024-05-24
"klu gk ada kejadian pengunjung yg dikeroyok trs mlh jd tersangka atas pelecehan 3 wanita pasti nih orang masih melenggang gk ketahuan pasti bnyk korban,pelaku kaya mereka enaknya tu disunat lagi klu bisa setengahnya tu uyung yg pasti punya rasa malu",2024-05-24
"gw suka nih BBC ngerilis ttg mereka2 ini baru2 ini, jd org keinget lagi stlh mereka pasti ngira org2 bakal lupa total ttg kejahatan mereka",2024-05-24
harusnya mereka dihukum kebiri,2024-05-24
"😊? Pantesan Tiongkok kemarin banyak banget buzzer2 gilanya... Ternyata nih mahluk hidup ada di sono. Seungri bisa pakai nama orang lokal buat bikin bisnis lah...
Kenapa hyeb dan agensi gak nuntut komentar kebencian? Emg bisa ya hate komen dihukum? Keknya karena gak ada hukuman yang tepat makanya gak bisa dituntut. Lagian dituntut juga malah playing victim... Dan malah merasa dihakimi karena hybe itu punya uang dianggap penguasa yang anti kritikan terus main hukum dan main media play...",2024-05-24
Luật Pháp Hàn Quốc không có tự do và không bảo vệ cho nạn nhân phụ nữ hay nhà nghèo hay quần chúng nhân dân. Hiếp dâm hay này nọ thì pháp Việt Nam và Trung Quốc xử nặng,2024-05-28
Mờ nhạt nhấc bigbang,2024-05-27
"Bộ mặt kinh khủng,tội ác khủng khiếp.ko bik khủng khiếp chỗ nào?đàn ông tài giỏi thì nhìu thê thiếp.phụ nữ xinh đẹp nhìu thằng theo.điều cơ bản như thế là kinh khủng và tội ác khủng khiếp az.t mắc ỉa.",2024-05-27
Thang nào có tien chả thế.,2024-05-26
Trương mỹ lan mà ở hàn chắc bất tử,2024-05-26
Về luật pháp Hàn Quốc nên học hỏi Trung Quốc đi.,2024-05-26
"Hàn Quốc, bê bối vậy ko có che giấu nhỉ? Cả vụ bà Tổng Thống cũng điều tra tuốt.",2024-05-26
Thằng này mà đẹp trai zi trời,2024-05-26
Quá sướng. Tao rất thích 😂😂,2024-05-26
"His sentences was a JOKE, Korean’s laws are a Joke 👎🤮👎",2024-05-26
xin link coi,2024-05-25
Mình rất thích BigBang. Xưa cũng thích ông này nhưng k thể ngờ bản chất lại rác rưởi như thế,2024-05-25
án phạt qq gì z:) như đi học lại cấp học phổ thông ý,2024-05-25
"Cái nhóm BigBang nên dẹp đi , toàn mấy thằng ất ơ vào nhóm để làm tội phạm .",2024-05-25
Luật Hàn như trò đùa ấy,2024-05-25
奇蹟補習社 二千十五,2024-05-25
有村架純 千九百九十三,2024-05-25
"발자국이 지워진 거리 
여기 넘어져 있는 난 
혼자 가네 시간이 
미안해 말도 없이",2024-05-25
