video_id,view_count,like_count
9EEp1q_iMYc,5062174.0,230749.0
hd9_Qxq_gSo,227706.0,6847.0
uOIMJ2pUspw,138264.0,2736.0
m2MtOeuCgh8,19713201.0,593757.0
Iua_Xo0iYA4,76242.0,1208.0
z6S3pVyhgII,678438.0,13405.0
Lv7uYBRn0OQ,13294.0,282.0
Rr9AjcF0jZw,1002038.0,23414.0
BC37RnTz3wg,180791.0,2974.0
nym8Gs0HtHo,65329.0,1442.0
Q7sHwg2Z21U,29709526.0,792543.0
R0aXXFE-7ZE,2834789.0,42705.0
t_6_p2Xw_Ak,9590.0,85.0
czuyz9Il-aI,45573.0,496.0
_d4ETXh1zwU,49614.0,784.0
v8IMQfzpWEE,143047.0,2680.0
YCV_b1Nx5BA,2166066.0,43492.0
-mfYbzOC9Ic,22237.0,78.0
E7KKxcDX01g,320937.0,6362.0
AZk7RBpeaHM,1798390.0,20991.0
YZqxolXNC2k,2822278.0,60269.0
Vkw9By-XsfU,49036.0,170.0
Qo55vEgzvgI,2134082.0,22092.0
5neXZDble8o,345155.0,5223.0
JiIy_3sbTZM,52811.0,4306.0
T6dWyZXeWIg,1478080.0,48787.0
hii0tpk8Dss,1478659.0,26382.0
HcsJOyu0Qgw,16405.0,490.0
Jyhy6lnVwyA,8311919.0,144008.0
E_R0MyGqv7Q,57768.0,2870.0
8kUzk1AxrAU,15305.0,331.0
czY-QzsueLU,1494547.0,46855.0
BSSgPRq_48A,886941.0,10453.0
HAW4yrdZhIE,607986.0,20977.0
FewdU02oOpg,156374.0,4810.0
cqzYRgaUYF8,32133.0,726.0
Xbuy2I1-o4s,1470628.0,88745.0
2mRz0BC4qKQ,365467.0,2028.0
hERQHTMAIww,15078.0,515.0
vZTy6Z_O8Gs,173280.0,12837.0
sHlp0_VPHkA,373.0,5.0
90kEXdnLuvg,1518005.0,81052.0
PYQAHdJb5jQ,2075.0,98.0
uOr0CxNWURk,4630.0,29.0
Iyo6-2iKb5M,141531.0,3186.0
V9Pivk4ZGtM,12275.0,145.0
47vFJ3665eM,205874.0,9110.0
4Mtj8mm2aYc,47931.0,2484.0
BhSBpwyfeQ8,15689.0,307.0
CUs5eTcxD4s,5072.0,355.0
xbCLVQheb_g,52661.0,1776.0
mpmNDLNQDd8,4007.0,9.0
Bh1k64LFZIY,610165.0,6194.0
d4iDP70Mn7Q,111969.0,2361.0
INdRqyxsmxM,306759.0,9706.0
yh7RyNauEl0,183698.0,1926.0
vMIlIhkcz2E,26897.0,466.0
o1i6yTbpi9k,25004.0,402.0
AWXSSfC-xYI,22212.0,215.0
MEUuXAaDGJw,5866.0,411.0
sNb1nua7oQk,175969.0,5091.0
mA6X4PfrpNc,1127.0,57.0
CaClmSuGc58,11518.0,90.0
HeOACvAxeZs,127501.0,14029.0
VT4UTys9A-A,46054.0,668.0
j0N2GJUkE6Y,4670912.0,68637.0
2tWtHngE3nk,2754.0,69.0
ZeKubZqZ6ZY,28378.0,703.0
PIehHiZZhyw,249594.0,6118.0
2hII7n5k7p0,2741973.0,194787.0
kXi9zPYo2FM,6115.0,51.0
YzATOjGCde0,1858.0,182.0
xiUZrJQIYjc,12287.0,455.0
iGQmP5h-xa8,17928.0,1773.0
0RRsKJARaTw,666.0,22.0
IvUQPXZF4OY,3936.0,39.0
86kifuIfVSg,103793.0,2284.0
hTTLwWBzxlQ,1772393.0,136132.0
s1km6-QUJ08,40894.0,453.0
C1HBQ8Vje-s,382.0,3.0
r6KYEIqHO9Y,141.0,7.0
ONzZMxzte1s,6413.0,126.0
eZUQUjePIAs,2938.0,159.0
QYt9BEVBm7Q,22571.0,254.0
chokSQS5AB8,176673.0,2389.0
RAW1amh06wk,43487.0,505.0
SY5Z1jEXlOI,259.0,7.0
m31a2Y-5X7o,4599.0,23.0
ccBMpp8VV4Q,356105.0,11535.0
F_co6crmkaE,3019.0,52.0
KoT5mRVzlfg,1287266.0,85560.0
Cgu9gx8GATo,9836.0,425.0
eXE_uOIIq6w,3902.0,22.0
rCxP_P8F7H4,47099.0,2857.0
tTdGYVqHQAY,18795.0,126.0
ZJAkWzwSD4k,22562.0,495.0
M8TSUOATtd4,5783.0,643.0
qdZifibZX5k,76986.0,8499.0
Df_TgGy0lfU,4976.0,323.0
_qe6aikm7G8,12169.0,199.0
PiWjngEOSpk,4530.0,219.0
TdElN5Ih1TQ,286.0,5.0
rABj6d9_5B8,23140.0,171.0
9wI5-CJC1yQ,49890.0,1324.0
SJ07r5vPx_Q,2966.0,117.0
F55CP6XDFo0,8372.0,46.0
MtW75y4kEfY,1512469.0,50011.0
Ju9V3zv5ZMk,1359.0,129.0
6rqdHnv1fks,2432.0,125.0
jlJYPf4b5D0,64902.0,840.0
U14XJlcTVns,4834.0,124.0
I9pSX6CRBFU,80879.0,2725.0
4mIjLG9oDpg,5818.0,128.0
cmqoEUtvTsc,1461.0,89.0
Q_FQNQmUbJs,2947.0,110.0
91TPnTYHtFo,21083.0,618.0
4FP5qjTuR20,3272.0,422.0
0WnY9m2f4sg,52565.0,5516.0
2cbwih4IQzQ,16163.0,293.0
Q0MoQzLzqvk,4324269.0,266198.0
PyFDaIsYnKY,83454.0,249.0
dnS6DVmQu00,9154.0,188.0
dUkT3wY5baI,1294.0,147.0
BVbdNe9puK0,1521.0,63.0
nSNXZ98qfc8,743.0,41.0
g6M0YEVLgxc,276593.0,21222.0
Mh1PfOGH4no,401.0,10.0
OfeO7_Wn0Ag,1090753.0,15008.0
IC_WHlG3Xj8,10414.0,581.0
zSLyM4Ioxfw,4140.0,110.0
g0l5Jc0dWDc,666.0,57.0
am1q94cdDnE,432.0,9.0
SXdEJ6kpy3g,10264.0,402.0
KdnE4ZVZxTA,68.0,6.0
GjYGklXshvc,2777.0,228.0
1JwaE5KDtG4,79656.0,10046.0
n3gv8lSNtaQ,358.0,34.0
Cvjbb9f6E68,111.0,5.0
uQ9h_g1FWc4,182536.0,14281.0
35eBu3o7U6c,8036.0,40.0
ewcmqGa4AFc,28717.0,2333.0
Vm6mc1sKrsw,268910.0,6597.0
5dV5XVYMDnI,190.0,10.0
zEO_ilwdBvw,4592.0,21.0
Yw76Gn10POU,205352.0,3661.0
